"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_57559",0.967,0.029,0.004,0.018,69760,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57559","Schaaps","mom","Schaaps-98",NA,"",""
"CO_38691","CO_57611",0.983,0.011,0.006,0.012,67467,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57611","Schaaps","mom","Schaaps-71",NA,"",""
"CO_38691","CO_57563",0.989,0.011,0,0.006,76695,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57563","Schaaps","dad","Schaaps-74",NA,"",""
"CO_38691","CO_57561",0.984,0.015,0.001,0.008,64856,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57561","Schaaps","mom","Schaaps-74",NA,"",""
"CO_38691","CO_57604",0.98,0.02,0,0.01,64950,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57604","Schaaps","mom","Schaaps-110",NA,"",""
"CO_38691","CO_57606",0.971,0.027,0.002,0.016,59854,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57606","Schaaps","dad","Schaaps-71",NA,"",""
"CO_38691","CO_57562",0.987,0.013,0,0.006,63601,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57562","Schaaps","dad","Schaaps-67",NA,"",""
"CO_38691","CO_57546",0.964,0.036,0,0.018,60344,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57546","Schaaps","dad","Schaaps-98",NA,"",""
"CO_38691","CO_57554",0.976,0.023,0,0.012,68013,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57554","Schaaps","dad","Schaaps-24",NA,"",""
"CO_38691","CO_57613",0.982,0.017,0.001,0.009,70410,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57613","Blue Cloud","mom","BlueCloud-19",NA,"",""
"CO_38691","CO_57617",0.962,0.036,0.002,0.02,73882,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57617","Urban Farm Girlz","mom","UrbanFarm-04",NA,"",""
"CO_38691","CO_57635",0.985,0.014,0,0.008,62740,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57635","Make Believe","mom","MakeBelieve-17",NA,"",""
"CO_38691","CO_57854",0.989,0.01,0.001,0.006,57584,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57854","Cooks","mom","Cooks-18",NA,"",""
"CO_38691","CO_57905",0.984,0.016,0.001,0.009,63910,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57905","Schaaps","mom","Schaaps-24",NA,"",""
"CO_38691","CO_57904",0.981,0.019,0,0.009,59054,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57904","Schaaps","mom","Schaaps-67",NA,"",""
"CO_38691","CO_06912",0.978,0.02,0.002,0.012,63347,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-06912","Schaaps","dad","Schaaps-54",NA,NA,NA
"CO_38691","CO_57556",0.989,0.008,0.002,0.006,68701,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA
"CO_38691","CO_57538",0.983,0.015,0.002,0.01,58370,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57538","Schaaps","dad","Schaaps-80",NA,NA,NA
"CO_38691","CO_57555",0.982,0.017,0.001,0.009,65917,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA
"CO_38691","CO_57505",0.984,0.016,0,0.008,68147,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57505","Cooks","dad","Cooks-23",NA,NA,NA
"CO_38691","CO_57553",0.987,0.012,0,0.007,62751,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA
"CO_38691","CO_57549",0.985,0.014,0,0.007,65207,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57549","Cathys","dad","Cathys-03",NA,NA,NA
"CO_38691","CO_57565",0.99,0.001,0.009,0.01,66916,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA
"CO_38691","CO_57603",0.987,0.004,0.009,0.011,62079,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57603","Schaaps","mom","Schaaps-54",NA,NA,NA
"CO_38691","CO_57558",0.984,0.015,0.001,0.008,66135,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57558","Cooks","mom","Cooks-31",NA,NA,NA
"CO_38691","CO_57608",0.991,0.009,0,0.005,68624,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57608","Urban Farm Girlz","mom","UrbanFarm-02",NA,NA,NA
"CO_38691","CO_57602",0.993,0.007,0,0.004,67642,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57602","Cooks","dad","Cooks-18",NA,NA,NA
"CO_38691","CO_57612",0.984,0.015,0.001,0.009,68319,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA
"CO_38691","CO_57599",0.973,0.023,0.004,0.015,62895,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57599","Cathys","dad","Cathys-02",NA,NA,NA
"CO_38691","CO_57610",0.984,0.015,0.001,0.008,49563,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57610","Blue Cloud","mom","BlueCloud-14",NA,NA,NA
"CO_38691","CO_57625",0.976,0.015,0.008,0.016,63359,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57625","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_57630",0.974,0.018,0.008,0.017,60933,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57630","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_57615",0.99,0.01,0,0.005,61927,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57615","Urban Farm Girlz","dad","UrbanFarm-02",NA,NA,NA
"CO_38691","CO_57628",0.979,0.018,0.003,0.012,63615,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57628","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_57619",0.975,0.025,0,0.013,67175,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57619","Reinarz","dad","Reinarz-01",NA,NA,NA
"CO_38691","CO_57624",0.984,0.015,0.001,0.008,64895,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57624","Urban Farm Girlz","dad","UrbanFarm-04",NA,NA,NA
"CO_38691","CO_57853",0.979,0.014,0.008,0.014,57374,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57853","Cooks","mom","Cooks-27",NA,NA,NA
"CO_38691","CO_57836",0.991,0.008,0,0.004,67240,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57836","Make Believe","dad","MakeBelieve-26",NA,NA,NA
"CO_38691","CO_57915",0.972,0.019,0.009,0.018,56863,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57915","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_57631",0.977,0.023,0,0.012,59208,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57631","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_57901",0.974,0.02,0.005,0.016,57637,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57901","Blue Cloud","dad","BlueCloud-09",NA,NA,NA
"CO_38691","CO_57916",0.967,0.031,0.002,0.018,58924,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57916","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_63488",0.991,0.009,0,0.004,66941,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2510-63488","Make Believe","dad","MakeBelieve-17",NA,NA,NA
"CO_38691","CO_82916",0.983,0.016,0.001,0.009,58681,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82916","Make Believe","dad","MakeBelieve-61",NA,NA,NA
"CO_38691","CO_57912",0.974,0.026,0,0.013,63859,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57912","Cooks","dad","Cooks-27",NA,NA,NA
"CO_38691","CO_57917",0.966,0.034,0.001,0.017,55861,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57917","Alishas","dad","none",NA,NA,NA
"CO_38691","CO_97347",0.987,0.013,0,0.007,66706,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2640-97347","Make Believe","mom","MakeBelieve-26",NA,NA,NA
"CO_38691","CO_97370",0.981,0.019,0,0.01,70252,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2640-97370","Cooks","mom","Cooks-23",NA,NA,NA
"CO_38691","CO_97385",0.983,0.015,0.002,0.01,64388,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2640-97385","Make Believe","mom","MakeBelieve-69",NA,NA,NA
"CO_38691","CO_97596",0.986,0.013,0.001,0.007,62671,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2640-97596","Make Believe","mom","MakeBelieve-20",NA,NA,NA
"CO_38691","CO_97548",0.99,0.005,0.005,0.008,68562,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA
"CO_38691","CO_57550",0.972,0.027,0.001,0.014,62588,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57550","Cathys","mom","Cathys-03",NA,NA,NA
"CO_38691","CO_57609",0.99,0.01,0,0.005,60763,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57609","Cooks","mom","Cooks-24",NA,NA,NA
"CO_38691","CO_57551",0.992,0.008,0,0.004,63828,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57551","Struthers","mom","Struthers-20",NA,NA,NA
"CO_38691","CO_57614",0.984,0.015,0,0.008,64857,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57614","Blue Cloud","dad","BlueCloud-14",NA,NA,NA
"CO_38691","CO_57557",0.993,0.007,0,0.004,62965,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57557","Cooks","dad","Cooks-24",NA,NA,NA
"CO_38691","CO_57633",0.978,0.012,0.011,0.016,65451,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57633","Cooks","dad","Cooks-31",NA,NA,NA
"CO_38691","CO_57607",0.98,0.017,0.003,0.011,69167,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57607","Schaaps","dad","Schaaps-108",NA,NA,NA
"CO_38691","CO_57518",0.987,0.012,0.001,0.007,62512,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57518","Make Believe","dad","MakeBelieve-69",NA,NA,NA
"CO_38691","CO_57620",0.962,0.038,0,0.019,64436,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57620","Jims","dad","Jims-01",NA,NA,NA
"CO_38691","CO_57636",0.973,0.026,0.001,0.014,63040,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57636","Blue Cloud","dad","none",NA,NA,NA
"CO_38691","CO_21085",0.984,0.016,0,0.008,61802,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2350-21085","Make Believe","dad","MakeBelieve-20",NA,NA,NA
"CO_38691","CO_57701",0.991,0.009,0,0.004,59220,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57701","Schaaps","dad","Schaaps-110",NA,NA,NA
"CO_38691","CO_57552",0.99,0.01,0,0.005,68173,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2850-57552","Struthers","dad","Struthers-20",NA,NA,NA
"CO_57546","CO_57554",0.98,0.02,0,0.01,58306,"2850-57546","Schaaps","dad","Schaaps-98",NA,"","","2850-57554","Schaaps","dad","Schaaps-24",NA,"",""
"CO_57546","CO_57559",0.972,0.025,0.003,0.015,59753,"2850-57546","Schaaps","dad","Schaaps-98",NA,"","","2850-57559","Schaaps","mom","Schaaps-98",NA,"",""
"CO_57546","CO_57562",0.984,0.009,0.007,0.011,54499,"2850-57546","Schaaps","dad","Schaaps-98",NA,"","","2850-57562","Schaaps","dad","Schaaps-67",NA,"",""
"CO_57546","CO_57561",0.987,0.013,0,0.007,55548,"2850-57546","Schaaps","dad","Schaaps-98",NA,"","","2850-57561","Schaaps","mom","Schaaps-74",NA,"",""
"CO_57546","CO_57563",0.981,0.018,0,0.009,65653,"2850-57546","Schaaps","dad","Schaaps-98",NA,"","","2850-57563","Schaaps","dad","Schaaps-74",NA,"",""
