"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_82960",0.13,0.812,0.058,0.464,71234,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82960","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_38691","CO_82961",0.12,0.822,0.059,0.47,67611,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82961","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_38691","CO_82962",0.148,0.789,0.063,0.458,61099,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82962","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_57554","CO_83006",0.146,0.783,0.071,0.462,65600,"2850-57554","Schaaps","dad","Schaaps-24",NA,"","","2811-83006","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2"
"CO_57554","CO_83028",0.14,0.8,0.06,0.46,63037,"2850-57554","Schaaps","dad","Schaaps-24",NA,"","","2811-83028","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57554","CO_83026",0.158,0.77,0.072,0.457,61491,"2850-57554","Schaaps","dad","Schaaps-24",NA,"","","2811-83026","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57554","CO_83027",0.19,0.725,0.085,0.448,60709,"2850-57554","Schaaps","dad","Schaaps-24",NA,"","","2811-83027","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57559","CO_83027",0.185,0.737,0.078,0.447,62210,"2850-57559","Schaaps","mom","Schaaps-98",NA,"","","2811-83027","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57559","CO_83028",0.183,0.756,0.061,0.439,64535,"2850-57559","Schaaps","mom","Schaaps-98",NA,"","","2811-83028","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57559","CO_83026",0.188,0.74,0.073,0.442,62970,"2850-57559","Schaaps","mom","Schaaps-98",NA,"","","2811-83026","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1"
"CO_57561","CO_83010",0.186,0.767,0.047,0.43,65116,"2850-57561","Schaaps","mom","Schaaps-74",NA,"","","2811-83010","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_57561","CO_83009",0.174,0.753,0.072,0.449,65712,"2850-57561","Schaaps","mom","Schaaps-74",NA,"","","2811-83009","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_57561","CO_83011",0.124,0.838,0.038,0.457,73203,"2850-57561","Schaaps","mom","Schaaps-74",NA,"","","2811-83011","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_57561","CO_83012",0.181,0.753,0.066,0.443,67206,"2850-57561","Schaaps","mom","Schaaps-74",NA,"","","2811-83012","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_57561","CO_83008",0.167,0.774,0.06,0.447,60165,"2850-57561","Schaaps","mom","Schaaps-74",NA,"","","2811-83008","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
"CO_57562","CO_82997",0.15,0.791,0.059,0.454,59078,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-82997","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57562","CO_83000",0.127,0.825,0.048,0.461,64415,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-83000","Schaaps","kid","Schaaps-67",114,"2","Schaaps_114_2"
"CO_57562","CO_83204",0.166,0.768,0.066,0.45,61758,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-83204","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57562","CO_83203",0.159,0.795,0.046,0.443,65424,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-83203","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57562","CO_83202",0.168,0.764,0.067,0.449,57122,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-83202","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57562","CO_83201",0.207,0.682,0.111,0.452,52151,"2850-57562","Schaaps","dad","Schaaps-67",NA,"","","2811-83201","Schaaps","kid","Schaaps-67",67,"1","Schaaps_67_1"
"CO_57563","CO_83009",0.137,0.834,0.029,0.446,77727,"2850-57563","Schaaps","dad","Schaaps-74",NA,"","","2811-83009","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2"
