"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_39152",0.991,0.009,0,0.005,62410,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39152","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
"CO_38691","CO_39029",0.979,0.02,0.001,0.011,57408,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39029","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2"
"CO_38691","CO_39156",0.984,0.015,0,0.008,73076,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39156","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39030",0.982,0.017,0.002,0.01,66812,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39030","Schaaps","kid","Schaaps-98",98,"2","Schaaps_98_2"
"CO_38691","CO_39157",0.986,0.014,0,0.007,63940,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39157","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39042",0.988,0.012,0,0.006,67897,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39042","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39044",0.989,0.011,0,0.006,65283,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39044","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39154",0.985,0.014,0,0.007,64815,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39154","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
"CO_38691","CO_39155",0.986,0.014,0,0.007,63990,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39155","Schaaps","kid","Schaaps-74",74,"1","Schaaps_74_1"
"CO_38691","CO_39153",0.987,0.013,0,0.007,64431,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39153","Schaaps","kid","Schaaps-110",110,"1","Schaaps_110_1"
"CO_38691","CO_39050",0.986,0.013,0,0.007,61222,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39050","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39043",0.99,0.01,0,0.005,64141,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39043","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1"
"CO_38691","CO_39158",0.986,0.007,0.007,0.011,65518,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39158","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1"
"CO_38691","CO_39180",0.972,0.021,0.007,0.018,63313,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39180","Blue Cloud","kid","BlueCloud-17",17,"1","Blue Cloud_17_1"
"CO_38691","CO_39184",0.978,0.022,0,0.011,73386,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39184","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1"
"CO_38691","CO_39159",0.986,0.014,0,0.007,65020,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39159","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1"
"CO_38691","CO_39186",0.979,0.02,0.001,0.011,64231,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39186","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1"
"CO_38691","CO_39188",0.981,0.017,0.002,0.011,71668,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39188","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1"
"CO_38691","CO_39191",0.99,0.009,0.001,0.006,68061,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39191","Cooks","kid","Cooks-18",18,"1","Cooks_18_1"
"CO_38691","CO_39177",0.982,0.018,0,0.009,59755,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39177","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1"
"CO_38691","CO_39185",0.972,0.028,0,0.014,69684,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39185","Urban Farm Girlz","kid","UrbanFarm-04",4,"1","Urban Farm Girlz_4_1"
"CO_38691","CO_39189",0.987,0.013,0.001,0.007,65312,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39189","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1"
"CO_38691","CO_39179",0.978,0.022,0,0.011,58714,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39179","Blue Cloud","kid","BlueCloud-17",17,"1","Blue Cloud_17_1"
"CO_38691","CO_39190",0.99,0.01,0,0.005,71329,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39190","Cooks","kid","Cooks-18",18,"1","Cooks_18_1"
"CO_38691","CO_39187",0.979,0.02,0,0.01,61660,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39187","Schaaps","kid","Schaaps-24",24,"1","Schaaps_24_1"
"CO_38691","CO_39192",0.987,0.013,0,0.006,66145,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39192","Cooks","kid","Cooks-18",18,"1","Cooks_18_1"
"CO_38691","CO_39193",0.986,0.014,0,0.007,67328,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39193","Cooks","kid","Cooks-18",18,"1","Cooks_18_1"
"CO_38691","CO_39198",0.986,0.013,0,0.007,68907,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-39198","Schaaps","kid","Schaaps-71",71,"1","Schaaps_71_1"
"CO_38691","CO_82960",0.13,0.812,0.058,0.464,71234,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82960","Cathys","kid","Cathys-02",2,"1","Cathys_2_1"
"CO_38691","CO_82994",0.99,0.009,0,0.005,67667,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82994","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82991",0.99,0.01,0,0.005,69680,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82991","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82992",0.981,0.019,0,0.01,65573,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82992","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
"CO_38691","CO_82993",0.989,0.011,0,0.006,65962,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-82993","Blue Cloud","kid","BlueCloud-19",24,"2","Blue Cloud_24_2"
