"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","Brood_ind2","site_cat","fert","fert_type"
"Blue Cloud_21_1","2850-57901","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-09","BlueCloud-09","1","medium",2,"wp"
"Blue Cloud_21_1",NA,"2850-57612",NA,"Blue Cloud",NA,"BlueCloud-09","1","medium",3,"ep_unsampled"
"Blue Cloud_22_2","2850-57614","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-14","BlueCloud-14","1","medium",5,"wp"
"Blue Cloud_24_2","2850-57565","2850-57613","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-19","2","medium",4,"wp"
"BlueCloud-09_collected",NA,"2850-57612",NA,"Blue Cloud",NA,"BlueCloud-09","collected","medium",5,"ep_unsampled"
"BlueCloud-14_collected","2850-57565","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-14","collected","medium",3,"ep_diff"
"BlueCloud-14_collected","2850-57614","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-14","BlueCloud-14","collected","medium",1,"wp"
"Cathys-03_collected","2850-57549","2850-57550","Cathys","Cathys","Cathys-03","Cathys-03","collected","small",4,"wp"
"Cathys_2_1","2850-57599","2811-38691","Cathys","Cathys","Cathys-02","Cathys-02","1","small",3,"wp"
"Cooks-23_collected","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","collected","medium",5,"wp"
"Cooks-24_collected","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","collected","medium",5,"wp"
"Cooks-27_collected","2850-57505","2850-57853","Cooks","Cooks","Cooks-23","Cooks-27","collected","medium",1,"ep_same"
"Cooks-27_collected",NA,"2850-57853",NA,"Cooks",NA,"Cooks-27","collected","medium",3,"ep_unsamp_diff"
"Cooks-31_collected","2850-57633","2850-57558","Cooks","Cooks","Cooks-31","Cooks-31","collected","medium",3,"wp"
"Cooks-31_collected",NA,"2850-57558",NA,"Cooks",NA,"Cooks-31","collected","medium",1,"ep_unsamp_diff"
"Cooks_18_1","2850-57602","2850-57854","Cooks","Cooks","Cooks-18","Cooks-18","1","medium",4,"wp"
"Cooks_1_2","2850-57602","2850-57854","Cooks","Cooks","Cooks-18","Cooks-18","2","medium",3,"wp"
"Cooks_22_1","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","1","medium",1,"wp"
"Cooks_22_1",NA,"2640-97370",NA,"Cooks",NA,"Cooks-23","1","medium",4,"ep_unsamp_diff"
"Cooks_29_2","2850-57912","2850-57853","Cooks","Cooks","Cooks-27","Cooks-27","2","medium",1,"wp"
"Cooks_29_2",NA,"2850-57853",NA,"Cooks",NA,"Cooks-27","2","medium",3,"ep_unsamp_diff"
"Cooks_32_2","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","2","medium",4,"wp"
"Cooks_33_2","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","2","medium",4,"wp"
"Cooks_6_1","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","1","medium",4,"wp"
"Hepp (near Cook)_1_1","2850-57505","2850-57558","Cooks","Cooks","Cooks-23","Cooks-31","1","solitary",1,"ep_diff"
"Hepp (near Cook)_1_1",NA,"2850-57558",NA,"Cooks",NA,"Cooks-31","1","solitary",1,"ep_unsamp_diff"
"Make Believe_14_1","2640-97548","2640-97385","Blue Cloud","Make Believe","BlueCloud-18","MakeBelieve-69","1","medium",3,"ep_diff"
"Make Believe_34_1","2850-57518","2640-97347","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-26","1","medium",3,"ep_same"
"Make Believe_34_1","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","1","medium",2,"wp"
"Make Believe_37_2","2510-63488","2850-57635","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-17","2","medium",2,"wp"
"Make Believe_37_2","2850-57518","2850-57635","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-17","2","medium",1,"ep_same"
"Make Believe_37_2","2850-57836","2850-57635","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-17","2","medium",1,"ep_same"
"Make Believe_38_2","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","2","medium",3,"wp"
"Make Believe_70_1","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-20","MakeBelieve-20","1","medium",5,"wp"
"Make Believe_73_2","2510-63488","2640-97596","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-20","2","medium",2,"ep_same"
"Make Believe_73_2","2850-57518","2640-97596","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-20","2","medium",1,"ep_same"
"MakeBelieve-26_collected","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","collected","medium",5,"wp"
"MakeBelieve-69_collected","2850-57518","2640-97385","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","collected","medium",5,"wp"
"Mary Anns_1_2","2850-57549","2850-57550","Cathys","Cathys","Cathys-03","Cathys-03","1","small",4,"wp"
"Reinarz-01_collected","2850-57619","2850-57555","Reinarz","Reinarz","Reinarz-01","Reinarz-01","collected","small",5,"wp"
"Schaaps-108_collected","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","collected","medium",5,"wp"
"Schaaps-54_collected",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54","collected","medium",4,"ep_unsampled"
"Schaaps-80_collected","2850-57701","2850-57556","Schaaps","Schaaps","Schaaps-110","Schaaps-80","collected","medium",5,"ep_same"
"Schaaps_110_1","2850-57701","2850-57604","Schaaps","Schaaps","Schaaps-110","Schaaps-110","1","medium",3,"wp"
"Schaaps_114_2","2850-57562","2850-57904","Schaaps","Schaaps","Schaaps-67","Schaaps-67","2","medium",2,"wp"
"Schaaps_114_2","2850-57701","2850-57904","Schaaps","Schaaps","Schaaps-110","Schaaps-67","2","medium",3,"ep_same"
"Schaaps_134_2",NA,"2850-57611",NA,"Schaaps",NA,"Schaaps-71","2","medium",4,"ep_unsampled"
"Schaaps_14_2","2850-57563","2850-57561","Schaaps","Schaaps","Schaaps-74","Schaaps-74","2","medium",5,"wp"
"Schaaps_24_1","2850-57554","2850-57905","Schaaps","Schaaps","Schaaps-24","Schaaps-24","1","medium",1,"wp"
"Schaaps_24_1","2850-57563","2850-57905","Schaaps","Schaaps","Schaaps-74","Schaaps-24","1","medium",2,"ep_same"
"Schaaps_28_2","2850-57554","2850-57905","Schaaps","Schaaps","Schaaps-24","Schaaps-24","2","medium",1,"wp"
"Schaaps_28_2",NA,"2850-57905",NA,"Schaaps",NA,"Schaaps-24","2","medium",1,"ep_unsampled"
"Schaaps_32_1","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","1","medium",2,"wp"
"Schaaps_32_1","2850-57701","2850-57553","Schaaps","Schaaps","Schaaps-110","Schaaps-108","1","medium",1,"ep_same"
"Schaaps_33_2","2811-06912","2850-57603","Schaaps","Schaaps","Schaaps-54","Schaaps-54","1","medium",2,"wp"
"Schaaps_33_2",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54","1","medium",1,"ep_unsampled"
"Schaaps_36_1","2850-57554","2850-57559","Schaaps","Schaaps","Schaaps-24","Schaaps-98","1","medium",3,"ep_same"
"Schaaps_59_1","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","1","medium",4,"wp"
