"genetic_fam","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","site_cat","fert","fert_type","year"
"2350-21085_2640-97596","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-20","MakeBelieve-20","medium",5,"wp",2021
"2510-63488_2640-97596","2510-63488","2640-97596","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-20","medium",2,"ep_same",2021
"2510-63488_2850-57635","2510-63488","2850-57635","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-17","medium",2,"wp",2021
"2640-97548_2640-97385","2640-97548","2640-97385","Blue Cloud","Make Believe","BlueCloud-18","MakeBelieve-69","medium",3,"ep_diff",2021
"2640-97548_2850-57551","2640-97548","2850-57551","Blue Cloud","Struthers","BlueCloud-18","Struthers-20","small",2,"ep_diff",2021
"2811-06912_2850-57603","2811-06912","2850-57603","Schaaps","Schaaps","Schaaps-54","Schaaps-54","medium",2,"wp",2021
"2850-57505_2640-97370","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","medium",10,"wp",2021
"2850-57505_2850-57558","2850-57505","2850-57558","Cooks","Cooks","Cooks-23","Cooks-31","solitary",1,"ep_same",2021
"2850-57505_2850-57853","2850-57505","2850-57853","Cooks","Cooks","Cooks-23","Cooks-27","medium",1,"ep_same",2021
"2850-57518_2640-97347","2850-57518","2640-97347","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-26","medium",3,"ep_same",2021
"2850-57518_2640-97385","2850-57518","2640-97385","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","medium",5,"wp",2021
"2850-57518_2640-97596","2850-57518","2640-97596","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-20","medium",1,"ep_same",2021
"2850-57518_2850-57635","2850-57518","2850-57635","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-17","medium",1,"ep_same",2021
"2850-57538_2850-57556","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80","medium",5,"wp",2021
"2850-57538_2850-57611","2850-57538","2850-57611","Schaaps","Schaaps","Schaaps-80","Schaaps-71","medium",1,"ep_same",2021
"2850-57546_2850-57559","2850-57546","2850-57559","Schaaps","Schaaps","Schaaps-98","Schaaps-98","medium",2,"wp",2021
"2850-57549_2850-57550","2850-57549","2850-57550","Cathys","Cathys","Cathys-03","Cathys-03","small",8,"wp",2021
"2850-57552_2850-57551","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20","small",11,"wp",2021
"2850-57554_2850-57559","2850-57554","2850-57559","Schaaps","Schaaps","Schaaps-24","Schaaps-98","medium",3,"ep_same",2021
"2850-57554_2850-57905","2850-57554","2850-57905","Schaaps","Schaaps","Schaaps-24","Schaaps-24","medium",2,"wp",2021
"2850-57557_2850-57609","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","medium",13,"wp",2021
"2850-57562_2850-57904","2850-57562","2850-57904","Schaaps","Schaaps","Schaaps-67","Schaaps-67","medium",6,"wp",2021
"2850-57563_2850-57561","2850-57563","2850-57561","Schaaps","Schaaps","Schaaps-74","Schaaps-74","medium",8,"wp",2021
"2850-57563_2850-57905","2850-57563","2850-57905","Schaaps","Schaaps","Schaaps-74","Schaaps-24","medium",2,"ep_same",2021
"2850-57565_2850-57610","2850-57565","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-14","medium",3,"ep_same",2021
"2850-57565_2850-57613","2850-57565","2850-57613","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-19","medium",4,"wp",2021
"2850-57599_2811-38691","2850-57599","2811-38691","Cathys","Cathys","Cathys-02","Cathys-02","small",3,"wp",2021
"2850-57602_2850-57854","2850-57602","2850-57854","Cooks","Cooks","Cooks-18","Cooks-18","medium",7,"wp",2021
"2850-57606_2850-57611","2850-57606","2850-57611","Schaaps","Schaaps","Schaaps-71","Schaaps-71","medium",3,"wp",2021
"2850-57607_2850-57553","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108","medium",10,"wp",2021
