"Year","Band","Site","Sex","Type","FamilyID","Tissue","Seq.ID","Nest","Brood","clutch_id","New2023","Notes"
2021,"2850-57625","Alishas","M","dad","none","blood","CO-57625",NA,NA,NA,"No",""
2021,"2850-57628","Alishas","M","dad","none","blood","CO-57628",NA,NA,NA,"No",""
2021,"2850-57630","Alishas","M","dad","none","blood","CO-57630",NA,NA,NA,"No",""
2021,"2850-57631","Alishas","M","dad","none","blood","CO-57631",NA,NA,NA,"No",""
2021,"2850-57915","Alishas","M","dad","none","blood","CO-57915",NA,NA,NA,"No",""
2021,"2850-57916","Alishas","M","dad","none","blood","CO-57916",NA,NA,NA,"No",""
2021,"2850-57917","Alishas","M","dad","none","blood","CO-57917",NA,NA,NA,"No",""
2021,"2811-83404","Blue Cloud","","kid","BlueCloud-09","blood","CO-83404",21,"1","Blue Cloud_21_1","No",""
2021,"2811-83405","Blue Cloud","","kid","BlueCloud-09","blood","CO-83405",21,"1","Blue Cloud_21_1","No",""
2021,"2811-83406","Blue Cloud","","kid","BlueCloud-09","blood","CO-83406",21,"1","Blue Cloud_21_1","No",""
2021,"2811-83407","Blue Cloud","","kid","BlueCloud-09","blood","CO-83407",21,"1","Blue Cloud_21_1","No",""
2021,"2811-83408","Blue Cloud","","kid","BlueCloud-09","blood","CO-83408",21,"1","Blue Cloud_21_1","No",""
2021,"E29","Blue Cloud","","egg","BlueCloud-09","egg","CO-E29",9,"collected","BlueCloud-09_collected","No",""
2021,"E30","Blue Cloud","","egg","BlueCloud-09","egg","CO-E30",9,"collected","BlueCloud-09_collected","No",""
2021,"E31","Blue Cloud","","egg","BlueCloud-09","egg","CO-E31",9,"collected","BlueCloud-09_collected","No",""
2021,"E32","Blue Cloud","","egg","BlueCloud-09","egg","CO-E32",9,"collected","BlueCloud-09_collected","No",""
2021,"E33","Blue Cloud","","egg","BlueCloud-09","egg","CO-E33",9,"collected","BlueCloud-09_collected","No",""
2021,"2850-57612","Blue Cloud","F","mom","BlueCloud-09","blood","CO-57612",NA,NA,NA,"No",""
2021,"2850-57901","Blue Cloud","M","dad","BlueCloud-09","blood","CO-57901",NA,NA,NA,"No",""
2021,"2811-82979","Blue Cloud","","kid","BlueCloud-14","blood","CO-82979",22,"1","Blue Cloud_22_2","No",""
2021,"2811-82980","Blue Cloud","","kid","BlueCloud-14","blood","CO-82980",22,"1","Blue Cloud_22_2","No",""
2021,"2811-82981","Blue Cloud","","kid","BlueCloud-14","blood","CO-82981",22,"1","Blue Cloud_22_2","No",""
2021,"2811-82982","Blue Cloud","","kid","BlueCloud-14","blood","CO-82982",22,"1","Blue Cloud_22_2","No",""
2021,"2811-82983","Blue Cloud","","kid","BlueCloud-14","blood","CO-82983",22,"1","Blue Cloud_22_2","No",""
2021,"E48","Blue Cloud","","egg","BlueCloud-14","egg","CO-E48",14,"collected","BlueCloud-14_collected","No",""
2021,"E49","Blue Cloud","","egg","BlueCloud-14","egg","CO-E49",14,"collected","BlueCloud-14_collected","No",""
2021,"E50","Blue Cloud","","egg","BlueCloud-14","egg","CO-E50",14,"collected","BlueCloud-14_collected","No",""
2021,"E51","Blue Cloud","","egg","BlueCloud-14","egg","CO-E51",14,"collected","BlueCloud-14_collected","No",""
2021,"2850-57610","Blue Cloud","F","mom","BlueCloud-14","blood","CO-57610",NA,NA,NA,"No",""
2021,"2850-57614","Blue Cloud","M","dad","BlueCloud-14","blood","CO-57614",NA,NA,NA,"No",""
2021,"2811-39179","Blue Cloud","","kid","BlueCloud-17","blood","CO-39179",17,"1","Blue Cloud_17_1","Yes","no lysis collected from mom (2850-57618), dad UNB, nest in back stall"
2021,"2811-39180","Blue Cloud","","kid","BlueCloud-17","blood","CO-39180",17,"1","Blue Cloud_17_1","Yes","no lysis collected from mom (2850-57618), dad UNB, nest in back stall"
