"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33601","CO_57868",0.271,0.61,0.119,0.424,61996,"2850-57868","Urban Farm Girlz","dad","UrbanFarm-08",NA,NA,NA,"2881-33601","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33601","CO_57629",0.258,0.651,0.091,0.417,62641,"2850-57629","Urban Farm Girlz","mom","UrbanFarm-08",NA,NA,NA,"2881-33601","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33602","CO_57868",0.251,0.662,0.087,0.418,65828,"2850-57868","Urban Farm Girlz","dad","UrbanFarm-08",NA,NA,NA,"2881-33602","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33602","CO_57629",0.252,0.652,0.096,0.422,66543,"2850-57629","Urban Farm Girlz","mom","UrbanFarm-08",NA,NA,NA,"2881-33602","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33603","CO_57868",0.251,0.645,0.104,0.426,65590,"2850-57868","Urban Farm Girlz","dad","UrbanFarm-08",NA,NA,NA,"2881-33603","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33603","CO_57629",0.219,0.706,0.075,0.428,66385,"2850-57629","Urban Farm Girlz","mom","UrbanFarm-08",NA,NA,NA,"2881-33603","Urban Farm Girlz","kid","UrbanFarm-08",8,1,"Urban Farm_8_1"
"CO_33604","CO_97548",0.315,0.566,0.119,0.402,62410,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33604","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33604","CO_57612",0.295,0.589,0.117,0.411,61998,"2850-57612","Blue Cloud","mom","BlueCloud-18",NA,NA,NA,"2881-33604","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33605","CO_97548",0.285,0.612,0.103,0.409,65970,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33605","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33605","CO_57612",0.313,0.576,0.111,0.399,65586,"2850-57612","Blue Cloud","mom","BlueCloud-18",NA,NA,NA,"2881-33605","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33606","CO_97548",0.286,0.622,0.092,0.403,66060,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33606","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33606","CO_57612",0.269,0.65,0.081,0.406,65733,"2850-57612","Blue Cloud","mom","BlueCloud-18",NA,NA,NA,"2881-33606","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33607","CO_97548",0.257,0.66,0.083,0.413,68353,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33607","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33607","CO_57612",0.276,0.624,0.101,0.413,67997,"2850-57612","Blue Cloud","mom","BlueCloud-18",NA,NA,NA,"2881-33607","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33608","CO_57565",0.276,0.612,0.112,0.418,67410,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-33608","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33608","CO_57612",0.288,0.608,0.104,0.408,68709,"2850-57612","Blue Cloud","mom","BlueCloud-18",NA,NA,NA,"2881-33608","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33609","CO_57614",0.295,0.578,0.128,0.416,60539,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2881-33609","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33609","CO_57871",0.308,0.542,0.15,0.421,53493,"2850-57871","Blue Cloud","mom","BlueCloud-22",NA,NA,NA,"2881-33609","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33610","CO_57614",0.251,0.667,0.082,0.416,63506,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA,"2881-33610","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
