"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33608","CO_57565",0.276,0.612,0.112,0.418,67410,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-33608","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33611","CO_57901",0.283,0.595,0.121,0.419,58766,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33611","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33627","CO_57679",0.294,0.576,0.13,0.418,62500,"2850-57679","Starlight","dad","none",NA,NA,NA,"2881-33627","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33628","CO_57901",0.3,0.568,0.132,0.416,53147,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33633","CO_57752",0.281,0.612,0.107,0.413,58190,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33633","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33634","CO_57752",0.268,0.624,0.107,0.42,61662,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33634","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33635","CO_57752",0.269,0.629,0.102,0.416,57793,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33635","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33636","CO_57752",0.24,0.664,0.096,0.428,59611,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33636","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33655","CO_57731",0.253,0.648,0.099,0.423,58660,"2850-57731","CHR","dad","CHR-032",NA,NA,NA,"2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
