"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_34012",0.979,0.02,0.002,0.012,60144,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34012","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_57659","CO_33628",0.977,0.019,0.004,0.013,59806,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_57659","CO_33627",0.983,0.017,0,0.009,61899,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33627","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_57659","CO_33643",0.981,0.007,0.011,0.015,59084,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33643","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_57659","CO_34013",0.976,0.019,0.005,0.015,55965,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34013","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_57659","CO_33629",0.323,0.557,0.12,0.399,58529,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33629","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_57659","CO_83051",0.983,0.012,0.005,0.011,54138,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83051","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_57659","CO_33642",0.985,0.012,0.002,0.008,55635,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33642","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_57659","CO_83280",0.981,0.018,0.001,0.01,59460,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83280","Blue Cloud","kid","BlueCloud-05",5,1,"Blue Cloud_5_1"
"CO_57659","CO_33645",0.98,0.015,0.005,0.012,56817,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33645","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_57659","CO_33644",0.978,0.017,0.005,0.013,55284,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33644","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_57659","CO_83052",0.99,0.009,0.001,0.005,54837,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83052","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_57659","CO_83053",0.986,0.013,0.001,0.007,57623,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83053","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_57659","CO_83054",0.99,0.009,0.001,0.005,53855,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83054","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_57659","CO_33607",0.989,0.004,0.007,0.009,64612,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33607","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_57659","CO_33604",0.983,0.013,0.003,0.01,59028,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33604","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_57659","CO_33605",0.988,0.011,0.001,0.006,62515,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33605","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_57659","CO_83055",0.983,0.017,0,0.009,57497,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83055","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_57659","CO_33606",0.984,0.016,0.001,0.008,62617,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33606","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_57659","CO_33630",0.331,0.538,0.131,0.4,60088,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33630","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_57659","CO_33608",0.986,0.013,0,0.007,65431,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33608","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_57659","CO_34039",0.987,0.01,0.002,0.007,57431,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34039","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
