"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"170","CO_57659","CO_33629",0.323,0.557,0.12,0.399,58529,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33629","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"184","CO_57659","CO_33630",0.331,0.538,0.131,0.4,60088,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33630","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"660","CO_57901","CO_83280",0.343,0.49,0.167,0.412,52992,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2811-83280","Blue Cloud","kid","BlueCloud-05",5,1,"Blue Cloud_5_1"
"666","CO_57901","CO_33628",0.3,0.568,0.132,0.416,53147,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"668","CO_57901","CO_33644",0.337,0.492,0.171,0.417,49260,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33644","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"670","CO_57901","CO_33643",0.319,0.525,0.156,0.419,52647,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33643","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"673","CO_57901","CO_33642",0.314,0.548,0.139,0.413,49453,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33642","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"680","CO_57901","CO_33645",0.329,0.522,0.148,0.409,50633,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33645","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"686","CO_57901","CO_33611",0.283,0.595,0.121,0.419,58766,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33611","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"1148","CO_97548","CO_83055",0.331,0.545,0.123,0.396,60664,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2811-83055","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"1154","CO_97548","CO_33605",0.285,0.612,0.103,0.409,65970,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33605","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"1155","CO_97548","CO_83054",0.325,0.55,0.126,0.401,56866,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2811-83054","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"1158","CO_97548","CO_83052",0.345,0.516,0.139,0.397,57833,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2811-83052","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"1159","CO_97548","CO_83053",0.309,0.569,0.122,0.406,60895,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2811-83053","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"1160","CO_97548","CO_83051",0.308,0.564,0.128,0.41,57292,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2811-83051","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"1161","CO_97548","CO_33607",0.257,0.66,0.083,0.413,68353,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33607","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"1162","CO_97548","CO_33606",0.286,0.622,0.092,0.403,66060,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33606","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"1168","CO_97548","CO_33604",0.315,0.566,0.119,0.402,62410,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA,"2881-33604","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"1640","CO_57565","CO_34038",0.289,0.585,0.127,0.419,54887,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA,"2881-34038","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
