"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_33627","2881-33627","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33628","2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33629","2881-33629","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33630","2881-33630","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_34012","2881-34012","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_34013","2881-34013","Blue Cloud","kid","BlueCloud-04",4,1,"Blue Cloud_4_1"
"CO_83280","2811-83280","Blue Cloud","kid","BlueCloud-05",5,1,"Blue Cloud_5_1"
"CO_33642","2881-33642","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33643","2881-33643","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33644","2881-33644","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33645","2881-33645","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_83051","2811-83051","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_83052","2811-83052","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_83053","2811-83053","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_83054","2811-83054","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_83055","2811-83055","Blue Cloud","kid","BlueCloud-18",18,1,"Blue Cloud_18_1"
"CO_33604","2881-33604","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33605","2881-33605","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33606","2881-33606","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33607","2881-33607","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_33608","2881-33608","Blue Cloud","kid","BlueCloud-18",21,2,"Blue Cloud_21_2"
"CO_34037","2881-34037","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_34038","2881-34038","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_34039","2881-34039","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_34040","2881-34040","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_34041","2881-34041","Blue Cloud","kid","BlueCloud-19",24,2,"Blue Cloud_24_2"
"CO_T014","T014","Blue Cloud","kid","BlueCloud-19",19,1,"Blue Cloud_19_1"
"CO_83079","2811-83079","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"CO_83080","2811-83080","Blue Cloud","kid","BlueCloud-22",22,1,"Blue Cloud_22_1"
"CO_33609","2881-33609","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33610","2881-33610","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33611","2881-33611","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_33612","2881-33612","Blue Cloud","kid","BlueCloud-22",14,2,"Blue Cloud_14_2"
"CO_34088","2881-34088","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_34089","2881-34089","Boyer","kid","Boyer-05",5,2,"Boyer's_5_2"
"CO_33637","2881-33637","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33638","2881-33638","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33639","2881-33639","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33640","2881-33640","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33641","2881-33641","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_83141","2811-83141","Cathy's","kid","Cathys-02",2,2,"Cathy's_2_2"
"CO_83277","2811-83277","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_83278","2811-83278","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_83279","2811-83279","CHR","kid","CHR-004",4,1,"CHR_4_1"
"CO_83437","2811-83437","CHR","kid","CHR-004",4,2,"CHR_4_2"
"CO_83438","2811-83438","CHR","kid","CHR-004",4,2,"CHR_4_2"
"CO_83142","2811-83142","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_83143","2811-83143","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_83144","2811-83144","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_83145","2811-83145","CHR","kid","CHR-011",101,2,"CHR_101_2"
"CO_83241","2811-83241","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_83242","2811-83242","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_83243","2811-83243","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_83244","2811-83244","CHR","kid","CHR-025",25,1,"CHR_25_1"
"CO_33655","2881-33655","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33656","2881-33656","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_33657","2881-33657","CHR","kid","CHR-025",95,2,"CHR_95_2"
"CO_34001","2881-34001","CHR","kid","CHR-029",29,1,"CHR_29_1"
