"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","brood","site_type","fert","fert_type","clutch_size","site_size_dad","site_size_mom"
"Blue Cloud_14_2","2850-57614","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-22","BlueCloud-22",2,"medium",3,"wp",4,7,7
"Blue Cloud_14_2","2850-57901","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-22",2,"medium",1,"ep_same",4,7,7
"Blue Cloud_17_2","2850-57659","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-04","BlueCloud-04",2,"medium",2,"wp",4,7,7
"Blue Cloud_17_2","2850-57679","2850-57869","Starlight","Blue Cloud","none","BlueCloud-04",2,"medium",1,"ep_diff",4,3,7
"Blue Cloud_17_2","2850-57901","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-04",2,"medium",1,"ep_same",4,7,7
"Blue Cloud_18_1","2640-97548","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-18",1,"medium",5,"wp",5,7,7
"Blue Cloud_19_1","2850-57565","2850-57870","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-19",1,"medium",1,"wp",1,7,7
"Blue Cloud_21_2","2640-97548","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-18",2,"medium",4,"wp",5,7,7
"Blue Cloud_21_2","2850-57565","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-18",2,"medium",1,"ep_same",5,7,7
"Blue Cloud_22_1","2850-57614","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-22","BlueCloud-22",1,"medium",2,"wp",2,7,7
"Blue Cloud_24_2","2850-57565","2850-57870","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-19",2,"medium",5,"wp",5,7,7
"Blue Cloud_4_1","2850-57751","2850-57869","Jay's","Blue Cloud","Jays-01","BlueCloud-04",1,"medium",2,"ep_diff",2,1,7
"Blue Cloud_5_1","2850-57901","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-05",1,"medium",1,"wp",1,7,7
"Blue Cloud_5_2","2850-57901","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-05",2,"medium",4,"wp",4,7,7
"Boyer's_5_2","2850-57689","2850-57685","Boyer","Boyer","Boyer-05-07","Boyer-05-07",2,"medium",2,"wp",2,5,5
"Boyer's_7_2","2850-57686","2850-57688","Boyer","Boyer","Boyer-05-07","Boyer-05-07",2,"medium",5,"wp",5,5,5
"CHR_101_2","2850-57733",NA,"CHR",NA,"CHR-011",NA,2,"large",4,"mom_unk",4,32,NA
"CHR_102.2_2","2640-97589","2811-38984","CHR","CHR","CHR-102","CHR-102",2,"large",4,"wp",4,32,32
"CHR_102_1","2640-97589","2811-38984","CHR","CHR","CHR-102","CHR-102",1,"large",3,"wp",3,32,32
"CHR_110_1","2850-57742","2850-57846","CHR","CHR","CHR-110","CHR-110",1,"large",4,"wp",4,32,32
"CHR_112.2_2","2850-57646","2850-57879","CHR","CHR","CHR-054","CHR-112",2,"large",1,"ep_same",4,32,32
"CHR_112.2_2",NA,"2850-57879",NA,"CHR",NA,"CHR-112",2,"large",3,"dad_unk",4,NA,32
"CHR_112_1","2850-57647","2850-57879","CHR","CHR","CHR-112","CHR-112",1,"large",2,"wp",4,32,32
"CHR_112_1",NA,"2850-57879",NA,"CHR",NA,"CHR-112",1,"large",2,"dad_unk",4,NA,32
"CHR_119_2","2850-57806","2850-57735","CHR","CHR","CHR-037","CHR-037",2,"large",2,"wp",2,32,32
"CHR_128_1","2850-57577","2870-65003","CHR","CHR","CHR-128","CHR-128",1,"large",4,"wp",4,32,32
"CHR_133_1","2870-64907","2850-57648","CHR","CHR","none","CHR-133",1,"large",1,"ep_same",1,32,32
"CHR_148_2","2850-57582","2870-64909","CHR","CHR","CHR-148","CHR-148",2,"large",4,"wp",4,32,32
"CHR_150_2","2850-57577","2870-65003","CHR","CHR","CHR-128","CHR-128",2,"large",1,"wp",1,32,32
"CHR_151_2","2850-57570","2850-57648","CHR","CHR","CHR-133","CHR-133",2,"large",2,"wp",3,32,32
"CHR_151_2",NA,"2850-57648",NA,"CHR",NA,"CHR-133",2,"large",1,"dad_unk",3,NA,32
"CHR_16_2","2850-57581","2850-57652","CHR","CHR","CHR-066","CHR-066",2,"large",4,"wp",4,32,32
"CHR_19_2","2850-57589","2850-57583","CHR","CHR","CHR-097","CHR-097",2,"large",4,"wp",4,32,32
"CHR_25_1","2850-57733","2850-57650","CHR","CHR","CHR-011","CHR-025",1,"large",1,"ep_same",4,32,32
"CHR_25_1","2850-57808","2850-57650","CHR","CHR","CHR-029","CHR-025",1,"large",1,"ep_same",4,32,32
"CHR_25_1","2850-57881","2850-57650","CHR","CHR","CHR-025","CHR-025",1,"large",2,"wp",4,32,32
"CHR_27_2","2850-57587","2640-97331","CHR","CHR","none","CHR-029",2,"large",1,"ep_same",4,32,32
"CHR_27_2","2850-57808","2640-97331","CHR","CHR","CHR-029","CHR-029",2,"large",3,"wp",4,32,32
"CHR_29_1","2640-97588","2640-97331","CHR","CHR","CHR-093","CHR-029",1,"large",2,"ep_same",4,32,32
"CHR_29_1","2850-57808","2640-97331","CHR","CHR","CHR-029","CHR-029",1,"large",2,"wp",4,32,32
"CHR_32_1","2850-57731","2640-97358","CHR","CHR","CHR-032","CHR-032",1,"large",4,"wp",5,32,32
"CHR_32_1","2850-57808","2640-97358","CHR","CHR","CHR-029","CHR-032",1,"large",1,"ep_same",5,32,32
"CHR_32_3","2850-57731","2640-97358","CHR","CHR","CHR-032","CHR-032",3,"large",2,"wp",2,32,32
"CHR_37_1","2850-57806","2850-57735","CHR","CHR","CHR-037","CHR-037",1,"large",1,"wp",3,32,32
"CHR_37_1","2850-57808","2850-57735","CHR","CHR","CHR-029","CHR-037",1,"large",2,"ep_same",3,32,32
"CHR_39_1","2850-57620","2850-57649","CHR","CHR","CHR-039","CHR-039",1,"large",4,"wp",4,32,32
"CHR_39_2","2850-57620","2850-57649","CHR","CHR","CHR-039","CHR-039",2,"large",4,"wp",4,32,32
"CHR_43_1","2850-57567","2850-57736","CHR","CHR","CHR-043","CHR-043",1,"large",5,"wp",5,32,32
"CHR_45_2","2850-57889","2850-57588","Mayas","CHR","none","CHR-045",2,"large",2,"ep_diff",4,9,32
"CHR_45_2",NA,"2850-57588",NA,"CHR",NA,"CHR-045",2,"large",2,"dad_unk",4,NA,32
"CHR_4_1","2850-57581","2850-57585","CHR","CHR","CHR-066","CHR-004",1,"large",2,"ep_same",3,32,32
