"genetic_fam","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","site_type","fert","fert_type"
"2350-21085_2640-97596","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-73","medium",7,"wp"
"2350-21085_2850-57576","2350-21085","2850-57576","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-14","medium",1,"ep_same"
"2350-21085_2850-57635","2350-21085","2850-57635","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-38","medium",4,"ep_same"
"2350-21085_2850-57872","2350-21085","2850-57872","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-26","medium",3,"ep_same"
"2350-21085_2850-57874","2350-21085","2850-57874","Make Believe","Make Believe","MakeBelieve-73","MakeBelieve-08","medium",1,"ep_same"
"2640-97548_2850-57612","2640-97548","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-18","medium",9,"wp"
"2640-97588_2640-97331","2640-97588","2640-97331","CHR","CHR","CHR-093","CHR-029","large",2,"ep_same"
"2640-97588_2850-57730","2640-97588","2850-57730","CHR","CHR","CHR-093","CHR-093","large",7,"wp"
"2640-97589_2811-38984","2640-97589","2811-38984","CHR","CHR","CHR-102","CHR-102","large",7,"wp"
"2640-97589_2850-57568","2640-97589","2850-57568","CHR","CHR","CHR-102","CHR-096","large",1,"ep_same"
"2640-97589_2850-57656","2640-97589","2850-57656","CHR","CHR","CHR-102","CHR-078","large",3,"ep_same"
"2640-97589_2850-57883","2640-97589","2850-57883","CHR","CHR","CHR-102","CHR-099","large",2,"ep_same"
"2811-83208_2850-57585","2811-83208","2850-57585","CHR","CHR","CHR-004","CHR-004","large",1,"wp"
"2850-57518_2850-57576","2850-57518","2850-57576","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-14","medium",5,"wp"
"2850-57518_2850-57635","2850-57518","2850-57635","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-38","medium",1,"ep_same"
"2850-57518_2850-57872","2850-57518","2850-57872","Make Believe","Make Believe","MakeBelieve-14","MakeBelieve-26","medium",1,"ep_same"
"2850-57552_2850-57551","2850-57552","2850-57551","Struthers","Struthers","Struthers-10","Struthers-10","small",8,"wp"
"2850-57565_2850-57612","2850-57565","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-18","medium",1,"ep_same"
"2850-57565_2850-57870","2850-57565","2850-57870","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-19","medium",6,"wp"
"2850-57567_2850-57736","2850-57567","2850-57736","CHR","CHR","CHR-043","CHR-043","large",5,"wp"
"2850-57570_2850-57568","2850-57570","2850-57568","CHR","CHR","CHR-133","CHR-096","large",2,"ep_same"
"2850-57570_2850-57648","2850-57570","2850-57648","CHR","CHR","CHR-133","CHR-133","large",2,"wp"
"2850-57573_2850-57663","2850-57573","2850-57663","Cooks","Cooks","Cooks-31","Cooks-31","medium",7,"wp"
"2850-57574_2850-57575","2850-57574","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","medium",2,"wp"
"2850-57577_2850-57670","2850-57577","2850-57670","CHR","CHR","CHR-128","CHR-073","large",1,"ep_same"
"2850-57577_2870-65003","2850-57577","2870-65003","CHR","CHR","CHR-128","CHR-128","large",5,"wp"
"2850-57578_2850-57883","2850-57578","2850-57883","CHR","CHR","CHR-099","CHR-099","large",6,"wp"
"2850-57580_2850-57654","2850-57580","2850-57654","CHR","CHR","CHR-080","CHR-080","large",2,"wp"
"2850-57581_2850-57585","2850-57581","2850-57585","CHR","CHR","CHR-066","CHR-004","large",3,"ep_same"
"2850-57581_2850-57652","2850-57581","2850-57652","CHR","CHR","CHR-066","CHR-066","large",4,"wp"
"2850-57581_2850-57746","2850-57581","2850-57746","CHR","CHR","CHR-066","CHR-074","large",2,"ep_same"
"2850-57582_2850-57746","2850-57582","2850-57746","CHR","CHR","CHR-074","CHR-074","large",3,"wp"
"2850-57582_2870-64909","2850-57582","2870-64909","CHR","CHR","CHR-148","CHR-148","large",4,"wp"
"2850-57587_2640-97331","2850-57587","2640-97331","CHR","CHR","none","CHR-029","large",1,"ep_same"
"2850-57589_2850-57583","2850-57589","2850-57583","CHR","CHR","CHR-097","CHR-097","large",8,"wp"
"2850-57589_2850-57654","2850-57589","2850-57654","CHR","CHR","CHR-097","CHR-080","large",1,"ep_same"
"2850-57614_2850-57871","2850-57614","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-22","BlueCloud-22","medium",5,"wp"
"2850-57619_2850-57853","2850-57619","2850-57853","Reinarz","Cooks","none","Cooks-29","medium",2,"ep_diff"
"2850-57620_2850-57649","2850-57620","2850-57649","CHR","CHR","CHR-039","CHR-039","large",8,"wp"
"2850-57633_2850-57637","2850-57633","2850-57637","Cooks","Cooks","Cooks-02","Cooks-02","medium",1,"wp"
"2850-57633_2850-57853","2850-57633","2850-57853","Cooks","Cooks","Cooks-02","Cooks-29","medium",2,"ep_same"
"2850-57638_2850-57853","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29","medium",5,"wp"
"2850-57639_2850-57640","2850-57639","2850-57640","McCauley","McCauley","McCauley-01","McCauley-01","small",2,"wp"
"2850-57643_2811-83207","2850-57643","2811-83207","Dome House","Dome House","DomeHouse-01","DomeHouse-01","solitary",2,"wp"
"2850-57643_2850-57608","2850-57643","2850-57608","Dome House","Urban Farm Girlz","DomeHouse-01","UrbanFarm-02","small",1,"ep_diff"
"2850-57646_2850-57879","2850-57646","2850-57879","CHR","CHR","CHR-054","CHR-112","large",1,"ep_same"
"2850-57647_2850-57879","2850-57647","2850-57879","CHR","CHR","CHR-112","CHR-112","large",2,"wp"
"2850-57653_2850-57730","2850-57653","2850-57730","CHR","CHR","CHR-045","CHR-093","large",1,"ep_same"
"2850-57659_2850-57869","2850-57659","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-04","BlueCloud-04","medium",2,"wp"
"2850-57662_2850-57661","2850-57662","2850-57661","Karen's","Karen's","Karens-01","Karens-01","solitary",3,"wp"
"2850-57666_2850-57667","2850-57666","2850-57667","Cathy's","Cathy's","Cathys-02","Cathys-02","solitary",1,"wp"
"2850-57668_2850-57635","2850-57668","2850-57635","Make Believe","Make Believe","MakeBelieve-38","MakeBelieve-38","medium",3,"wp"
"2850-57671_2850-57670","2850-57671","2850-57670","CHR","CHR","CHR-073","CHR-073","large",4,"wp"
"2850-57673_2850-57664","2850-57673","2850-57664","Cooks","Cooks","Cooks-17","Cooks-27","medium",1,"ep_same"
"2850-57673_2850-57672","2850-57673","2850-57672","Cooks","Cooks","Cooks-17","Cooks-17","medium",2,"wp"
"2850-57675_NA","2850-57675",NA,"Cooks",NA,"Cooks-13",NA,"medium",4,"mom_unk"
"2850-57676_2850-57664","2850-57676","2850-57664","Cooks","Cooks","Cooks-27","Cooks-27","medium",2,"wp"
"2850-57679_2850-57869","2850-57679","2850-57869","Starlight","Blue Cloud","none","BlueCloud-04","medium",1,"ep_diff"
"2850-57686_2850-57688","2850-57686","2850-57688","Boyer","Boyer","Boyer-05-07","Boyer-05-07","medium",5,"wp"
"2850-57689_2850-57685","2850-57689","2850-57685","Boyer","Boyer","Boyer-05-07","Boyer-05-07","medium",2,"wp"
"2850-57691_2850-57692","2850-57691","2850-57692","Marte's","Marte's","Marty-01","Marty-01","solitary",6,"wp"
"2850-57699_2850-57698","2850-57699","2850-57698","Speedwell","Speedwell","Speedwell-01","Speedwell-01","solitary",2,"wp"
"2850-57731_2640-97358","2850-57731","2640-97358","CHR","CHR","CHR-032","CHR-032","large",6,"wp"
"2850-57731_2850-57650","2850-57731","2850-57650","CHR","CHR","CHR-032","CHR-025","large",1,"ep_same"
"2850-57733_2850-57650","2850-57733","2850-57650","CHR","CHR","CHR-011","CHR-025","large",1,"ep_same"
"2850-57733_2850-57652","2850-57733","2850-57652","CHR","CHR","CHR-011","CHR-066","large",2,"ep_same"
"2850-57733_2850-57654","2850-57733","2850-57654","CHR","CHR","CHR-011","CHR-080","large",1,"ep_same"
"2850-57733_NA","2850-57733",NA,"CHR",NA,"CHR-011",NA,"large",4,"mom_unk"
"2850-57742_2850-57846","2850-57742","2850-57846","CHR","CHR","CHR-110","CHR-110","large",5,"wp"
"2850-57744_2850-57656","2850-57744","2850-57656","CHR","CHR","CHR-078","CHR-078","large",2,"wp"
"2850-57751_2850-57869","2850-57751","2850-57869","Jay's","Blue Cloud","Jays-01","BlueCloud-04","medium",2,"ep_diff"
"2850-57752_2850-57640","2850-57752","2850-57640","McCauley","McCauley","McCauley-04","McCauley-01","small",4,"ep_same"
"2850-57752_2850-57753","2850-57752","2850-57753","McCauley","McCauley","McCauley-04","McCauley-04","small",4,"wp"
"2850-57806_2850-57585","2850-57806","2850-57585","CHR","CHR","CHR-037","CHR-004","large",1,"ep_same"
"2850-57806_2850-57735","2850-57806","2850-57735","CHR","CHR","CHR-037","CHR-037","large",3,"wp"
"2850-57808_2640-97331","2850-57808","2640-97331","CHR","CHR","CHR-029","CHR-029","large",5,"wp"
"2850-57808_2640-97358","2850-57808","2640-97358","CHR","CHR","CHR-029","CHR-032","large",1,"ep_same"
"2850-57808_2850-57568","2850-57808","2850-57568","CHR","CHR","CHR-029","CHR-096","large",4,"ep_same"
"2850-57808_2850-57571","2850-57808","2850-57571","CHR","CHR","CHR-029","CHR-058","large",3,"ep_same"
"2850-57808_2850-57650","2850-57808","2850-57650","CHR","CHR","CHR-029","CHR-025","large",1,"ep_same"
"2850-57808_2850-57735","2850-57808","2850-57735","CHR","CHR","CHR-029","CHR-037","large",2,"ep_same"
"2850-57868_2850-57629","2850-57868","2850-57629","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-08","UrbanFarm-08","small",4,"wp"
"2850-57873_2850-57872","2850-57873","2850-57872","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26","medium",4,"wp"
"2850-57875_2850-57874","2850-57875","2850-57874","Make Believe","Make Believe","MakeBelieve-08","MakeBelieve-08","medium",1,"wp"
"2850-57877_2850-57878","2850-57877","2850-57878","Make Believe","Make Believe","MakeBelieve-13","MakeBelieve-13","medium",3,"wp"
"2850-57880_2850-57571","2850-57880","2850-57571","CHR","CHR","CHR-139","CHR-058","large",1,"ep_same"
"2850-57881_2850-57650","2850-57881","2850-57650","CHR","CHR","CHR-025","CHR-025","large",4,"wp"
"2850-57889_2850-57588","2850-57889","2850-57588","Mayas","CHR","none","CHR-045","large",2,"ep_diff"
"2850-57899_2850-57608","2850-57899","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02","small",2,"wp"
"2850-57901_2850-57572","2850-57901","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-05","medium",5,"wp"
"2850-57901_2850-57869","2850-57901","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-04","medium",1,"ep_same"
"2850-57901_2850-57871","2850-57901","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-05","BlueCloud-22","medium",1,"ep_same"
"2870-64907_2850-57648","2870-64907","2850-57648","CHR","CHR","none","CHR-133","large",1,"ep_same"
"2870-64915_2850-57700","2870-64915","2850-57700","Cooks","Cooks","Cooks-33","Cooks-33","medium",4,"wp"
"2870-64916_2850-57550","2870-64916","2850-57550","Mary Ann's","Mary Ann's","MaryAnns-01","MaryAnns-01","solitary",3,"wp"
"NA_2640-97596",NA,"2640-97596",NA,"Make Believe",NA,"MakeBelieve-73","medium",3,"dad_unk"
"NA_2811-83207",NA,"2811-83207",NA,"Dome House",NA,"DomeHouse-01","solitary",2,"dad_unk"
"NA_2850-57551",NA,"2850-57551",NA,"Struthers",NA,"Struthers-10","small",2,"dad_unk"
"NA_2850-57575",NA,"2850-57575",NA,"Cooks",NA,"Cooks-04","medium",2,"dad_unk"
"NA_2850-57588",NA,"2850-57588",NA,"CHR",NA,"CHR-045","large",2,"dad_unk"
"NA_2850-57609",NA,"2850-57609",NA,"Cooks",NA,"Cooks-06","medium",5,"dad_unk"
"NA_2850-57629",NA,"2850-57629",NA,"Urban Farm Girlz",NA,"UrbanFarm-08","small",3,"dad_unk"
"NA_2850-57645",NA,"2850-57645",NA,"Struthers",NA,"Struthers-03","small",4,"dad_unk"
"NA_2850-57648",NA,"2850-57648",NA,"CHR",NA,"CHR-133","large",1,"dad_unk"
"NA_2850-57672",NA,"2850-57672",NA,"Cooks",NA,"Cooks-17","medium",2,"dad_unk"
"NA_2850-57698",NA,"2850-57698",NA,"Speedwell",NA,"Speedwell-01","solitary",2,"dad_unk"
"NA_2850-57730",NA,"2850-57730",NA,"CHR",NA,"CHR-093","large",1,"dad_unk"
"NA_2850-57746",NA,"2850-57746",NA,"CHR",NA,"CHR-074","large",2,"dad_unk"
"NA_2850-57846",NA,"2850-57846",NA,"CHR",NA,"CHR-110","large",1,"dad_unk"
"NA_2850-57853",NA,"2850-57853",NA,"Cooks",NA,"Cooks-29","medium",1,"dad_unk"
"NA_2850-57879",NA,"2850-57879",NA,"CHR",NA,"CHR-112","large",5,"dad_unk"
