"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_57677",0.991,0.002,0.007,0.008,64542,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57677","Karens",1,"dad","Karens-01","","Karens_1_"
"CO_57572","CO_57577",0.984,0.011,0.006,0.011,61349,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57577","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_21085",0.99,0.008,0.002,0.006,56162,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2350-21085","Make Believe",70,"dad","MakeBelieve-70","","Make Believe_70_"
"CO_57572","CO_21085",0.99,0.008,0.002,0.006,56162,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2350-21085","Make Believe",70,"dad","MakeBelieve-70.3","","Make Believe_70_"
"CO_57572","CO_57686",0.994,0.006,0,0.003,63925,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57686","Boyer",13,"dad","Boyer-13","","Boyer_13_"
"CO_57572","CO_57686",0.994,0.006,0,0.003,63925,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57686","Boyer",15,"dad","Boyer-15","","Boyer_15_"
"CO_57572","CO_97548",0.99,0.01,0,0.005,62363,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2640-97548","Blue Cloud",18,"dad","BlueCloud-18","","Blue Cloud_18_"
"CO_57572","CO_64906",0.989,0.01,0.001,0.006,57120,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64906","Boyer",9,"dad","Boyer-09","","Boyer_9_"
"CO_57572","CO_57878",0.988,0.011,0.001,0.006,64890,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57878","Make Believe",31,"mom","MakeBelieve-31","","Make Believe_31_"
"CO_57572","CO_57878",0.988,0.011,0.001,0.006,64890,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57878","Make Believe",31,"mom","MakeBelieve-70.3","","Make Believe_31_"
"CO_57572","CO_57688",0.985,0.014,0.001,0.008,63024,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57688","Boyer",5,"mom","Boyer-05","","Boyer_5_"
"CO_57572","CO_57688",0.985,0.014,0.001,0.008,63024,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57688","Boyer",15,"mom","Boyer-15","","Boyer_15_"
"CO_57572","CO_57853",0.991,0.009,0.001,0.005,52324,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57853","Cooks",29,"mom","Cooks-29","","Cooks_29_"
"CO_57572","CO_97596",0.991,0.009,0,0.005,57073,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2640-97596","Make Believe",70,"mom","MakeBelieve-70","","Make Believe_70_"
"CO_57572","CO_57901",0.989,0.011,0,0.005,52547,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_"
"CO_57572","CO_83229",0.987,0.013,0,0.007,54081,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2811-83229","Jays",1,"dad","Jays-01","","Jays_1_"
"CO_57572","CO_57880",0.979,0.011,0.011,0.016,53826,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57880","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_34050",0.992,0.008,0.001,0.005,55413,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-34050","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57881",0.988,0.01,0.002,0.007,55362,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57881","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_06861",0.995,0.005,0,0.003,65166,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2811-06861","Boyer",9,"mom","Boyer-09","","Boyer_9_"
"CO_57572","CO_33721",0.995,0,0.005,0.005,65796,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33721","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_57684",0.988,0.01,0.001,0.006,58342,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57684","Struthers",23,"dad","Struthers-23","","Struthers_23_"
"CO_57572","CO_57552",0.991,0.009,0,0.005,62201,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57552","Struthers",24,"dad","Struthers-24","","Struthers_24_"
"CO_57572","CO_57551",0.992,0.008,0,0.004,58285,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57551","Struthers",24,"mom","Struthers-24","","Struthers_24_"
"CO_57572","CO_64907",0.979,0.02,0.001,0.011,52109,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64907","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57629",0.987,0.013,0,0.007,60550,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05","","Urban Farm Girlz_2_"
"CO_57572","CO_57643",0.978,0.017,0.004,0.013,55286,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-05","","Urban Farm Girlz_2_"
"CO_57572","CO_33719",0.989,0.011,0,0.006,62991,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33719","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_33720",0.989,0.011,0,0.006,61452,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33720","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_33728",0.993,0.006,0.001,0.004,61833,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33728","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33726",0.989,0.01,0.001,0.006,60740,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33726","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33804",0.989,0.009,0.002,0.006,68752,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33804","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33724",0.99,0.01,0,0.005,62608,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33724","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1"
"CO_57572","CO_33725",0.992,0.008,0,0.004,58348,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33725","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33803",0.986,0.012,0.002,0.008,59569,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33803","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33802",0.98,0.019,0.001,0.011,61879,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33802","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33723",0.981,0.018,0.001,0.01,64493,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33723","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1"
"CO_57572","CO_33806",0.99,0.01,0,0.005,56488,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33806","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
"CO_57572","CO_33727",0.983,0.017,0,0.009,59722,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33727","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33805",0.987,0.012,0,0.006,61617,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33805","Urban Farm Girlz",5,"kid","UrbanFarm-05","1","Urban Farm Girlz_5_1"
"CO_57572","CO_33809",0.988,0.008,0.004,0.008,57139,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33809","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2"
"CO_57572","CO_33807",0.988,0.011,0,0.006,65606,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33807","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
"CO_57572","CO_33808",0.988,0.012,0.001,0.007,62116,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33808","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
"CO_57572","CO_33810",0.985,0.014,0.001,0.008,61453,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33810","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2"
"CO_57572","CO_33812",0.982,0.016,0.002,0.01,68344,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33812","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2"
"CO_57572","CO_33814",0.987,0.013,0,0.007,59491,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33814","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2"
"CO_57572","CO_33820",0.993,0.006,0,0.003,66344,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33820","Boyer",16,"kid","Boyer-13","2","Boyer_16_2"
"CO_57572","CO_33811",0.982,0.017,0.001,0.009,58009,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33811","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2"
"CO_57572","CO_33817",0.992,0.008,0,0.004,59203,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33817","Boyer",16,"kid","Boyer-13","2","Boyer_16_2"
"CO_57572","CO_33815",0.986,0.014,0,0.007,60763,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33815","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2"
"CO_57572","CO_33819",0.994,0.006,0,0.003,66664,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33819","Boyer",16,"kid","Boyer-13","2","Boyer_16_2"
"CO_57572","CO_33816",0.98,0.018,0.001,0.01,56787,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33816","Make Believe",8,"kid","MakeBelieve-74","2","Make Believe_8_2"
"CO_57572","CO_33818",0.99,0.01,0,0.005,58061,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33818","Boyer",16,"kid","Boyer-13","2","Boyer_16_2"
