"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_33721",0.995,0,0.005,0.005,65796,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33721","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_33719",0.989,0.011,0,0.006,62991,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33719","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_33720",0.989,0.011,0,0.006,61452,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33720","Boyer",2.3,"kid","Boyer-02","2","Boyer_2.3_2"
"CO_57572","CO_33728",0.993,0.006,0.001,0.004,61833,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33728","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33726",0.989,0.01,0.001,0.006,60740,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33726","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33804",0.989,0.009,0.002,0.006,68752,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33804","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33724",0.99,0.01,0,0.005,62608,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33724","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1"
"CO_57572","CO_33725",0.992,0.008,0,0.004,58348,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33725","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33803",0.986,0.012,0.002,0.008,59569,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33803","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33802",0.98,0.019,0.001,0.011,61879,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33802","Cooks",17.2,"kid","Cooks-15","2","Cooks_17.2_2"
"CO_57572","CO_33723",0.981,0.018,0.001,0.01,64493,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33723","Cooks",4.2,"kid","Cooks-04.2","1","Cooks_4.2_1"
"CO_57572","CO_33806",0.99,0.01,0,0.005,56488,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33806","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
"CO_57572","CO_33727",0.983,0.017,0,0.009,59722,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33727","Cooks",36.2,"kid","Cooks-04","2","Cooks_36.2_2"
"CO_57572","CO_33805",0.987,0.012,0,0.006,61617,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33805","Urban Farm Girlz",5,"kid","UrbanFarm-05","1","Urban Farm Girlz_5_1"
"CO_57572","CO_33809",0.988,0.008,0.004,0.008,57139,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33809","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2"
"CO_57572","CO_33807",0.988,0.011,0,0.006,65606,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33807","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
"CO_57572","CO_33808",0.988,0.012,0.001,0.007,62116,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2881-33808","Boyer",4,"kid","Boyer-03","2","Boyer_4_2"
