"band_mom","fem.tot.fert","fem.tot.wp","prop.ep"
"2640-97596",5,5,0
"2811-06861",10,9,0.1
"2850-57551",7,5,0.285714285714286
"2850-57572",8,7,0.125
"2850-57575",14,9,0.357142857142857
"2850-57608",4,4,0
"2850-57629",5,1,0.8
"2850-57683",6,6,0
"2850-57685",11,7,0.363636363636364
"2850-57687",8,3,0.625
"2850-57688",8,8,0
"2850-57764",3,0,1
"2850-57771",3,0,1
"2850-57853",4,3,0.25
"2850-57869",8,2,0.75
"2850-57871",5,2,0.6
"2850-57878",6,6,0
"2850-57928",4,4,0
"2850-57931",6,3,0.5
"2850-57932",4,0,1
"2850-57934",10,5,0.5
"2850-57938",3,0,1
"2850-57939",13,11,0.153846153846154
"2850-57941",8,8,0
"2850-57943",2,2,0
"2850-57945",5,5,0
"2850-57946",4,4,0
"2850-57948",8,4,0.5
"2850-57950",7,6,0.142857142857143
"2850-57952",8,5,0.375
"2850-57954",6,6,0
"2850-57956",5,5,0
"2850-57978",1,1,0
"2870-65015",6,6,0
"2870-65019",1,0,1
