"genetic_fam","band_dad","band_mom","site_dad","site_ind2","FamilyID_dad","FamilyID_mom","FamilyID_ind2","site_type","fert","fert_type"
"2350-21085_2640-97596","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-70","MakeBelieve-70","MakeBelieve-70","medium",5,"wp"
"2350-21085_2850-57878","2350-21085","2850-57878","Make Believe","Make Believe","MakeBelieve-70.3","MakeBelieve-70.3","MakeBelieve-70.3","medium",2,"wp"
"2640-97548_2850-57572","2640-97548","2850-57572","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-06","BlueCloud-06","medium",1,"ep_same"
"2640-97548_2850-57869","2640-97548","2850-57869","Blue Cloud","Blue Cloud","BlueCloud-18","BlueCloud-18","BlueCloud-18","medium",2,"wp"
"2811-83118_2850-57948","2811-83118","2850-57948","Cooks","Cooks","Cooks-15","Cooks-15","Cooks-15","medium",4,"wp"
"2811-83229_2850-57952","2811-83229","2850-57952","Jays","Jays","Jays-01","Jays-01","Jays-01","solitary",5,"wp"
"2850-57518_2850-57938","2850-57518","2850-57938","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-34","MakeBelieve-34","medium",2,"ep_same"
"2850-57518_2850-57941","2850-57518","2850-57941","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69","MakeBelieve-69","medium",8,"wp"
"2850-57552_2850-57551","2850-57552","2850-57551","Struthers","Struthers","Struthers-24","Struthers-24","Struthers-24","small",5,"wp"
"2850-57574_2850-57575","2850-57574","2850-57575","Cooks","Cooks","Cooks-02","Cooks-04","Cooks-04","medium",3,"ep_same"
"2850-57574_2850-57931","2850-57574","2850-57931","Cooks","Cooks","Cooks-02","Cooks-02","Cooks-02","medium",3,"wp"
"2850-57614_2850-57871","2850-57614","2850-57871","Blue Cloud","Blue Cloud","BlueCloud-22","BlueCloud-22","BlueCloud-22","medium",2,"wp"
"2850-57638_2850-57853","2850-57638","2850-57853","Cooks","Cooks","Cooks-29","Cooks-29","Cooks-29","medium",3,"wp"
"2850-57638_2850-57931","2850-57638","2850-57931","Cooks","Cooks","Cooks-29","Cooks-02","Cooks-02","medium",2,"ep_same"
"2850-57642_2850-57575","2850-57642","2850-57575","Cooks","Cooks","Cooks-04","Cooks-04","Cooks-04","medium",9,"wp"
"2850-57643_2850-57608","2850-57643","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-07","UrbanFarm-07","UrbanFarm-07","small",4,"wp"
"2850-57643_2850-57764","2850-57643","2850-57764","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-07","UrbanFarm-08","UrbanFarm-08","small",2,"ep_same"
