"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57572","CO_33926",0.307,0.597,0.095,0.394,59146,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33926","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_33931",0.294,0.6,0.106,0.406,62578,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33931","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_33930",0.278,0.611,0.112,0.417,59848,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33930","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_33927",0.26,0.634,0.106,0.423,63033,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33927","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_33929",0.299,0.578,0.123,0.412,56610,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33929","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_33928",0.256,0.673,0.07,0.407,60542,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","2881-33928","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57572","CO_E099",0.261,0.643,0.097,0.418,56287,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","E099","Blue Cloud",6,"egg","BlueCloud-06","collected","Blue Cloud_6_collected",1,1
"CO_57572","CO_E100",0.301,0.565,0.134,0.417,53254,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06",NA,"Blue Cloud_6_","E100","Blue Cloud",6,"egg","BlueCloud-06","collected","Blue Cloud_6_collected",1,1
"CO_57901","CO_33927",0.223,0.762,0.016,0.397,56637,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",NA,"Blue Cloud_6_","2881-33927","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
"CO_57901","CO_33930",0.275,0.625,0.101,0.413,53914,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",NA,"Blue Cloud_6_","2881-33930","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1
