"Ind2","genetic_fam","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","band_dad","site_dad","nest_dad","type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","band_mom","site_mom","nest_mom","type_mom","FamilyID_mom","site_type"
"CO_33926","2850-57901_2850-57572","2881-33926","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.291,0.587,0.123,0.416,53256,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.307,0.597,0.095,0.394,59146,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_33931","2640-97548_2850-57572","2881-33931","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.249,0.662,0.09,0.42,66888,"2640-97548","Blue Cloud",18,"dad","BlueCloud-18",0.294,0.6,0.106,0.406,62578,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_33930","2850-57901_2850-57572","2881-33930","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.275,0.625,0.101,0.413,53914,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.278,0.611,0.112,0.417,59848,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_33927","2850-57901_2850-57572","2881-33927","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.223,0.762,0.016,0.397,56637,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.26,0.634,0.106,0.423,63033,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_33929","2850-57901_2850-57572","2881-33929","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.235,0.698,0.068,0.416,51076,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.299,0.578,0.123,0.412,56610,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_33928","2850-57901_2850-57572","2881-33928","Blue Cloud",6.2,"kid","BlueCloud-06","1","Blue Cloud_6.2_1",1,1,0.273,0.606,0.121,0.424,54542,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.256,0.673,0.07,0.407,60542,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_E099","2850-57901_2850-57572","E099","Blue Cloud",6,"egg","BlueCloud-06","collected","Blue Cloud_6_collected",1,1,0.295,0.584,0.121,0.413,50645,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.261,0.643,0.097,0.418,56287,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_E100","2850-57901_2850-57572","E100","Blue Cloud",6,"egg","BlueCloud-06","collected","Blue Cloud_6_collected",1,1,0.306,0.561,0.134,0.414,47772,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.301,0.565,0.134,0.417,53254,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","medium"
"CO_E121","2850-57901_2850-57871","E121","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1,0.329,0.537,0.134,0.403,50609,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.217,0.697,0.086,0.435,59823,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22","medium"
"CO_E122","2850-57901_2850-57871","E122","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1,0.329,0.515,0.156,0.414,49686,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.215,0.713,0.072,0.429,58904,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22","medium"
"CO_E119","2850-57901_2850-57869","E119","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1,0.27,0.625,0.106,0.418,48726,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.158,0.787,0.056,0.449,59041,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18","medium"
"CO_E116","2850-57901_2850-57869","E116","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1,0.314,0.545,0.141,0.414,48934,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.162,0.791,0.048,0.443,59403,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18","medium"
"CO_E120","2850-57901_2850-57871","E120","Blue Cloud",22,"egg","BlueCloud-22","collected","Blue Cloud_22_collected",1,1,0.254,0.632,0.114,0.43,50879,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06",0.224,0.703,0.073,0.424,59998,"2850-57871","Blue Cloud",22,"mom","BlueCloud-22","medium"
"CO_E118","2640-97548_2850-57869","E118","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1,0.19,0.774,0.036,0.423,77185,"2640-97548","Blue Cloud",18,"dad","BlueCloud-18",0.113,0.863,0.024,0.456,78794,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18","medium"
"CO_E117","2640-97548_2850-57869","E117","Blue Cloud",18,"egg","BlueCloud-18","collected","Blue Cloud_18_collected",1,1,0.268,0.628,0.103,0.417,59579,"2640-97548","Blue Cloud",18,"dad","BlueCloud-18",0.179,0.758,0.063,0.442,60668,"2850-57869","Blue Cloud",18,"mom","BlueCloud-18","medium"
