"band_dad","site_dad","male.tot.fert","male.tot.wp","male.prop.ep"
"2350-21085","Make Believe",7,7,0
"2640-97548","Blue Cloud",3,2,0.333333333333333
"2811-83118","Cooks",4,4,0
"2811-83229","Jays",5,5,0
"2850-57518","Make Believe",10,8,0.2
"2850-57552","Struthers",5,5,0
"2850-57574","Cooks",6,3,0.5
"2850-57614","Blue Cloud",2,2,0
"2850-57638","Cooks",5,3,0.4
"2850-57642","Cooks",9,9,0
"2850-57643","Urban Farm Girlz",6,4,0.333333333333333
"2850-57659","Blue Cloud",5,4,0.2
"2850-57674","Struthers",7,6,0.142857142857143
"2850-57677","Karens",5,5,0
"2850-57684","Struthers",2,2,0
"2850-57686","Boyer",17,15,0.117647058823529
"2850-57765","Urban Farm Girlz",1,1,0
"2850-57772","Cooks",1,0,1
"2850-57877","Make Believe",5,4,0.2
"2850-57901","Blue Cloud",12,7,0.416666666666667
"2850-57935","Boyer",6,6,0
"2850-57937","Make Believe",11,11,0
"2850-57944","Plumbumpy",5,5,0
"2850-57947","Blue Cloud",4,4,0
"2850-57949","Speedwell",6,6,0
"2850-57953","Cathys",9,6,0.333333333333333
"2850-57977","Red Wagon",1,1,0
"2870-64906","Boyer",11,9,0.181818181818182
"2870-65014","Boyer",3,3,0
"2870-65016","Boyer",6,5,0.166666666666667
"2850-57933","Cooks",0,0,0
"2870-65017","Make Believe",0,0,0
"2870-65018","Make Believe",0,0,0
"2850-57976","Urban Farm Girlz",0,0,0
"2850-57980","Cooks",0,0,0
