band,site,nest,type,FamilyID,brood,mom_band,dad_band,nestling_num,seqID,Note
2850-57659,Blue Cloud,4,dad,BlueCloud-04,,,,,CO_57659,
2850-57928,Blue Cloud,4,mom,BlueCloud-04,,,,,CO_57928,
2881-33940,Blue Cloud,4.2,kid,BlueCloud-04,1,2850-57928,2850-57659,04-Jan,CO_33940,
2881-33941,Blue Cloud,4.2,kid,BlueCloud-04,1,2850-57928,2850-57659,04-Feb,CO_33941,
2881-33942,Blue Cloud,4.2,kid,BlueCloud-04,1,2850-57928,2850-57659,04-Mar,CO_33942,
2881-33943,Blue Cloud,4.2,kid,BlueCloud-04,1,2850-57928,2850-57659,04-Apr,CO_33943,
2850-57572,Blue Cloud,6,mom,BlueCloud-06,,,,,CO_57572,
2850-57901,Blue Cloud,6,dad,BlueCloud-06,,,,,CO_57901,
2881-33926,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-Jan,CO_33926,
2881-33927,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-Feb,CO_33927,
2881-33928,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-Mar,CO_33928,
2881-33929,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-Apr,CO_33929,
2881-33930,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-May,CO_33930,
2881-33931,Blue Cloud,6.2,kid,BlueCloud-06,1,2850-57572,2850-57901,06-Jun,CO_33931,
E099,Blue Cloud,6,egg,BlueCloud-06,collected,,,,CO_E099,3 eggs laid but only 2 collected
E100,Blue Cloud,6,egg,BlueCloud-06,collected,,,,CO_E100,3 eggs laid but only 2 collected
2640-97548,Blue Cloud,18,dad,BlueCloud-18,,,,,CO_97548,
2850-57869,Blue Cloud,18,mom,BlueCloud-18,,,,,CO_57869,
2881-33916,Blue Cloud,18.2,kid,BlueCloud-18,1,2850-57869,2640-97548,04-Jan,CO_33916,
2881-33917,Blue Cloud,18.2,kid,BlueCloud-18,1,2850-57869,2640-97548,04-Feb,CO_33917,
2881-33918,Blue Cloud,18.2,kid,BlueCloud-18,1,2850-57869,2640-97548,04-Mar,CO_33918,
2881-33919,Blue Cloud,18.2,kid,BlueCloud-18,1,2850-57869,2640-97548,04-Apr,CO_33919,
E116,Blue Cloud,18,egg,BlueCloud-18,collected,,,,CO_E116,
E117,Blue Cloud,18,egg,BlueCloud-18,collected,,,,CO_E117,
E118,Blue Cloud,18,egg,BlueCloud-18,collected,,,,CO_E118,
E119,Blue Cloud,18,egg,BlueCloud-18,collected,,,,CO_E119,
2850-57614,Blue Cloud,22,dad,BlueCloud-22,,,,,CO_57614,
2850-57871,Blue Cloud,22,mom,BlueCloud-22,,,,,CO_57871,
2881-33901,Blue Cloud,14,kid,BlueCloud-22,1,2850-57871,2850-57614,02-Jan,CO_33901,
2881-33902,Blue Cloud,14,kid,BlueCloud-22,1,2850-57871,2850-57614,02-Feb,CO_33902,
E120,Blue Cloud,22,egg,BlueCloud-22,collected,,,,CO_E120,
E121,Blue Cloud,22,egg,BlueCloud-22,collected,,,,CO_E121,
E122,Blue Cloud,22,egg,BlueCloud-22,collected,,,,CO_E122,
2850-57687,Boyer,2,mom,Boyer-02,,,,,CO_57687,
2870-65014,Boyer,2,dad,Boyer-02,,,,,CO_65014,
2881-33719,Boyer,2.3,kid,Boyer-02,2,2850-57687,2870-65014,03-Jan,CO_33719,
2881-33720,Boyer,2.3,kid,Boyer-02,2,2850-57687,2870-65014,03-Feb,CO_33720,
2881-33721,Boyer,2.3,kid,Boyer-02,2,2850-57687,2870-65014,03-Mar,CO_33721,
2881-33925,Boyer,2.2,kid,Boyer-02,1,2850-57687,2870-65014,01-Jan,CO_33925,
E148,Boyer,2,egg,Boyer-02,collected,,,,CO_E148,
E149,Boyer,2,egg,Boyer-02,collected,,,,CO_E149,
E150,Boyer,2,egg,Boyer-02,collected,,,,CO_E150,
E151,Boyer,2,egg,Boyer-02,collected,,,,CO_E151,
2850-57934,Boyer,3,mom,Boyer-03,,,,,CO_57934,
2870-65016,Boyer,3,dad,Boyer-03,,,,,CO_65016,
2881-33806,Boyer,4,kid,Boyer-03,2,2850-57934,2870-65016,03-Jan,CO_33806,
2881-33807,Boyer,4,kid,Boyer-03,2,2850-57934,2870-65016,03-Feb,CO_33807,
2881-33808,Boyer,4,kid,Boyer-03,2,2850-57934,2870-65016,03-Mar,CO_33808,
2881-33903,Boyer,3.2,kid,Boyer-03,1,2850-57934,2870-65016,03-Jan,CO_33903,
2881-33904,Boyer,3.2,kid,Boyer-03,1,2850-57934,2870-65016,03-Feb,CO_33904,
2881-33905,Boyer,3.2,kid,Boyer-03,1,2850-57934,2870-65016,03-Mar,CO_33905,
E144,Boyer,3,egg,Boyer-03,collected,,,,CO_E144,
E145,Boyer,3,egg,Boyer-03,collected,,,,CO_E145,
E146,Boyer,3,egg,Boyer-03,collected,,,,CO_E146,
E147,Boyer,3,egg,Boyer-03,collected,,,,CO_E147,
2850-57688,Boyer,5,mom,Boyer-05,,,,,CO_57688,dad ID for nest 5 never confirmed. She paired with  2850-57686 for replacement
E152,Boyer,5,egg,Boyer-05,collected,,,,CO_E152,
E153,Boyer,5,egg,Boyer-05,collected,,,,CO_E153,
E154,Boyer,5,egg,Boyer-05,collected,,,,CO_E154,
E155,Boyer,5,egg,Boyer-05,collected,,,,CO_E155,
E156,Boyer,5,egg,Boyer-05,collected,,,,CO_E156,
2811-06861,Boyer,9,mom,Boyer-09,,,,,CO_06861,
2811-83179,Boyer,9.2,kid,Boyer-09,1,2811-06861,2870-64906,05-Jan,CO_83179,
2811-83180,Boyer,9.2,kid,Boyer-09,1,2811-06861,2870-64906,05-Feb,CO_83180,
2811-83181,Boyer,9.2,kid,Boyer-09,1,2811-06861,2870-64906,05-Mar,CO_83181,
2811-83182,Boyer,9.2,kid,Boyer-09,1,2811-06861,2870-64906,05-Apr,CO_83182,
2811-83183,Boyer,9.2,kid,Boyer-09,1,2811-06861,2870-64906,05-May,CO_83183,
2870-64906,Boyer,9,dad,Boyer-09,,,,,CO_64906,
E105,Boyer,9,egg,Boyer-09,collected,,,,CO_E105,
E106,Boyer,9,egg,Boyer-09,collected,,,,CO_E106,
E107,Boyer,9,egg,Boyer-09,collected,,,,CO_E107,
E108,Boyer,9,egg,Boyer-09,collected,,,,CO_E108,
E109,Boyer,9,egg,Boyer-09,collected,,,,CO_E109,
2811-83171,Boyer,13.2,kid,Boyer-13,1,2850-57685,2850-57686,02-Jan,CO_83171,
2811-83172,Boyer,13.2,kid,Boyer-13,1,2850-57685,2850-57686,02-Feb,CO_83172,
2850-57685,Boyer,13,mom,Boyer-13,,,,,CO_57685,
2850-57686,Boyer,13,dad,Boyer-13,,,,,CO_57686,
2881-33817,Boyer,16,kid,Boyer-13,2,2850-57685,2850-57686,04-Jan,CO_33817,
2881-33818,Boyer,16,kid,Boyer-13,2,2850-57685,2850-57686,04-Feb,CO_33818,
2881-33819,Boyer,16,kid,Boyer-13,2,2850-57685,2850-57686,04-Mar,CO_33819,
2881-33820,Boyer,16,kid,Boyer-13,2,2850-57685,2850-57686,04-Apr,CO_33820,
E123,Boyer,13,egg,Boyer-13,collected,,,,CO_E123,
E124,Boyer,13,egg,Boyer-13,collected,,,,CO_E124,
E125,Boyer,13,egg,Boyer-13,collected,,,,CO_E125,
E126,Boyer,13,egg,Boyer-13,collected,,,,CO_E126,
E127,Boyer,13,egg,Boyer-13,collected,,,,CO_E127,
2811-83477,Boyer,14.2,kid,Boyer-14,1,2870-65015,2850-57935,02-Jan,CO_83477,
2811-83478,Boyer,14.2,kid,Boyer-14,1,2870-65015,2850-57935,02-Feb,CO_83478,
2850-57935,Boyer,14,dad,Boyer-14,,,,,CO_57935,
2870-65015,Boyer,14,mom,Boyer-14,,,,,CO_65015,
E140,Boyer,14,egg,Boyer-14,collected,,,,CO_E140,
E141,Boyer,14,egg,Boyer-14,collected,,,,CO_E141,
E142,Boyer,14,egg,Boyer-14,collected,,,,CO_E142,
E143,Boyer,14,egg,Boyer-14,collected,,,,CO_E143,
2850-57686,Boyer,15,dad,Boyer-15,,,,,CO_57686,this male also paired with Boyer-13 female
2850-57688,Boyer,15,mom,Boyer-15,,,,,CO_57688,same female as Boyer-05
2881-34136,Boyer,15,kid,Boyer-15,1,2850-57688,2850-57686,03-Jan,CO_34136,
2881-34137,Boyer,15,kid,Boyer-15,1,2850-57688,2850-57686,03-Feb,CO_34137,
2881-34138,Boyer,15,kid,Boyer-15,1,2850-57688,2850-57686,03-Mar,CO_34138,
2811-83162,Cathys,1,kid,Cathys-01,1,2850-57954,2850-57953,04-Jan,CO_83162,
2811-83163,Cathys,1,kid,Cathys-01,1,2850-57954,2850-57953,04-Feb,CO_83163,
2811-83164,Cathys,1,kid,Cathys-01,1,2850-57954,2850-57953,04-Mar,CO_83164,
2811-83165,Cathys,1,kid,Cathys-01,1,2850-57954,2850-57953,04-Apr,CO_83165,
2811-83188,Cathys,2,kid,Cathys-01,2,2850-57954,2850-57953,02-Jan,CO_83188,
2811-83189,Cathys,2,kid,Cathys-01,2,2850-57954,2850-57953,02-Feb,CO_83189,
2850-57953,Cathys,1,dad,Cathys-01,,,,,CO_57953,
2850-57954,Cathys,1,mom,Cathys-01,,,,,CO_57954,
2850-57574,Cooks,2,dad,Cooks-02,,,,,CO_57574,
2850-57931,Cooks,2,mom,Cooks-02,,,,,CO_57931,
E110,Cooks,2,egg,Cooks-02,collected,,,,CO_E110,
E111,Cooks,2,egg,Cooks-02,collected,,,,CO_E111,
E112,Cooks,2,egg,Cooks-02,collected,,,,CO_E112,
E113,Cooks,2,egg,Cooks-02,collected,,,,CO_E113,
E114,Cooks,2,egg,Cooks-02,collected,,,,CO_E114,
E115,Cooks,2,egg,Cooks-02,collected,,,,CO_E115,
2850-57772,Cooks,2.2,dad,Cooks-02.2,,,,,CO_57772,"this male paired with the female from Cooks-02, but the nest was predated"
2850-57575,Cooks,4,mom,Cooks-04,,,,,CO_57575,
2850-57642,Cooks,4,dad,Cooks-04,,,,,CO_57642,
2881-33725,Cooks,36.2,kid,Cooks-04,2,2850-57575,2850-57642,04-Jan,CO_33725,
2881-33726,Cooks,36.2,kid,Cooks-04,2,2850-57575,2850-57642,04-Mar,CO_33726,
2881-33727,Cooks,36.2,kid,Cooks-04,2,2850-57575,2850-57642,04-Feb,CO_33727,
2881-33728,Cooks,36.2,kid,Cooks-04,2,2850-57575,2850-57642,04-Apr,CO_33728,
2881-33911,Cooks,36,kid,Cooks-04,1,2850-57575,2850-57642,05-Jan,CO_33911,
2881-33912,Cooks,36,kid,Cooks-04,1,2850-57575,2850-57642,05-Feb,CO_33912,
2881-33913,Cooks,36,kid,Cooks-04,1,2850-57575,2850-57642,05-Mar,CO_33913,
2881-33914,Cooks,36,kid,Cooks-04,1,2850-57575,2850-57642,05-Apr,CO_33914,
2881-33915,Cooks,36,kid,Cooks-04,1,2850-57575,2850-57642,05-May,CO_33915,
E085,Cooks,4,egg,Cooks-04,collected,,,,CO_E085,
E086,Cooks,4,egg,Cooks-04,collected,,,,CO_E086,
E087,Cooks,4,egg,Cooks-04,collected,,,,CO_E087,
E088,Cooks,4,egg,Cooks-04,collected,,,,CO_E088,
E089,Cooks,4,egg,Cooks-04,collected,,,,CO_E089,
2850-57771,Cooks,4.2,mom,Cooks-04.2,,,,,CO_57771,
2850-57980,Cooks,4.2,dad,Cooks-04.2,,,,,CO_57980,
2881-33722,Cooks,4.2,kid,Cooks-04.2,1,2850-57771,2850-57980,03-Jan,CO_33722,
2881-33723,Cooks,4.2,kid,Cooks-04.2,1,2850-57771,2850-57980,03-Feb,CO_33723,
2881-33724,Cooks,4.2,kid,Cooks-04.2,1,2850-57771,2850-57980,03-Mar,CO_33724,
2811-83118,Cooks,15,dad,Cooks-15,,,,,CO_83118,
2850-57948,Cooks,15,mom,Cooks-15,,,,,CO_57948,
2881-33802,Cooks,17.2,kid,Cooks-15,2,2850-57948,2811-83118,03-Jan,CO_33802,
2881-33803,Cooks,17.2,kid,Cooks-15,2,2850-57948,2811-83118,03-Feb,CO_33803,
2881-33804,Cooks,17.2,kid,Cooks-15,2,2850-57948,2811-83118,03-Mar,CO_33804,
2881-33906,Cooks,17,kid,Cooks-15,1,2850-57948,2811-83118,05-Jan,CO_33906,
2881-33907,Cooks,17,kid,Cooks-15,1,2850-57948,2811-83118,05-Feb,CO_33907,
2881-33908,Cooks,17,kid,Cooks-15,1,2850-57948,2811-83118,05-Mar,CO_33908,
2881-33909,Cooks,17,kid,Cooks-15,1,2850-57948,2811-83118,05-Apr,CO_33909,
2881-33910,Cooks,17,kid,Cooks-15,1,2850-57948,2811-83118,05-May,CO_33910,
2850-57932,Cooks,18,mom,Cooks-18,,,,,CO_57932,
2850-57933,Cooks,18,dad,Cooks-18,,,,,CO_57933,
E128,Cooks,18,egg,Cooks-18,collected,,,,CO_E128,
E129,Cooks,18,egg,Cooks-18,collected,,,,CO_E129,
E130,Cooks,18,egg,Cooks-18,collected,,,,CO_E130,
E131,Cooks,18,egg,Cooks-18,collected,,,,CO_E131,
2850-57638,Cooks,29,dad,Cooks-29,,,,,CO_57638,
2850-57853,Cooks,29,mom,Cooks-29,,,,,CO_57853,"female was not caught this season, do have DNA from 2022"
E101,Cooks,29,egg,Cooks-29,collected,,,,CO_E101,
E102,Cooks,29,egg,Cooks-29,collected,,,,CO_E102,
E103,Cooks,29,egg,Cooks-29,collected,,,,CO_E103,
E104,Cooks,29,egg,Cooks-29,collected,,,,CO_E104,
2811-83166,Jays,1,kid,Jays-01,1,2850-57952,2811-83229,05-Jan,CO_83166,
2811-83167,Jays,1,kid,Jays-01,1,2850-57952,2811-83229,05-Feb,CO_83167,
2811-83168,Jays,1,kid,Jays-01,1,2850-57952,2811-83229,05-Mar,CO_83168,
2811-83169,Jays,1,kid,Jays-01,1,2850-57952,2811-83229,05-Apr,CO_83169,
2811-83170,Jays,1,kid,Jays-01,1,2850-57952,2811-83229,05-May,CO_83170,
2811-83229,Jays,1,dad,Jays-01,,,,,CO_83229,
2850-57952,Jays,1,mom,Jays-01,,,,,CO_57952,
2881-33809,Jays,1.2,kid,Jays-01,2,2850-57952,2811-83229,03-Jan,CO_33809,
2881-33810,Jays,1.2,kid,Jays-01,2,2850-57952,2811-83229,03-Feb,CO_33810,
2881-33811,Jays,1.2,kid,Jays-01,2,2850-57952,2811-83229,03-Mar,CO_33811,
2850-57677,Karens,1,dad,Karens-01,,,,,CO_57677,
2850-57956,Karens,1,mom,Karens-01,,,,,CO_57956,
2881-33932,Karens,1,kid,Karens-01,1,2850-57956,2850-57677,05-Jan,CO_33932,
2881-33933,Karens,1,kid,Karens-01,1,2850-57956,2850-57677,05-Feb,CO_33933,
2881-33934,Karens,1,kid,Karens-01,1,2850-57956,2850-57677,05-Mar,CO_33934,
2881-33935,Karens,1,kid,Karens-01,1,2850-57956,2850-57677,05-Apr,CO_33935,
2881-33936,Karens,1,kid,Karens-01,1,2850-57956,2850-57677,05-May,CO_33936,
2870-65018,Make Believe,17,dad,MakeBelieve-17,,,,,CO_65018,
2870-65019,Make Believe,17,mom,MakeBelieve-17,,,,,CO_65019,
E132,Make Believe,17,egg,MakeBelieve-17,collected,,,,CO_E132,"parent IDs unconfirmed, 5E laid but only one collected because others were predated"
2850-57877,Make Believe,31,dad,MakeBelieve-31,,,,,CO_57877,
2850-57878,Make Believe,31,mom,MakeBelieve-31,,,,,CO_57878,
E095,Make Believe,31,egg,MakeBelieve-31,collected,,,,CO_E095,5E laid but only 4 collected
E096,Make Believe,31,egg,MakeBelieve-31,collected,,,,CO_E096,5E laid but only 4 collected
E097,Make Believe,31,egg,MakeBelieve-31,collected,,,,CO_E097,5E laid but only 4 collected
E098,Make Believe,31,egg,MakeBelieve-31,collected,,,,CO_E098,5E laid but only 4 collected
2850-57938,Make Believe,34,mom,MakeBelieve-34,,,,,CO_57938,
2870-65017,Make Believe,34,dad,MakeBelieve-34,,,,,CO_65017,
E137,Make Believe,34,egg,MakeBelieve-34,collected,,,,CO_E137,
E138,Make Believe,34,egg,MakeBelieve-34,collected,,,,CO_E138,
E139,Make Believe,34,egg,MakeBelieve-34,collected,,,,CO_E139,
2850-57518,Make Believe,69,dad,MakeBelieve-69,,,,,CO_57518,
2850-57941,Make Believe,69,mom,MakeBelieve-69,,,,,CO_57941,
2881-33937,Make Believe,72,kid,MakeBelieve-69,1,2850-57941,2850-57518,03-Jan,CO_33937,
2881-33938,Make Believe,72,kid,MakeBelieve-69,1,2850-57941,2850-57518,03-Feb,CO_33938,
2881-33939,Make Believe,72,kid,MakeBelieve-69,1,2850-57941,2850-57518,03-Mar,CO_33939,
E157,Make Believe,69,egg,MakeBelieve-69,collected,,,,CO_E157,
E158,Make Believe,69,egg,MakeBelieve-69,collected,,,,CO_E158,
E159,Make Believe,69,egg,MakeBelieve-69,collected,,,,CO_E159,
E160,Make Believe,69,egg,MakeBelieve-69,collected,,,,CO_E160,
E161,Make Believe,69,egg,MakeBelieve-69,collected,,,,CO_E161,
2350-21085,Make Believe,70,dad,MakeBelieve-70,,,,,CO_21085,
2640-97596,Make Believe,70,mom,MakeBelieve-70,,,,,CO_97596,
E090,Make Believe,70,kid,MakeBelieve-70,collected,,,,CO_E090,
E091,Make Believe,70,kid,MakeBelieve-70,collected,,,,CO_E091,
E092,Make Believe,70,kid,MakeBelieve-70,collected,,,,CO_E092,
E093,Make Believe,70,kid,MakeBelieve-70,collected,,,,CO_E093,
E094,Make Believe,70,kid,MakeBelieve-70,collected,,,,CO_E094,
2350-21085,Make Believe,70,dad,MakeBelieve-70.3,,,,,CO_21085,"confusion about parent IDs here, carefully check genetics"
2811-83475,Make Believe,70.3,kid,MakeBelieve-70.3,2,2850-57878,2350-21085,02-Jan,CO_83475,"confusion about parent IDs here, carefully check genetics"
2811-83476,Make Believe,70.3,kid,MakeBelieve-70.3,2,2850-57878,2350-21085,02-Feb,CO_83476,"confusion about parent IDs here, carefully check genetics"
2850-57878,Make Believe,31,mom,MakeBelieve-70.3,,,,,CO_57878,"confusion about parent IDs here, carefully check genetics"
2850-57937,Make Believe,74,dad,MakeBelieve-74,,,,,CO_57937,
2850-57939,Make Believe,74,mom,MakeBelieve-74,,,,,CO_57939,
2881-33812,Make Believe,8,kid,MakeBelieve-74,2,2850-57939,2850-57937,05-Jan,CO_33812,
2881-33813,Make Believe,8,kid,MakeBelieve-74,2,2850-57939,2850-57937,05-Feb,CO_33813,
2881-33814,Make Believe,8,kid,MakeBelieve-74,2,2850-57939,2850-57937,05-Mar,CO_33814,
2881-33815,Make Believe,8,kid,MakeBelieve-74,2,2850-57939,2850-57937,05-Apr,CO_33815,
2881-33816,Make Believe,8,kid,MakeBelieve-74,2,2850-57939,2850-57937,05-May,CO_33816,
2881-33921,Make Believe,74.2,kid,MakeBelieve-74,1,2850-57939,2850-57937,04-Jan,CO_33921,
2881-33922,Make Believe,74.2,kid,MakeBelieve-74,1,2850-57939,2850-57937,04-Feb,CO_33922,
2881-33923,Make Believe,74.2,kid,MakeBelieve-74,1,2850-57939,2850-57937,04-Mar,CO_33923,
2881-33924,Make Believe,74.2,kid,MakeBelieve-74,1,2850-57939,2850-57937,04-Apr,CO_33924,
E133,Make Believe,74,egg,MakeBelieve-74,collected,,,,CO_E133,
E134,Make Believe,74,egg,MakeBelieve-74,collected,,,,CO_E134,
E135,Make Believe,74,egg,MakeBelieve-74,collected,,,,CO_E135,
E136,Make Believe,74,egg,MakeBelieve-74,collected,,,,CO_E136,
2811-83193,Blue Cloud,1,kid,Nixon-01,1,2850-57946,2850-57947,04-Jan,CO_83193,
2811-83194,Blue Cloud,1,kid,Nixon-01,1,2850-57946,2850-57947,04-Feb,CO_83194,
2811-83195,Blue Cloud,1,kid,Nixon-01,1,2850-57946,2850-57947,04-Mar,CO_83195,
2811-83196,Blue Cloud,1,kid,Nixon-01,1,2850-57946,2850-57947,04-Apr,CO_83196,
2850-57946,Blue Cloud,28,mom,Nixon-01,,,,,CO_57946,
2850-57947,Blue Cloud,28,dad,Nixon-01,,,,,CO_57947,
2811-83123,CHR,,dad,none,,,,,CO_83123,
2811-83258,CHR,,dad,none,,,,,CO_83258,
2850-57567,CHR,,dad,none,,,,,CO_57567,
2850-57577,CHR,,dad,none,,,,,CO_57577,
