"band","site","nest1","fert.start1","fert.end1","nest2","fert.start2","fert.end2","nest3","fert.start3","fert.end3","fert.start1.jul","fert.end1.jul","fert.start2.jul","fert.end2.jul","fert.start3.jul","fert.end3.jul"
"2640-97331","CHR","29",2022-05-11,2022-05-21,"27",2022-06-28,2022-07-07,NA,NA,NA,131,141,179,188,NA,NA
"2640-97358","CHR","32",2022-05-06,2022-05-16,"109",2022-06-24,2022-07-03,"32.2",2022-08-04,2022-08-12,126,136,175,184,216,224
"2640-97596","Make Believe","73",2022-05-09,2022-05-19,"73.2",2022-06-28,2022-07-08,NA,NA,NA,129,139,179,189,NA,NA
"2811-38984","CHR","102",2022-05-09,2022-05-19,"102.2",2022-06-27,2022-07-07,NA,NA,NA,129,139,178,188,NA,NA
"2811-83207","Dome House","1",2022-05-26,2022-06-03,"2",2022-07-10,2022-07-20,NA,NA,NA,146,154,191,201,NA,NA
"2850-57550","Mary Ann's","1",2022-07-22,2022-07-31,NA,NA,NA,NA,NA,NA,203,212,NA,NA,NA,NA
"2850-57551","Struthers","10",2022-05-04,2022-05-14,"20",2022-06-19,2022-06-30,NA,NA,NA,124,134,170,181,NA,NA
"2850-57568","CHR","96",2022-05-11,2022-05-21,"96.2",2022-07-03,2022-07-13,NA,NA,NA,131,141,184,194,NA,NA
"2850-57571","CHR","58",2022-05-17,2022-05-26,"139",2022-06-11,2022-06-20,NA,NA,NA,137,146,162,171,NA,NA
"2850-57575","Cooks","4",2022-05-26,2022-06-04,NA,NA,NA,NA,NA,NA,146,155,NA,NA,NA,NA
"2850-57576","Make Believe","14",2022-05-21,2022-05-31,"69",2022-07-07,2022-07-16,NA,NA,NA,141,151,188,197,NA,NA
"2850-57583","CHR","97",2022-05-21,2022-05-31,"19",2022-07-13,2022-07-22,NA,NA,NA,141,151,194,203,NA,NA
"2850-57584","CHR","7",2022-05-28,2022-06-07,"9",2022-06-16,2022-06-25,NA,NA,NA,148,158,167,176,NA,NA
"2850-57585","CHR","4",2022-05-24,2022-06-02,"4.2",2022-07-12,2022-07-21,NA,NA,NA,144,153,193,202,NA,NA
"2850-57586","CHR","33",2022-05-24,2022-06-03,"33.2",2022-06-29,2022-07-05,"149",2022-07-17,2022-07-27,144,154,180,186,198,208
"2850-57588","CHR","86",2022-05-24,2022-06-02,"45",2022-06-26,2022-07-06,NA,NA,NA,144,153,177,187,NA,NA
"2850-57608","Urban Farm Girlz","2",2022-05-13,2022-05-22,NA,NA,NA,NA,NA,NA,133,142,NA,NA,NA,NA
"2850-57609","Cooks","6",2022-05-08,2022-05-18,NA,NA,NA,NA,NA,NA,128,138,NA,NA,NA,NA
"2850-57612","Blue Cloud","18",2022-05-04,2022-05-14,"21",2022-06-20,2022-06-30,NA,NA,NA,124,134,171,181,NA,NA
"2850-57629","Urban Farm Girlz","8",2022-06-04,2022-06-13,"8.2",2022-07-19,2022-07-29,NA,NA,NA,155,164,200,210,NA,NA
"2850-57635","Make Believe","34",2022-05-24,2022-06-03,"38",2022-07-11,2022-07-21,NA,NA,NA,144,154,192,202,NA,NA
"2850-57637","Cooks","2",2022-05-16,2022-05-26,"22",2022-06-29,2022-07-07,"22.2",2022-07-16,2022-07-25,136,146,180,188,197,206
"2850-57640","McCauley","1",2022-05-16,2022-05-23,"2",2022-06-30,2022-07-10,NA,NA,NA,136,143,181,191,NA,NA
"2850-57641","Sol y Sombra","2",2022-05-22,2022-06-01,NA,NA,NA,NA,NA,NA,142,152,NA,NA,NA,NA
"2850-57645","Struthers","22",2022-06-03,2022-06-13,"3",2022-07-24,2022-08-02,NA,NA,NA,154,164,205,214,NA,NA
"2850-57648","CHR","133",2022-06-03,2022-06-11,"151",2022-06-23,2022-07-02,NA,NA,NA,154,162,174,183,NA,NA
"2850-57649","CHR","39",2022-05-24,2022-06-02,"39.2",2022-07-12,2022-07-21,NA,NA,NA,144,153,193,202,NA,NA
"2850-57650","CHR","25",2022-05-16,2022-05-27,"95",2022-07-12,2022-07-21,NA,NA,NA,136,147,193,202,NA,NA
"2850-57652","CHR","66",2022-05-15,2022-05-23,"16",2022-07-03,2022-07-12,NA,NA,NA,135,143,184,193,NA,NA
"2850-57654","CHR","80",2022-05-25,2022-06-03,NA,NA,NA,NA,NA,NA,145,154,NA,NA,NA,NA
"2850-57655","CHR","82",2022-05-19,2022-05-29,"115",2022-06-23,2022-07-01,NA,NA,NA,139,149,174,182,NA,NA
"2850-57656","CHR","78",2022-06-01,2022-06-11,"78.2",2022-07-23,2022-08-01,NA,NA,NA,152,162,204,213,NA,NA
"2850-57661","Karen's","1",2022-05-23,2022-06-01,"1.2",2022-06-28,2022-07-08,NA,NA,NA,143,152,179,189,NA,NA
"2850-57663","Cooks","31",2022-05-22,2022-05-31,"14",2022-07-12,2022-07-21,NA,NA,NA,142,151,193,202,NA,NA
"2850-57664","Cooks","27",2022-06-11,2022-06-20,NA,NA,NA,NA,NA,NA,162,171,NA,NA,NA,NA
"2850-57667","Cathy's","1",2022-05-31,2022-06-10,"1.2",2022-07-06,2022-07-15,"2",2022-07-25,2022-08-03,151,161,187,196,206,215
"2850-57670","CHR","73",2022-05-28,2022-06-07,NA,NA,NA,NA,NA,NA,148,158,NA,NA,NA,NA
"2850-57672","Cooks","17",2022-05-25,2022-06-03,"7",2022-07-22,2022-07-28,NA,NA,NA,145,154,203,209,NA,NA
"2850-57683","Struthers","23",2022-06-26,2022-07-05,NA,NA,NA,NA,NA,NA,177,186,NA,NA,NA,NA
"2850-57696","CHR","77",2022-05-06,2022-05-16,"77.2",2022-06-26,2022-07-05,NA,NA,NA,126,136,177,186,NA,NA
"2850-57700","Cooks","33",2022-06-29,2022-07-08,NA,NA,NA,NA,NA,NA,180,189,NA,NA,NA,NA
"2850-57730","CHR","93",2022-05-07,2022-05-17,"93.2",2022-06-24,2022-07-04,NA,NA,NA,127,137,175,185,NA,NA
"2850-57735","CHR","37",2022-05-11,2022-05-21,"119",2022-07-02,2022-07-11,NA,NA,NA,131,141,183,192,NA,NA
"2850-57736","CHR","43",2022-05-22,2022-06-01,NA,NA,NA,NA,NA,NA,142,152,NA,NA,NA,NA
"2850-57737","CHR","76",2022-05-31,2022-06-10,"12",2022-06-26,2022-07-05,NA,NA,NA,151,161,177,186,NA,NA
"2850-57741","Erica's","1",2022-05-15,2022-05-23,"2",2022-06-16,2022-06-25,"3",2022-07-17,2022-07-27,135,143,167,176,198,208
"2850-57746","CHR","74",2022-05-23,2022-06-01,"6",2022-07-14,2022-07-24,NA,NA,NA,143,152,195,205,NA,NA
"2850-57749","Cooks","13",2022-06-27,2022-07-06,NA,NA,NA,NA,NA,NA,178,187,NA,NA,NA,NA
"2850-57753","McCauley","4",2022-07-13,2022-07-23,NA,NA,NA,NA,NA,NA,194,204,NA,NA,NA,NA
"2850-57846","CHR","110",2022-05-14,2022-05-23,"52",2022-06-29,2022-07-09,NA,NA,NA,134,143,180,190,NA,NA
"2850-57853","Cooks","29",2022-05-06,2022-05-16,"8",2022-06-25,2022-07-05,NA,NA,NA,126,136,176,186,NA,NA
"2850-57869","Blue Cloud","4",2022-05-15,2022-05-22,"17",2022-06-29,2022-07-08,NA,NA,NA,135,142,180,189,NA,NA
"2850-57870","Blue Cloud","19",2022-05-14,2022-05-22,"24",2022-06-15,2022-06-25,NA,NA,NA,134,142,166,176,NA,NA
"2850-57871","Blue Cloud","22",2022-05-08,2022-05-16,"14",2022-06-20,2022-06-29,NA,NA,NA,128,136,171,180,NA,NA
