"fert.days","band","other.fem.tot","denominator","standardized","site","indiv.pop.SI"
21,"2640-97331",349,1365,0.255677655677656,"CHR",25.5677655677656
30,"2640-97358",302,1950,0.154871794871795,"CHR",15.4871794871795
22,"2640-97596",351,1430,0.245454545454545,"Make Believe",24.5454545454545
22,"2811-38984",354,1430,0.247552447552448,"CHR",24.7552447552448
20,"2811-83207",314,1300,0.241538461538462,"Dome House",24.1538461538462
10,"2850-57550",97,650,0.149230769230769,"Mary Ann's",14.9230769230769
23,"2850-57551",243,1495,0.162541806020067,"Struthers",16.2541806020067
22,"2850-57568",315,1430,0.22027972027972,"CHR",22.027972027972
20,"2850-57571",225,1300,0.173076923076923,"CHR",17.3076923076923
10,"2850-57575",190,650,0.292307692307692,"Cooks",29.2307692307692
21,"2850-57576",323,1365,0.236630036630037,"Make Believe",23.6630036630037
21,"2850-57583",336,1365,0.246153846153846,"CHR",24.6153846153846
21,"2850-57584",272,1365,0.199267399267399,"CHR",19.9267399267399
20,"2850-57585",329,1300,0.253076923076923,"CHR",25.3076923076923
29,"2850-57586",492,1885,0.261007957559682,"CHR",26.1007957559682
21,"2850-57588",399,1365,0.292307692307692,"CHR",29.2307692307692
10,"2850-57608",152,650,0.233846153846154,"Urban Farm Girlz",23.3846153846154
11,"2850-57609",143,715,0.2,"Cooks",20
22,"2850-57612",236,1430,0.165034965034965,"Blue Cloud",16.5034965034965
21,"2850-57629",225,1365,0.164835164835165,"Urban Farm Girlz",16.4835164835165
22,"2850-57635",354,1430,0.247552447552448,"Make Believe",24.7552447552448
30,"2850-57637",478,1950,0.245128205128205,"Cooks",24.5128205128205
19,"2850-57640",303,1235,0.245344129554656,"McCauley",24.5344129554656
11,"2850-57641",212,715,0.296503496503496,"Sol y Sombra",29.6503496503496
21,"2850-57645",195,1365,0.142857142857143,"Struthers",14.2857142857143
19,"2850-57648",263,1235,0.212955465587045,"CHR",21.2955465587045
20,"2850-57649",329,1300,0.253076923076923,"CHR",25.3076923076923
22,"2850-57650",330,1430,0.230769230769231,"CHR",23.0769230769231
19,"2850-57652",280,1235,0.226720647773279,"CHR",22.6720647773279
10,"2850-57654",197,650,0.303076923076923,"CHR",30.3076923076923
20,"2850-57655",331,1300,0.254615384615385,"CHR",25.4615384615385
21,"2850-57656",230,1365,0.168498168498169,"CHR",16.8498168498169
21,"2850-57661",397,1365,0.290842490842491,"Karen's",29.0842490842491
20,"2850-57663",322,1300,0.247692307692308,"Cooks",24.7692307692308
10,"2850-57664",64,650,0.0984615384615385,"Cooks",9.84615384615385
31,"2850-57667",343,2015,0.170223325062035,"Cathy's",17.0223325062035
11,"2850-57670",185,715,0.258741258741259,"CHR",25.8741258741259
17,"2850-57672",275,1105,0.248868778280543,"Cooks",24.8868778280543
10,"2850-57683",186,650,0.286153846153846,"Struthers",28.6153846153846
21,"2850-57696",307,1365,0.224908424908425,"CHR",22.4908424908425
10,"2850-57700",183,650,0.281538461538462,"Cooks",28.1538461538462
22,"2850-57730",325,1430,0.227272727272727,"CHR",22.7272727272727
21,"2850-57735",310,1365,0.227106227106227,"CHR",22.7106227106227
11,"2850-57736",212,715,0.296503496503496,"CHR",29.6503496503496
21,"2850-57737",339,1365,0.248351648351648,"CHR",24.8351648351648
30,"2850-57741",363,1950,0.186153846153846,"Erica's",18.6153846153846
21,"2850-57746",338,1365,0.247619047619048,"CHR",24.7619047619048
10,"2850-57749",188,650,0.289230769230769,"Cooks",28.9230769230769
11,"2850-57753",142,715,0.198601398601399,"McCauley",19.8601398601399
21,"2850-57846",346,1365,0.253479853479853,"CHR",25.3479853479853
22,"2850-57853",320,1430,0.223776223776224,"Cooks",22.3776223776224
18,"2850-57869",307,1170,0.262393162393162,"Blue Cloud",26.2393162393162
20,"2850-57870",230,1300,0.176923076923077,"Blue Cloud",17.6923076923077
19,"2850-57871",239,1235,0.193522267206478,"Blue Cloud",19.3522267206478
20,"2850-57872",328,1300,0.252307692307692,"Make Believe",25.2307692307692
21,"2850-57874",329,1365,0.241025641025641,"Make Believe",24.1025641025641
19,"2850-57876",214,1235,0.173279352226721,"Make Believe",17.3279352226721
11,"2850-57878",84,715,0.117482517482517,"Make Believe",11.7482517482517
22,"2850-57879",278,1430,0.194405594405594,"CHR",19.4405594405594
21,"2850-57883",285,1365,0.208791208791209,"CHR",20.8791208791209
20,"2850-57885",227,1300,0.174615384615385,"Blue Cloud",17.4615384615385
10,"2850-57886",87,650,0.133846153846154,"Blue Cloud",13.3846153846154
20,"2870-64908",112,1300,0.0861538461538462,"CHR",8.61538461538461
11,"2870-64909",93,715,0.13006993006993,"CHR",13.006993006993
21,"2870-65003",211,1365,0.154578754578755,"CHR",15.4578754578755
9,"2870-65004",106,585,0.181196581196581,"CHR",18.1196581196581
