"barn","nest1","nest2","distance.m","dist.rank","BarnNest_1","BarnNest_2","active_1","active_2"
"BlueCloudNixon",132,148,33.4934156,1,"Blue Cloud-26","Blue Cloud-19",TRUE,TRUE
"BlueCloudNixon",132,138,41.0685776,4,"Blue Cloud-26","Blue Cloud-22",TRUE,TRUE
"BlueCloudNixon",132,135,42.09126938,5,"Blue Cloud-26","Blue Cloud-16",TRUE,TRUE
"BlueCloudNixon",132,139,42.15571266,6,"Blue Cloud-26","Blue Cloud-14",TRUE,TRUE
"BlueCloudNixon",132,142,43.68534888,9,"Blue Cloud-26","Blue Cloud-17",TRUE,TRUE
"BlueCloudNixon",132,140,43.82352787,10,"Blue Cloud-26","Blue Cloud-5",TRUE,TRUE
"BlueCloudNixon",132,143,44.68747054,11,"Blue Cloud-26","Blue Cloud-4",TRUE,TRUE
"BlueCloudNixon",132,136,44.70993633,12,"Blue Cloud-26","Blue Cloud-21",TRUE,TRUE
"BlueCloudNixon",132,144,44.8192937,13,"Blue Cloud-26","Blue Cloud-27",TRUE,TRUE
"BlueCloudNixon",132,141,46.06084718,15,"Blue Cloud-26","Blue Cloud-18",TRUE,TRUE
"BlueCloudNixon",132,149,117.8473997,17,"Blue Cloud-26","Blue Cloud-24",TRUE,TRUE
"BlueCloudNixon",132,313,423.1452007,18,"Blue Cloud-26","Nixon-1",TRUE,TRUE
"BlueCloudNixon",135,136,2.778457294,2,"Blue Cloud-16","Blue Cloud-21",TRUE,TRUE
"BlueCloudNixon",135,140,3.11731408,4,"Blue Cloud-16","Blue Cloud-5",TRUE,TRUE
"BlueCloudNixon",135,138,3.227086251,5,"Blue Cloud-16","Blue Cloud-22",TRUE,TRUE
"BlueCloudNixon",135,141,4.079337593,6,"Blue Cloud-16","Blue Cloud-18",TRUE,TRUE
"BlueCloudNixon",135,139,4.43482758,8,"Blue Cloud-16","Blue Cloud-14",TRUE,TRUE
"BlueCloudNixon",135,144,5.975374061,9,"Blue Cloud-16","Blue Cloud-27",TRUE,TRUE
"BlueCloudNixon",135,142,6.490332208,10,"Blue Cloud-16","Blue Cloud-17",TRUE,TRUE
"BlueCloudNixon",135,143,6.785570602,11,"Blue Cloud-16","Blue Cloud-4",TRUE,TRUE
"BlueCloudNixon",135,132,42.09126938,13,"Blue Cloud-16","Blue Cloud-26",TRUE,TRUE
"BlueCloudNixon",135,148,67.50037557,15,"Blue Cloud-16","Blue Cloud-19",TRUE,TRUE
"BlueCloudNixon",135,149,148.3512882,17,"Blue Cloud-16","Blue Cloud-24",TRUE,TRUE
"BlueCloudNixon",135,313,460.793171,18,"Blue Cloud-16","Nixon-1",TRUE,TRUE
"BlueCloudNixon",136,141,2.364069565,3,"Blue Cloud-21","Blue Cloud-18",TRUE,TRUE
"BlueCloudNixon",136,135,2.778457294,5,"Blue Cloud-21","Blue Cloud-16",TRUE,TRUE
"BlueCloudNixon",136,140,3.725098831,6,"Blue Cloud-21","Blue Cloud-5",TRUE,TRUE
"BlueCloudNixon",136,138,5.461938808,7,"Blue Cloud-21","Blue Cloud-22",TRUE,TRUE
"BlueCloudNixon",136,139,6.062382204,9,"Blue Cloud-21","Blue Cloud-14",TRUE,TRUE
"BlueCloudNixon",136,144,6.436272726,10,"Blue Cloud-21","Blue Cloud-27",TRUE,TRUE
"BlueCloudNixon",136,143,7.415374936,11,"Blue Cloud-21","Blue Cloud-4",TRUE,TRUE
"BlueCloudNixon",136,142,7.497781978,12,"Blue Cloud-21","Blue Cloud-17",TRUE,TRUE
"BlueCloudNixon",136,132,44.70993633,13,"Blue Cloud-21","Blue Cloud-26",TRUE,TRUE
"BlueCloudNixon",136,148,70.27392657,15,"Blue Cloud-21","Blue Cloud-19",TRUE,TRUE
"BlueCloudNixon",136,149,151.0038549,17,"Blue Cloud-21","Blue Cloud-24",TRUE,TRUE
"BlueCloudNixon",136,313,463.5601742,18,"Blue Cloud-21","Nixon-1",TRUE,TRUE
"BlueCloudNixon",138,139,1.708769163,1,"Blue Cloud-22","Blue Cloud-14",TRUE,TRUE
"BlueCloudNixon",138,140,2.811966159,2,"Blue Cloud-22","Blue Cloud-5",TRUE,TRUE
"BlueCloudNixon",138,135,3.227086251,3,"Blue Cloud-22","Blue Cloud-16",TRUE,TRUE
"BlueCloudNixon",138,142,4.057277568,5,"Blue Cloud-22","Blue Cloud-17",TRUE,TRUE
"BlueCloudNixon",138,144,4.296292386,6,"Blue Cloud-22","Blue Cloud-27",TRUE,TRUE
"BlueCloudNixon",138,143,4.72821041,7,"Blue Cloud-22","Blue Cloud-4",TRUE,TRUE
"BlueCloudNixon",138,136,5.461938808,8,"Blue Cloud-22","Blue Cloud-21",TRUE,TRUE
"BlueCloudNixon",138,141,5.485719357,9,"Blue Cloud-22","Blue Cloud-18",TRUE,TRUE
"BlueCloudNixon",138,132,41.0685776,13,"Blue Cloud-22","Blue Cloud-26",TRUE,TRUE
"BlueCloudNixon",138,148,65.29173409,15,"Blue Cloud-22","Blue Cloud-19",TRUE,TRUE
"BlueCloudNixon",138,149,145.6187325,17,"Blue Cloud-22","Blue Cloud-24",TRUE,TRUE
"BlueCloudNixon",138,313,458.4795958,18,"Blue Cloud-22","Nixon-1",TRUE,TRUE
"BlueCloudNixon",139,138,1.708769163,1,"Blue Cloud-14","Blue Cloud-22",TRUE,TRUE
"BlueCloudNixon",139,142,2.348651211,2,"Blue Cloud-14","Blue Cloud-17",TRUE,TRUE
"BlueCloudNixon",139,140,2.552704637,3,"Blue Cloud-14","Blue Cloud-5",TRUE,TRUE
