Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2850-57659,Blue Cloud,M,dad,BlueCloud-04,374,,4,blood,374,58.369,Colorado Field Blood 2022 Box 1,,,CO-57659,374,NA,NA,NA
Y,2022,2850-57869,Blue Cloud,F,mom,BlueCloud-04,408,,4,blood,408,35.386,Colorado Field Blood 2022 Box 1,,,CO-57869,408,NA,NA,NA
Y,2022,2881-33627,Blue Cloud,,kid,BlueCloud-04,705,,17,blood,705,160.65,CO 2022 Field Box 5,,,CO-33627,705,17,2,Blue Cloud_17_2
Y,2022,2881-33628,Blue Cloud,,kid,BlueCloud-04,706,,17,blood,706,65.121,CO 2022 Field Box 5,,,CO-33628,706,17,2,Blue Cloud_17_2
Y,2022,2881-33629,Blue Cloud,,kid,BlueCloud-04,707,,17,blood,707,153.935,CO 2022 Field Box 5,,,CO-33629,707,17,2,Blue Cloud_17_2
Y,2022,2881-33630,Blue Cloud,,kid,BlueCloud-04,708,,17,blood,708,107.535,CO 2022 Field Box 5,,,CO-33630,708,17,2,Blue Cloud_17_2
Y,2022,2881-34012,Blue Cloud,,kid,BlueCloud-04,577,,4,blood,577,54.872,CO 2022 Field Box 4,,,CO-34012,577,4,1,Blue Cloud_4_1
Y,2022,2881-34013,Blue Cloud,,kid,BlueCloud-04,578,,4,blood,578,47.479,CO 2022 Field Box 4,,,CO-34013,578,4,1,Blue Cloud_4_1
N,2022,2811-83280,Blue Cloud,,kid,BlueCloud-05,822,,5,blood,512,12.134,CO 2022 Field Box 3,,,CO-83280,822,5,1,Blue Cloud_5_1
N,2022,2850-57572,Blue Cloud,F,mom,BlueCloud-05,839,,5,blood,388,13.739,Colorado Field Blood 2022 Box 1,,,CO-57572,839,NA,NA,NA
N,2022,2850-57901,Blue Cloud,M,dad,BlueCloud-05,2,,5,blood,449,60.057,CO 2022 Field Box 2,,,CO-57901,2,NA,NA,NA
Y,2022,2881-33642,Blue Cloud,,kid,BlueCloud-05,720,,5.2,blood,720,33.067,CO 2022 Field Box 5,,,CO-33642,720,5,2,Blue Cloud_5_2
Y,2022,2881-33643,Blue Cloud,,kid,BlueCloud-05,721,,5.2,blood,721,76.106,CO 2022 Field Box 5,,,CO-33643,721,5,2,Blue Cloud_5_2
Y,2022,2881-33644,Blue Cloud,,kid,BlueCloud-05,722,,5.2,blood,722,136.356,CO 2022 Field Box 5,,,CO-33644,722,5,2,Blue Cloud_5_2
Y,2022,2881-33645,Blue Cloud,,kid,BlueCloud-05,723,,5.2,blood,723,137.724,CO 2022 Field Box 5,,,CO-33645,723,5,2,Blue Cloud_5_2
Y,2022,2640-97548,Blue Cloud,M,dad,BlueCloud-18,360,,18,blood,360,66.614,Colorado Field Blood 2022 Box 1,,,CO-97548,360,NA,NA,NA
Y,2022,2811-83051,Blue Cloud,,kid,BlueCloud-18,452,,18,blood,452,56.031,CO 2022 Field Box 2,,,CO-83051,452,18,1,Blue Cloud_18_1
Y,2022,2811-83052,Blue Cloud,,kid,BlueCloud-18,453,,18,blood,453,85.122,CO 2022 Field Box 2,,,CO-83052,453,18,1,Blue Cloud_18_1
Y,2022,2811-83053,Blue Cloud,,kid,BlueCloud-18,454,,18,blood,454,51.971,CO 2022 Field Box 2,,,CO-83053,454,18,1,Blue Cloud_18_1
Y,2022,2811-83054,Blue Cloud,,kid,BlueCloud-18,455,,18,blood,455,70.1,CO 2022 Field Box 2,,,CO-83054,455,18,1,Blue Cloud_18_1
Y,2022,2811-83055,Blue Cloud,,kid,BlueCloud-18,456,,18,blood,456,67.233,CO 2022 Field Box 2,,,CO-83055,456,18,1,Blue Cloud_18_1
N,2022,2850-57612,Blue Cloud,F,mom,BlueCloud-18,302,,18,blood,429,42.203,CO 2022 Field Box 2,,,CO-57612,302,NA,NA,NA
Y,2022,2881-33604,Blue Cloud,,kid,BlueCloud-18,686,,21,blood,686,94.51,CO 2022 Field Box 5,,,CO-33604,686,21,2,Blue Cloud_21_2
Y,2022,2881-33605,Blue Cloud,,kid,BlueCloud-18,687,,21,blood,687,57.079,CO 2022 Field Box 5,,,CO-33605,687,21,2,Blue Cloud_21_2
Y,2022,2881-33606,Blue Cloud,,kid,BlueCloud-18,689,,21,blood,689,63.783,CO 2022 Field Box 5,,,CO-33606,689,21,2,Blue Cloud_21_2
Y,2022,2881-33607,Blue Cloud,,kid,BlueCloud-18,690,,21,blood,690,82.366,CO 2022 Field Box 5,,,CO-33607,690,21,2,Blue Cloud_21_2
Y,2022,2881-33608,Blue Cloud,,kid,BlueCloud-18,691,,21,blood,691,84.311,CO 2022 Field Box 5,,,CO-33608,691,21,2,Blue Cloud_21_2
N,2022,2850-57565,Blue Cloud,M,dad,BlueCloud-19,298,,24,blood,367,33.777,Colorado Field Blood 2022 Box 1,,,CO-57565,298,NA,NA,NA
Y,2022,2850-57870,Blue Cloud,F,mom,BlueCloud-19,683,,24,blood,683,95.175,CO 2022 Field Box 5,,,CO-57870,683,NA,NA,NA
Y,2022,2881-34037,Blue Cloud,,kid,BlueCloud-19,756,,24,blood,756,63.215,CO 2022 Field Box 6,,,CO-34037,756,24,2,Blue Cloud_24_2
Y,2022,2881-34038,Blue Cloud,,kid,BlueCloud-19,757,,24,blood,757,180.379,CO 2022 Field Box 6,,,CO-34038,757,24,2,Blue Cloud_24_2
Y,2022,2881-34039,Blue Cloud,,kid,BlueCloud-19,758,,24,blood,758,104.342,CO 2022 Field Box 6,,,CO-34039,758,24,2,Blue Cloud_24_2
Y,2022,2881-34040,Blue Cloud,,kid,BlueCloud-19,759,,24,blood,759,82.001,CO 2022 Field Box 6,,,CO-34040,759,24,2,Blue Cloud_24_2
Y,2022,2881-34041,Blue Cloud,,kid,BlueCloud-19,760,,24,blood,760,81.456,CO 2022 Field Box 6,,,CO-34041,760,24,2,Blue Cloud_24_2
Y,2022,T014,Blue Cloud,,kid,BlueCloud-19,T014,,19,,T014,296.09,1.841,,,CO-T014,T014,19,1,Blue Cloud_19_1
Y,2022,2811-83079,Blue Cloud,,kid,BlueCloud-22,477,,22,blood,477,182.761,CO 2022 Field Box 2,,,CO-83079,477,22,1,Blue Cloud_22_1
