"mom","site","nest","fert.start","fert.end","active.start","active.end","attempt","ci","BarnNest","dad","matID"
"2640-97331","CHR",29,2022-05-11,2022-05-21,2022-05-11,2022-06-27,1,2022-05-18,"CHR-29","2850-57808","CHR-29_2640-97331_2850-57808_1"
"2640-97358","CHR",32,2022-05-06,2022-05-16,2022-05-06,2022-06-23,1,2022-05-13,"CHR-32","2850-57731","CHR-32_2640-97358_2850-57731_1"
"2640-97596","Make Believe",73,2022-05-09,2022-05-19,2022-05-09,2022-06-27,1,2022-05-16,"Make Believe-73","2350-21085","Make Believe-73_2640-97596_2350-21085_1"
"2811-38984","CHR",102,2022-05-09,2022-05-19,2022-05-09,2022-06-26,1,2022-05-16,"CHR-102","2640-97589","CHR-102_2811-38984_2640-97589_1"
"2811-83207","Dome House",1,2022-05-26,2022-06-03,2022-05-26,2022-07-09,1,2022-06-02,"Dome House-1","2850-57643","Dome House-1_2811-83207_2850-57643_1"
"2850-57550","Mary Ann's",1,2022-07-22,2022-07-31,2022-07-22,2022-09-01,1,2022-07-29,"Mary Ann's-1","2870-64916","Mary Ann's-1_2850-57550_2870-64916_1"
"2850-57551","Struthers",10,2022-05-04,2022-05-14,2022-05-04,2022-06-18,1,2022-05-11,"Struthers-10","2850-57552","Struthers-10_2850-57551_2850-57552_1"
"2850-57568","CHR",96,2022-05-11,2022-05-21,2022-05-11,2022-07-02,1,2022-05-18,"CHR-96","2850-57806","CHR-96_2850-57568_2850-57806_1"
"2850-57571","CHR",58,2022-05-17,2022-05-26,2022-05-17,2022-06-10,1,2022-05-24,"CHR-58","2850-57579","CHR-58_2850-57571_2850-57579_1"
"2850-57575","Cooks",4,2022-05-26,2022-06-04,2022-05-26,2022-07-06,1,2022-06-02,"Cooks-4","2850-57574","Cooks-4_2850-57575_2850-57574_1"
"2850-57576","Make Believe",14,2022-05-21,2022-05-31,2022-05-21,2022-07-06,1,2022-05-28,"Make Believe-14","2850-57518","Make Believe-14_2850-57576_2850-57518_1"
"2850-57583","CHR",97,2022-05-21,2022-05-31,2022-05-21,2022-07-12,1,2022-05-28,"CHR-97","2850-57589","CHR-97_2850-57583_2850-57589_1"
"2850-57584","CHR",7,2022-05-28,2022-06-07,2022-05-28,2022-06-15,1,2022-06-04,"CHR-7","unb-CHR-7and9","CHR-7_2850-57584_unb-CHR-7and9_1"
"2850-57585","CHR",4,2022-05-24,2022-06-02,2022-05-24,2022-07-11,1,2022-05-31,"CHR-4","2811-83208","CHR-4_2850-57585_2811-83208_1"
"2850-57586","CHR",33,2022-05-24,2022-06-03,2022-05-24,2022-06-28,1,2022-05-31,"CHR-33","2850-57669","CHR-33_2850-57586_2850-57669_1"
"2850-57588","CHR",86,2022-05-24,2022-06-02,2022-05-24,2022-06-25,1,2022-05-31,"CHR-86","2850-57653","CHR-86_2850-57588_2850-57653_1"
"2850-57608","Urban Farm Girlz",2,2022-05-13,2022-05-22,2022-05-13,2022-06-23,1,2022-05-20,"Urban Farm Girlz-2","2850-57899","Urban Farm Girlz-2_2850-57608_2850-57899_1"
"2850-57609","Cooks",6,2022-05-08,2022-05-18,2022-05-08,2022-06-19,1,2022-05-15,"Cooks-6","2850-57557","Cooks-6_2850-57609_2850-57557_1"
"2850-57612","Blue Cloud",18,2022-05-04,2022-05-14,2022-05-04,2022-06-19,1,2022-05-11,"Blue Cloud-18","2640-97548","Blue Cloud-18_2850-57612_2640-97548_1"
"2850-57629","Urban Farm Girlz",8,2022-06-04,2022-06-13,2022-06-04,2022-07-18,1,2022-06-11,"Urban Farm Girlz-8","2850-57868","Urban Farm Girlz-8_2850-57629_2850-57868_1"
"2850-57635","Make Believe",34,2022-05-24,2022-06-03,2022-05-24,2022-07-10,1,2022-05-31,"Make Believe-34","2850-57668","Make Believe-34_2850-57635_2850-57668_1"
"2850-57637","Cooks",2,2022-05-16,2022-05-26,2022-05-16,2022-06-28,1,2022-05-23,"Cooks-2","2850-57633","Cooks-2_2850-57637_2850-57633_1"
"2850-57640","McCauley",1,2022-05-16,2022-05-23,2022-05-16,2022-06-29,1,2022-05-23,"McCauley-1","2850-57639","McCauley-1_2850-57640_2850-57639_1"
"2850-57641","Sol y Sombra",2,2022-05-22,2022-06-01,2022-05-22,2022-07-03,1,2022-05-29,"Sol y Sombra-2","2850-57642","Sol y Sombra-2_2850-57641_2850-57642_1"
"2850-57645","Struthers",22,2022-06-03,2022-06-13,2022-06-03,2022-07-23,1,2022-06-10,"Struthers-22","2850-57674","Struthers-22_2850-57645_2850-57674_1"
"2850-57648","CHR",133,2022-06-03,2022-06-11,2022-06-03,2022-06-22,1,2022-06-10,"CHR-133","2850-57570","CHR-133_2850-57648_2850-57570_1"
"2850-57649","CHR",39,2022-05-24,2022-06-02,2022-05-24,2022-07-11,1,2022-05-31,"CHR-39","2850-57620","CHR-39_2850-57649_2850-57620_1"
"2850-57650","CHR",25,2022-05-16,2022-05-27,2022-05-16,2022-07-11,1,2022-05-23,"CHR-25","2850-57881","CHR-25_2850-57650_2850-57881_1"
"2850-57652","CHR",66,2022-05-15,2022-05-23,2022-05-15,2022-07-02,1,2022-05-22,"CHR-66","2850-57581","CHR-66_2850-57652_2850-57581_1"
"2850-57654","CHR",80,2022-05-25,2022-06-03,2022-05-25,2022-07-05,1,2022-06-01,"CHR-80","2850-57580","CHR-80_2850-57654_2850-57580_1"
"2850-57655","CHR",82,2022-05-19,2022-05-29,2022-05-19,2022-06-22,1,2022-05-26,"CHR-82","2850-57745","CHR-82_2850-57655_2850-57745_1"
"2850-57656","CHR",78,2022-06-01,2022-06-11,2022-06-01,2022-07-22,1,2022-06-08,"CHR-78","2850-57744","CHR-78_2850-57656_2850-57744_1"
"2850-57661","Karen's",1,2022-05-23,2022-06-01,2022-05-23,2022-06-27,1,2022-05-30,"Karen's-1","2850-57662","Karen's-1_2850-57661_2850-57662_1"
"2850-57663","Cooks",31,2022-05-22,2022-05-31,2022-05-22,2022-07-11,1,2022-05-29,"Cooks-31","2850-57573","Cooks-31_2850-57663_2850-57573_1"
"2850-57664","Cooks",27,2022-06-11,2022-06-20,2022-06-11,2022-07-22,1,2022-06-18,"Cooks-27","2850-57676","Cooks-27_2850-57664_2850-57676_1"
"2850-57667","Cathy's",1,2022-05-31,2022-06-10,2022-05-31,2022-07-05,1,2022-06-07,"Cathy's-1","2850-57666","Cathy's-1_2850-57667_2850-57666_1"
"2850-57670","CHR",73,2022-05-28,2022-06-07,2022-05-28,2022-07-09,1,2022-06-04,"CHR-73","2850-57671","CHR-73_2850-57670_2850-57671_1"
"2850-57672","Cooks",17,2022-05-25,2022-06-03,2022-05-25,2022-07-21,1,2022-06-01,"Cooks-17","2850-57673","Cooks-17_2850-57672_2850-57673_1"
"2850-57683","Struthers",23,2022-06-26,2022-07-05,2022-06-26,2022-08-06,1,2022-07-03,"Struthers-23","2850-57684","Struthers-23_2850-57683_2850-57684_1"
"2850-57696","CHR",77,2022-05-06,2022-05-16,2022-05-06,2022-06-25,1,2022-05-13,"CHR-77","unb-CHR-77","CHR-77_2850-57696_unb-CHR-77_1"
"2850-57700","Cooks",33,2022-06-29,2022-07-08,2022-06-29,2022-08-09,1,2022-07-06,"Cooks-33","2870-64915","Cooks-33_2850-57700_2870-64915_1"
"2850-57730","CHR",93,2022-05-07,2022-05-17,2022-05-07,2022-06-23,1,2022-05-14,"CHR-93","2640-97588","CHR-93_2850-57730_2640-97588_1"
"2850-57735","CHR",37,2022-05-11,2022-05-21,2022-05-11,2022-07-01,1,2022-05-18,"CHR-37","2850-57806","CHR-37_2850-57735_2850-57806_1"
"2850-57736","CHR",43,2022-05-22,2022-06-01,2022-05-22,2022-07-03,1,2022-05-29,"CHR-43","2850-57567","CHR-43_2850-57736_2850-57567_1"
"2850-57737","CHR",76,2022-05-31,2022-06-10,2022-05-31,2022-06-25,1,2022-06-07,"CHR-76","unb-CHR-76and12","CHR-76_2850-57737_unb-CHR-76and12_1"
"2850-57741","Erica's",1,2022-05-15,2022-05-23,2022-05-15,2022-06-15,1,2022-05-22,"Erica's-1","2811-00632","Erica's-1_2850-57741_2811-00632_1"
