"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2640-97331","2640-97588","2640-97331_2640-97588","1","CHR","29","CHR-29",0,11,12.54316078,7,-4,0.235483870967742,"CHR_29_1",1,"ep_same",2,4,"yes"
"2640-97331","2640-97588","2640-97331_2640-97588","2","CHR","27","CHR-27",0,10,13.55260368,7,-4,0.297491039426523,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2640-97589","2640-97331_2640-97589","1","CHR","29","CHR-29",0,11,3.345023064,9,-2,0.229032258064516,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2640-97589","2640-97331_2640-97589","2","CHR","27","CHR-27",0,10,3.56350997,10,-1,0.28673835125448,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2811-83208","2640-97331_2811-83208","2","CHR","27","CHR-27",0,10,15.90725563,0,14,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2811-83208","2640-97331_2811-83208","1","CHR","29","CHR-29",0,0,16.94168974,0,13,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57567","2640-97331_2850-57567","2","CHR","27","CHR-27",0,6,10.66265844,0,-37,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57567","2640-97331_2850-57567","1","CHR","29","CHR-29",0,0,9.735905078,0,11,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57570","2640-97331_2850-57570","2","CHR","27","CHR-27",0,10,10.22398322,5,-5,0.304659498207885,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57570","2640-97331_2850-57570","1","CHR","29","CHR-29",0,0,6.917761569,0,23,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57577","2640-97331_2850-57577","2","CHR","27","CHR-27",0,10,13.569444,0,24,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","2850-57577","2640-97331_2850-57577","1","CHR","29","CHR-29",0,0,12.51519135,0,23,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","2850-57578","2640-97331_2850-57578","2","CHR","27","CHR-27",0,10,3.704275342,0,21,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
