"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled"
"2640-97331","2640-97588","2640-97331_2640-97588",1,"CHR",29,"CHR-29",0,11,12.54316078,7,-4,"CHR_29_1",1,"ep_same",2,4,"yes",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.327950447205388,-0.607889525035993,-1.69870577771304,-0.287874870450448,1.03914087582914
"2640-97331","2640-97588","2640-97331_2640-97588",2,"CHR",27,"CHR-27",0,10,13.55260368,7,-4,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.7,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,119,87,85,87,-0.327950447205388,-0.607889525035993,-1.69870577771304,-0.287874870450448,1.03914087582914
"2640-97331","2640-97589","2640-97331_2640-97589",1,"CHR",29,"CHR-29",0,11,3.345023064,9,-2,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.52440248376499,-0.617154537768401,-1.28234576663637,-0.738145434585443,-0.438240313367936
"2640-97331","2640-97589","2640-97331_2640-97589",2,"CHR",27,"CHR-27",0,10,3.56350997,10,-1,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.52440248376499,-0.617154537768401,-1.28234576663637,-0.738145434585443,-0.438240313367936
"2640-97331","2811-83208","2640-97331_2811-83208",2,"CHR",27,"CHR-27",0,10,15.90725563,0,14,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.9,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,118,87,89.5,87,-0.327950447205388,1.22309374175052,-0.589198848477454,0.621950764031026,0.119216734719535
"2640-97331","2811-83208","2640-97331_2811-83208",1,"CHR",29,"CHR-29",0,0,16.94168974,0,13,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.9,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,118,87,89.5,87,-0.327950447205388,1.22309374175052,-0.589198848477454,0.621950764031026,0.119216734719535
"2640-97331","2850-57567","2640-97331_2850-57567",2,"CHR",27,"CHR-27",0,6,10.66265844,0,-37,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.88999846127377,-0.951018094883241,0.317511799070068,-0.100737880763292,-1.28206916379613
"2640-97331","2850-57567","2640-97331_2850-57567",1,"CHR",29,"CHR-29",0,0,9.735905078,0,11,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.6,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,121.5,102.1666667,102.5,102.1666667,1.88999846127377,-0.951018094883241,0.317511799070068,-0.100737880763292,-1.28206916379613
"2640-97331","2850-57570","2640-97331_2850-57570",2,"CHR",27,"CHR-27",0,10,10.22398322,5,-5,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.51,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,121.5,90,NA,90,0.110764720540566,0.719494330997171,-0.239575901827104,0.494632057389222,-0.778130676530947
"2640-97331","2850-57570","2640-97331_2850-57570",1,"CHR",29,"CHR-29",0,0,6.917761569,0,23,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.51,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,121.5,90,NA,90,0.110764720540566,0.719494330997171,-0.239575901827104,0.494632057389222,-0.778130676530947
