"","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_belly_avg_bright","male_vent_avg_bright","male_TS","male_mean_rwl","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_belly_avg_bright","fem_vent_avg_bright","fem_TS","fem_mean_rwl","pat.clutch.size"
"male_mass_1","1 ","","","","","","","","","","","","","",""
"male_throat_avg_bright","-0.02    ","1 ","","","","","","","","","","","","",""
"male_breast_avg_bright"," 0.07    "," 0.10    ","1 ","","","","","","","","","","","",""
"male_belly_avg_bright"," 0.16    "," 0.41    "," 0.54**  ","1 ","","","","","","","","","","",""
"male_vent_avg_bright"," 0.40*   "," 0.18    "," 0.15    "," 0.27    ","1 ","","","","","","","","","",""
"male_TS"," 0.20    ","-0.03    ","-0.06    ","-0.16    ","-0.06    ","1 ","","","","","","","","",""
"male_mean_rwl"," 0.08    ","-0.20    ","-0.25    ","-0.19    ","-0.16    "," 0.29    ","1 ","","","","","","","",""
"fem_mass_1"," 0.05    "," 0.02    "," 0.26    ","-0.17    ","-0.12    "," 0.13    "," 0.30    ","1 ","","","","","","",""
"fem_throat_avg_bright"," 0.11    "," 0.06    "," 0.15    "," 0.06    "," 0.19    ","-0.20    ","-0.45*   ","-0.08    ","1 ","","","","","",""
"fem_breast_avg_bright","-0.33    "," 0.02    "," 0.18    "," 0.20    "," 0.01    ","-0.57**  ","-0.25    ","-0.14    "," 0.27    ","1 ","","","","",""
"fem_belly_avg_bright","-0.13    "," 0.19    "," 0.09    "," 0.38    "," 0.17    ","-0.36    ","-0.14    ","-0.25    "," 0.17    "," 0.61**  ","1 ","","","",""
"fem_vent_avg_bright","-0.12    "," 0.40    ","-0.17    "," 0.20    ","-0.16    ","-0.02    ","-0.03    ","-0.07    "," 0.13    "," 0.37    "," 0.52**  ","1 ","","",""
"fem_TS","-0.05    "," 0.18    ","-0.13    ","-0.24    "," 0.13    "," 0.09    "," 0.14    "," 0.20    ","-0.15    ","-0.06    "," 0.06    ","-0.11    ","1 ","",""
"fem_mean_rwl"," 0.01    "," 0.07    "," 0.09    "," 0.06    ","-0.10    "," 0.06    "," 0.35    "," 0.41*   ","-0.33    "," 0.18    "," 0.05    "," 0.00    "," 0.44*   ","1 ",""
"pat.clutch.size"," 0.12    "," 0.02    "," 0.02    ","-0.29    "," 0.15    "," 0.04    "," 0.05    "," 0.44*   "," 0.23    "," 0.06    ","-0.13    "," 0.03    ","-0.02    "," 0.10    ","1 "
