"","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_belly_avg_bright","male_vent_avg_bright","male_TS","male_mean_rwl","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_belly_avg_bright","fem_vent_avg_bright","fem_TS","fem_mean_rwl","pat.clutch.size"
"male_mass_1","1 ","","","","","","","","","","","","","",""
"male_throat_avg_bright","-0.09    ","1 ","","","","","","","","","","","","",""
"male_breast_avg_bright"," 0.02    "," 0.24    ","1 ","","","","","","","","","","","",""
"male_belly_avg_bright","-0.14    "," 0.34*   "," 0.50*** ","1 ","","","","","","","","","","",""
"male_vent_avg_bright"," 0.22    "," 0.20    "," 0.37*   "," 0.44**  ","1 ","","","","","","","","","",""
"male_TS"," 0.11    "," 0.10    "," 0.07    ","-0.11    ","-0.03    ","1 ","","","","","","","","",""
"male_mean_rwl"," 0.17    ","-0.06    ","-0.11    ","-0.25    ","-0.06    "," 0.39**  ","1 ","","","","","","","",""
"fem_mass_1"," 0.30*   ","-0.08    "," 0.02    ","-0.24    "," 0.10    "," 0.00    "," 0.34*   ","1 ","","","","","","",""
"fem_throat_avg_bright"," 0.21    "," 0.18    "," 0.22    "," 0.00    "," 0.27    "," 0.13    ","-0.11    "," 0.10    ","1 ","","","","","",""
"fem_breast_avg_bright"," 0.06    "," 0.11    "," 0.24    "," 0.13    "," 0.15    ","-0.30*   ","-0.01    ","-0.06    "," 0.25    ","1 ","","","","",""
"fem_belly_avg_bright"," 0.06    "," 0.09    "," 0.17    "," 0.39**  "," 0.20    ","-0.14    ","-0.12    ","-0.21    "," 0.15    "," 0.54*** ","1 ","","","",""
"fem_vent_avg_bright","-0.07    "," 0.30*   "," 0.06    "," 0.20    "," 0.08    "," 0.01    "," 0.04    ","-0.13    "," 0.25    "," 0.57****"," 0.58****","1 ","","",""
"fem_TS","-0.02    ","-0.03    ","-0.08    ","-0.26    ","-0.06    "," 0.21    "," 0.15    ","-0.03    ","-0.16    ","-0.10    ","-0.03    ","-0.07    ","1 ","",""
"fem_mean_rwl"," 0.04    "," 0.10    "," 0.15    ","-0.08    ","-0.12    ","-0.01    "," 0.30*   "," 0.09    ","-0.33*   "," 0.16    "," 0.03    "," 0.11    "," 0.44**  ","1 ",""
"pat.clutch.size","-0.03    ","-0.06    "," 0.05    ","-0.21    "," 0.02    "," 0.06    "," 0.10    "," 0.07    "," 0.04    "," 0.12    ","-0.07    "," 0.19    "," 0.12    "," 0.13    ","1 "
