"female","male","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled","pat.clutch.size"
"2640-97331","2850-57808",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,-1.19131851387752,-1.16701776743761,17.44,11.46748421,0.514088925,678.7753333,23003.77333,15.37756564,0.515459018,659.167,30847.39667,20.6164008,0.49573159,641.3963333,41356.5,18.7548222,0.472216787,642.151,37622.17333,120.5,NA,100,100,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.361859405889166,-0.463955253480334,4
"2640-97358","2850-57731",16.83,13.77641409,0.537489733,659.167,27635.48667,19.740555,0.495234064,642.151,39599.55333,21.14287305,0.469501946,651.4403333,42412.60333,22.67428049,0.46988128,671.7466667,45484.60667,115,73,76.5,73,-1.17504035013197,-0.720064302121302,-0.918055636034195,-0.855857804961542,-0.605622665102401,15.9,10.9634214,0.500436597,689.138,21992.62333,23.24545364,0.49159359,611.004,46630.38,18.5751562,0.456752009,611.004,37261.76333,24.60593387,0.474122334,611.004,49359.50333,119,91,92.33333333,91,0.158054181345658,-0.704016229851986,0.0991047285683272,-0.893398775791166,0.692970633282199,5
"2811-38984","2640-97589",15.8,14.51881356,0.515995203,679.458,29124.74,20.07807245,0.466369752,606.3786667,40276.61333,23.66085577,0.458228381,627.3723333,47463.67667,25.18879362,0.489744034,662.7626667,50528.72,116,81.5,81.5,81.5,0.98818027510909,-0.478534822267752,-0.867541507603602,-0.322416673112278,-0.239334540671502,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.19349574731726,-0.485157035237985,-1.19530341502793,-0.873224078908396,-0.0887940343031473,3
"2850-57568","2850-57806",15.37,15.13231971,0.50506128,659.167,30355.43333,25.47213526,0.452418429,642.151,51097.10333,23.5398787,0.430572869,625.7763333,47220.99667,23.32200897,0.497056741,659.167,46783.95,118,79.5,NA,79.5,0.479187186817075,-0.278939015314314,-0.0602458209745677,-0.348045977331097,-0.511268315845264,15.88,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,120.1666667,83.83333333,86,83.83333333,-0.698176344430552,-0.62910335473214,-1.73689240845576,-1.03118255585448,-0.697062152438193,4
"2850-57571","2850-57579",20.23,16.76718677,0.503477031,659.167,33634.97667,24.15598039,0.482387459,642.4716667,48456.89667,22.57087571,0.47703029,625.7763333,45277.17667,14.77255068,0.53662753,666.1736667,29633.73667,119.1666667,79.16666667,85.83333333,79.16666667,0.394355006283394,0.252942547897877,-0.257226498974273,-0.553331759336352,-1.75666449396914,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.456739248337971,-0.612542942504321,0.412613860843324,-1.02273189730399,0.653104121587014,4
"2850-57583","2850-57589",17.7,15.31283815,0.525054732,667.7976667,30717.55333,21.03828348,0.492798435,600.0436667,42202.79667,20.55429379,0.481698876,611.004,41231.91333,27.90630608,0.467220258,622.747,55980.05,114.3333333,79.16666667,79,79.16666667,0.394355006283394,-0.220209818057244,-0.7238327207249,-0.980549838843887,0.156524415169783,17.5,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,119.8333333,97,96.5,97,0.874898342127209,-0.270540180912031,-1.19263004642303,-0.710171408908421,-0.311527628735547,4
"2850-57585","2811-83208",15.5,15.49893652,0.532900141,628.063,31090.86667,38.8499435,0.434593729,588.369,77932.98667,25.59709704,0.444705538,599.3946667,51347.77667,38.00804752,0.431624901,610.0426667,76244.14333,121,76,76,76,-0.411550717693951,-0.159665267146272,1.94192717350385,0.0877810325344288,1.6280410604392,16.9,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,118,87,89.5,87,-0.319841925842042,1.29226422972124,-0.358985457287731,1.14387146976213,0.422378957559541,4
"2850-57588","2850-57653",18.1,12.52124294,0.529217393,669.7853333,25117.61333,26.61550183,0.468672327,627.7566667,53390.69667,22.60458126,0.444473503,616.0873333,45344.79,19.09416916,0.481473446,627.3723333,38302.90333,119.8333333,78.33333333,76.83333333,78.33333333,0.182274551131745,-1.12841701146077,0.110874711490428,-0.546191151659107,-1.12713605418521,16.37,8.467490861,0.535457505,660.1716667,16985.78667,27.15053506,0.465647634,659.167,54463.97333,21.8547225,0.470898637,665.8,43840.57333,15.40861914,0.497215455,659.167,30909.69,119.3333333,78,76.33333333,78,-1.39510816701437,-1.34521287106915,0.897405470214174,-0.0394008743863891,-1.12559173571107,4
"2850-57648","2850-57570",17.74,11.60741442,0.494800711,627.6863333,23284.47333,18.61403456,0.491184052,627.6863333,37339.75333,20.95208873,0.466379984,610.6836667,42029.89,24.50020273,0.465461665,611.004,49147.40667,119.8333333,77,76,77,-0.157054173547943,-1.42571858026568,-1.08665491345185,-0.896275955090821,-0.339641300890448,16.51,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,121.5,90,NA,90,0.038580154548733,0.805857959623855,0.0628528876022267,0.95505100493699,-0.400464277668821,1
"2850-57649","2850-57620",17.01,14.39168328,0.51971022,680.086,28869.71667,23.55332004,0.457667002,627.3723333,47247.96,22.86421569,0.440671477,653.731,45865.61667,16.04356098,0.508434104,644.425,32183.38333,116,73.5,NA,73.5,-1.04779207805897,-0.519894914297499,-0.347422909026337,-0.491186928196351,-1.57151693066357,18.2,8.903889997,0.510576941,627.6863333,17861.20333,21.60838485,0.492100236,611.004,43346.42,22.72290794,0.464821292,611.004,45582.15333,21.84048023,0.466018925,627.6863333,43812.00333,121,87,84,87,-0.319841925842042,-1.2331033167923,-0.235554933708899,0.186674306283134,0.146164302245678,4
