"female","male","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled","pat.clutch.size"
"2640-97331","2850-57808",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,17.44,11.46748421,0.514088925,678.7753333,23003.77333,15.37756564,0.515459018,659.167,30847.39667,20.6164008,0.49573159,641.3963333,41356.5,18.7548222,0.472216787,642.151,37622.17333,120.5,NA,100,100,1.57314861302708,-0.709680477568599,-1.54258636344907,-0.393340178166818,-0.847370430038086,4
"2640-97358","2850-57731",16.83,13.77641409,0.537489733,659.167,27635.48667,19.740555,0.495234064,642.151,39599.55333,21.14287305,0.469501946,651.4403333,42412.60333,22.67428049,0.46988128,671.7466667,45484.60667,115,73,76.5,73,-0.940842096057504,-0.971279059426395,-1.43533121253598,-0.896375301429055,-0.718199906902165,15.9,10.9634214,0.500436597,689.138,21992.62333,23.24545364,0.49159359,611.004,46630.38,18.5751562,0.456752009,611.004,37261.76333,24.60593387,0.474122334,611.004,49359.50333,119,91,92.33333333,91,0.257003109789217,-0.84374981052978,-0.209530090170569,-0.751748919336863,0.414309079555146,5
"2640-97596","2350-21085",19.6,14.9893104,0.547060066,678.131,30068.55667,28.48857095,0.481209825,658.7613333,57148.07333,30.15,0.434089165,634.778,60480.9,26.80653706,0.460644426,605.0816667,53773.91333,114.1666667,75,74,75,-0.419301822817655,-0.623148670270427,0.0052944928302281,0.687803457484877,-0.0294712923228968,18.2,9.637572283,0.565814715,678.4426667,19332.97,28.84809571,0.4595684,575.396,57869.28,35.25318711,0.41933404,600.3766667,70717.89333,28.30530741,0.481670083,649.4673333,56780.44667,119,84.5,NA,84.5,-0.693546420327017,-1.19639575702077,0.739725562470587,2.17663705833979,1.21200771478721,5
"2811-38984","2640-97589",15.8,14.51881356,0.515995203,679.458,29124.74,20.07807245,0.466369752,606.3786667,40276.61333,23.66085577,0.458228381,627.3723333,47463.67667,25.18879362,0.489744034,662.7626667,50528.72,116,81.5,81.5,81.5,1.27570406521186,-0.758192570276894,-1.37974874477886,-0.453511027118329,-0.299102710242308,16.1,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,119,99.66666667,98,99.66666667,1.52440248376499,-0.617154537768401,-1.28234576663637,-0.738145434585443,-0.438240313367936,3
"2850-57551","2850-57552",19,21.72451147,0.519022756,619.0316667,43579.37,25.07222499,0.496796279,617.439,50294.88333,24.04588401,0.474288937,631.0536667,48236.04333,29.70191592,0.461660687,632.079,59582.04333,120.5,77.5,78,77.5,0.232623518732157,1.31001589640452,-0.557310312251316,-0.385792034949576,0.453105294379681,17.6,16.47890661,0.541955633,652.3853333,33056.68667,28.13388501,0.471008287,636.077,56436.57333,26.12840312,0.473146464,630.4126667,52413.57667,25.80811565,0.486261458,632.783,51771.08,124.1666667,95,95.5,95,0.841956666783822,0.623244794888455,0.618716842712803,0.574476130000053,0.673536420302912,5
"2850-57568","2850-57806",15.37,15.13231971,0.50506128,659.167,30355.43333,25.47213526,0.452418429,642.151,51097.10333,23.5398787,0.430572869,625.7763333,47220.99667,23.32200897,0.497056741,659.167,46783.95,118,79.5,NA,79.5,0.754163791972006,-0.582101561516978,-0.491452977503093,-0.474788544985405,-0.610242152804158,15.88,11.25502825,0.516086951,669.4676667,22577.58667,14.26422898,0.518970434,659.167,28614.04333,18.0460319,0.470292612,659.167,36200.34,17.57589232,0.493413321,659.167,35257.24,120.1666667,83.83333333,86,83.83333333,-0.791038680313578,-0.766188968724348,-1.73121899508845,-0.844654382153754,-1.1015839465002,4
"2850-57571","2850-57579",20.23,16.76718677,0.503477031,659.167,33634.97667,24.15598039,0.482387459,642.4716667,48456.89667,22.57087571,0.47703029,625.7763333,45277.17667,14.77255068,0.53662753,666.1736667,29633.73667,119.1666667,79.16666667,85.83333333,79.16666667,0.667240413967931,-0.112855426358012,-0.708197728404573,-0.645217357924706,-2.03519156330868,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.622599082910845,-0.749043190899379,0.0503087508346794,-0.838956234350139,0.37083286253875,4
"2850-57575","2850-57574",19.8,17.39330841,0.525583019,627.6863333,34890.97667,38.62646062,0.440771487,634.7333333,77484.68,29.39766035,0.430465732,587.3956667,58971.70667,30.38286142,0.442822349,660.737,60948.02,118.1666667,73.33333333,76.5,73.33333333,-0.853918718053429,0.0668565312059226,1.67480498986682,0.555481519575614,0.566599372705749,18.7,11.90285975,0.492942754,627.3723333,23877.13667,21.77220837,0.49172923,611.004,43675.05,18.26303423,0.465028061,637.359,36635.64667,20.35447823,0.465982626,611.004,40831.08333,121,88,90,88,-0.181712057956737,-0.59388040845536,-0.459142038034007,-0.806552367370094,-0.502435424644784,4
"2850-57576","2850-57518",17.9,14.04054005,0.552302631,679.439,28165.32333,31.59471751,0.465997478,600.3753333,63379.00333,29.94176304,0.439812252,647.8016667,60063.17667,27.9942888,0.496187481,635.4193333,56156.54333,118,79.16666667,79.33333333,79.16666667,0.667240413967931,-0.895468561461409,0.516815574244216,0.651178619100334,0.168492845793124,18.14,14.90719508,0.519809235,611.004,29903.83333,19.59704719,0.532886535,665.0906667,39311.67667,20.80960452,0.478712673,627.0583333,41744.06667,18.70017448,0.514676857,678.7786667,37512.55,122.8333333,101.1666667,NA,101.1666667,1.74376007202512,0.205204994581631,-0.82767959937078,-0.35941680510581,-0.859154158064248,4
"2850-57583","2850-57589",17.7,15.31283815,0.525054732,667.7976667,30717.55333,21.03828348,0.492798435,600.0436667,42202.79667,20.55429379,0.481698876,611.004,41231.91333,27.90630608,0.467220258,622.747,55980.05,114.3333333,79.16666667,79,79.16666667,0.667240413967931,-0.530288431038391,-1.2216209246765,-0.99989496611295,0.153828650618884,17.5,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,119.8333333,97,96.5,97,1.13443344528112,-0.394951560502818,-1.28013005765578,-0.628201551764721,-0.681141276522795,4
