"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","dist.scale","dur.scale","bin_num_fert","size.cat","attempt2","dist.cat","dist.cat2","dist.cat3","prop.fert","rest.SI.scale","soc.male_TS_scaled","soc.male_throat_avg_bright_scaled","soc.male_breast_avg_bright_scaled","soc.fem_TS_scaled","soc.fem_throat_avg_bright_scaled","soc.fem_breast_avg_bright_scaled"
"2640-97331","2640-97588","2640-97331_2640-97588",1,"CHR",29,"CHR-29","0",11,12.54316078,7,-4,0.235483870967742,"CHR_29_1",1,"ep_same",2,4,"yes",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,18.7,11.85018943,14.45612662,87,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.222996299148416,1.12694781944983,1,"large","first","dist.20","dist.20","dist.20",0.5,-0.013746660537916,1.23332042251798,-0.574524092276724,-1.50929728666711,0.224690642671068,-0.0934822025987468,-1.95280566010936
"2640-97331","2640-97588","2640-97331_2640-97588",2,"CHR",27,"CHR-27","0",10,13.55260368,7,-4,0.297491039426523,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,18.7,11.85018943,14.45612662,87,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.367369482913978,1.12694781944983,0,"large","second","dist.20","dist.20","dist.20",0,0.749813667936175,1.23332042251798,-0.574524092276724,-1.50929728666711,0.224690642671068,-0.0934822025987468,-1.95280566010936
"2640-97331","2640-97589","2640-97331_2640-97589",1,"CHR",29,"CHR-29","0",11,3.345023064,9,-2,0.229032258064516,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.1,11.8153556,16.91354271,99.66666667,1.19349574731726,-0.485157035237985,-1.19530341502793,-1.09254559705296,1.6643004221014,0,"large","first","dist.05","dist.05","dist.10",0,-0.093192243847362,1.23332042251798,-0.574524092276724,-1.50929728666711,0.98818027510909,-0.478534822267752,-0.867541507603602
"2640-97331","2640-97589","2640-97331_2640-97589",2,"CHR",27,"CHR-27","0",10,3.56350997,10,-1,0.28673835125448,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.1,11.8153556,16.91354271,99.66666667,1.19349574731726,-0.485157035237985,-1.19530341502793,-1.06129702397338,1.93297672342719,0,"large","second","dist.05","dist.05","dist.10",0,0.617404362420436,1.23332042251798,-0.574524092276724,-1.50929728666711,0.98818027510909,-0.478534822267752,-0.867541507603602
"2640-97331","2811-83208","2640-97331_2811-83208",2,"CHR",27,"CHR-27","0",10,15.90725563,0,14,0.32258064516129,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.9,18.73416916,21.00459455,87,-0.319841925842042,1.29226422972124,-0.358985457287731,0.704138010070183,-0.75378628983068,0,"large","second","dist.20","dist.20","dist.20",0,1.05876871413957,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.411550717693951,-0.159665267146272,1.94192717350385
"2640-97331","2811-83208","2640-97331_2811-83208",1,"CHR",29,"CHR-29","0",0,16.94168974,0,13,0.258064516129032,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.9,18.73416916,21.00459455,87,-0.319841925842042,1.29226422972124,-0.358985457287731,0.852085502549842,-0.75378628983068,0,"large","first","dist.20","dist.20","dist.20",0,0.264312881045132,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.411550717693951,-0.159665267146272,1.94192717350385
"2640-97331","2850-57567","2640-97331_2850-57567",2,"CHR",27,"CHR-27","0",6,10.66265844,0,-37,0.32258064516129,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.6,10.56012296,26.35612994,102.1666667,1.49218081789379,-0.807622320284185,0.735008293751907,-0.0459581012484658,-0.75378628983068,0,"large","second","dist.20","dist.20","dist.20",0,1.05876871413957,1.23332042251798,-0.574524092276724,-1.50929728666711,-1.17504035013197,0.922800644787313,-0.818227574717981
"2640-97331","2850-57567","2640-97331_2850-57567",1,"CHR",29,"CHR-29","0",0,9.735905078,0,11,0.258064516129032,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.6,10.56012296,26.35612994,102.1666667,1.49218081789379,-0.807622320284185,0.735008293751907,-0.17850480937567,-0.75378628983068,0,"large","first","dist.10","dist.10","dist.10",0,0.264312881045132,1.23332042251798,-0.574524092276724,-1.50929728666711,-1.17504035013197,0.922800644787313,-0.818227574717981
"2640-97331","2850-57570","2640-97331_2850-57570",2,"CHR",27,"CHR-27","0",10,10.22398322,5,-5,0.304659498207885,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.51,16.84077767,23.06811898,90,0.038580154548733,0.805857959623855,0.0628528876022267,-0.108698587263532,0.589595216798255,0,"large","second","dist.20","dist.20","dist.20",0,0.838086538280001,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.157054173547943,-1.42571858026568,-1.08665491345185
"2640-97331","2850-57570","2640-97331_2850-57570",1,"CHR",29,"CHR-29","0",0,6.917761569,0,23,0.258064516129032,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,16.51,16.84077767,23.06811898,90,0.038580154548733,0.805857959623855,0.0628528876022267,-0.581563120749777,-0.75378628983068,0,"large","first","dist.10","dist.10","dist.10",0,0.264312881045132,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.157054173547943,-1.42571858026568,-1.08665491345185
"2640-97331","2850-57577","2640-97331_2850-57577",2,"CHR",27,"CHR-27","0",10,13.569444,0,24,0.32258064516129,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,18.2,20.92472416,28.83623131,90.83333333,0.138141843147924,1.85501086327307,1.24200585669334,0.369778029860051,-0.75378628983068,0,"large","second","dist.20","dist.20","dist.20",0,1.05876871413957,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.666047261839958,0.264789915692027,-0.462001728113777
"2640-97331","2850-57577","2640-97331_2850-57577",1,"CHR",29,"CHR-29","0",0,12.51519135,0,23,0.258064516129032,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,18.81945995,79.83333333,0.564019367350756,-2.00209196155345,-1.05591017852521,18.2,20.92472416,28.83623131,90.83333333,0.138141843147924,1.85501086327307,1.24200585669334,0.218996037561348,-0.75378628983068,0,"large","first","dist.20","dist.20","dist.20",0,0.264312881045132,1.23332042251798,-0.574524092276724,-1.50929728666711,-0.666047261839958,0.264789915692027,-0.462001728113777
