"","total.dur","process.dist.m","pat.clutch.size","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_TS","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_TS","soc.male_throat_avg_bright_scaled","soc.male_breast_avg_bright_scaled","soc.male_TS_scaled","soc.fem_throat_avg_bright_scaled","soc.fem_breast_avg_bright_scaled","soc.fem_TS_scaled"
"total.dur","1 ","","","","","","","","","","","","","","","",""
"process.dist.m"," 0.06*   ","1 ","","","","","","","","","","","","","","",""
"pat.clutch.size","-0.01    ","-0.04    ","1 ","","","","","","","","","","","","","",""
"fem_mass_1"," 0.07*   ","-0.11****"," 0.38****","1 ","","","","","","","","","","","","",""
"fem_throat_avg_bright"," 0.03    "," 0.02    "," 0.15****","-0.06    ","1 ","","","","","","","","","","","",""
"fem_breast_avg_bright"," 0.09**  ","-0.01    "," 0.04    ","-0.09**  "," 0.33****","1 ","","","","","","","","","","",""
"fem_TS"," 0.10*** ","-0.02    "," 0.15****"," 0.15****","-0.21****","-0.12****","1 ","","","","","","","","","",""
"male_mass_1"," 0.00    ","-0.04    "," 0.01    "," 0.08**  "," 0.02    "," 0.07*   ","-0.01    ","1 ","","","","","","","","",""
"male_throat_avg_bright","-0.12****"," 0.09**  "," 0.02    "," 0.01    "," 0.01    "," 0.01    ","-0.02    ","-0.02    ","1 ","","","","","","","",""
"male_breast_avg_bright","-0.22****"," 0.06*   "," 0.00    "," 0.01    ","-0.01    "," 0.00    "," 0.00    "," 0.04    "," 0.17****","1 ","","","","","","",""
"male_TS"," 0.01    ","-0.16****","-0.01    ","-0.04    ","-0.02    ","-0.01    "," 0.00    "," 0.12****","-0.04    ","-0.09**  ","1 ","","","","","",""
"soc.male_throat_avg_bright_scaled"," 0.10**  "," 0.11*** ","-0.16****","-0.01    "," 0.07*   "," 0.06    "," 0.12****"," 0.00    ","-0.06    ","-0.02    ","-0.01    ","1 ","","","","",""
"soc.male_breast_avg_bright_scaled"," 0.15****"," 0.07*   "," 0.04    "," 0.20****"," 0.12****"," 0.16****","-0.17****"," 0.03    ","-0.01    ","-0.06    ","-0.02    "," 0.26****","1 ","","","",""
"soc.male_TS_scaled","-0.11****","-0.13****"," 0.11****"," 0.09**  ","-0.13****","-0.49****"," 0.20****","-0.03    ","-0.01    ","-0.01    ","-0.05    "," 0.03    "," 0.01    ","1 ","","",""
"soc.fem_throat_avg_bright_scaled","-0.17****"," 0.02    "," 0.01    "," 0.04    "," 0.04    "," 0.05    ","-0.06*   "," 0.13****"," 0.10**  "," 0.21****","-0.13****"," 0.00    ","-0.01    ","-0.01    ","1 ","",""
"soc.fem_breast_avg_bright_scaled","-0.11*** ","-0.01    "," 0.02    "," 0.12*** "," 0.07*   "," 0.05    ","-0.06*   ","-0.13****"," 0.08*   "," 0.19****","-0.51****"," 0.00    "," 0.03    "," 0.01    "," 0.37****","1 ",""
"soc.fem_TS_scaled"," 0.02    "," 0.02    ","-0.03    ","-0.07*   ","-0.08*   ","-0.08*   "," 0.03    ","-0.11*** "," 0.13****","-0.01    "," 0.18****","-0.02    ","-0.01    ","-0.01    ","-0.22****","-0.02    ","1 "
