"Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","year"
"2850-57625","Alishas","dad","none",2021
"2850-57628","Alishas","dad","none",2021
"2850-57630","Alishas","dad","none",2021
"2850-57631","Alishas","dad","none",2021
"2850-57915","Alishas","dad","none",2021
"2850-57916","Alishas","dad","none",2021
"2850-57917","Alishas","dad","none",2021
"2811-82916","Make Believe","dad","MakeBelieve-61",2021
"2640-97548","Blue Cloud","dad","BlueCloud-18",2021
"2850-57620","Jims","dad","Jims-01",2021
"2850-57636","Blue Cloud","dad","none",2021
"2870-64905","Blue Cloud","dad","BlueCloud-26",2022
"2870-64906","Boyer","dad","Boyer-11",2022
"2850-57646","CHR","dad","CHR-054",2022
"2850-57745","CHR","dad","CHR-082",2022
"2811-82969","CHR","dad","CHR-085",2022
"2850-57880","CHR","dad","CHR-139",2022
"2850-57669","CHR","dad","CHR-149",2022
"2850-57657","CHR","dad","none",2022
"2811-00632","Erica's","dad","Ericas-01",2022
"2850-57751","Jay's","dad","Jays-01",2022
"2850-57636","Jay's","dad","Jays-02",2022
"2850-57680","Make Believe","dad","MakeBelieve-62",2022
"2850-57750","Make Believe","dad","MakeBelieve-62.2",2022
"2811-39093","Schaaps","dad","none",2022
"2850-57560","Grizz","dad","none",2022
"2850-57587","CHR","dad","none",2022
"2850-57593","Mayas","dad","none",2022
"2850-57595","Mayas","dad","none",2022
"2850-57597","Mayas","dad","none",2022
"2850-57598","Schaaps","dad","none",2022
"2850-57600","Schaaps","dad","none",2022
"2850-57619","Reinarz","dad","none",2022
"2850-57644","Urban Farm Girlz","dad","none",2022
"2850-57665","Cooks","dad","none",2022
"2850-57677","Mayas","dad","none",2022
"2850-57678","Mayas","dad","none",2022
"2850-57679","Starlight","dad","none",2022
"2850-57681","Schaaps","dad","none",2022
"2850-57684","Struthers","dad","Struthers-23",2022
"2850-57690","Plumbumpy","dad","none",2022
"2850-57694","Quick","dad","none",2022
"2850-57695","Quick","dad","none",2022
"2850-57697","Grizz","dad","none",2022
"2850-57701","Schaaps","dad","none",2022
"2850-57743","CHR","dad","none",2022
"2850-57889","Mayas","dad","none",2022
"2850-57890","Mayas","dad","none",2022
"2850-57895","Schaaps","dad","none",2022
"2850-57897","Cargill","dad","none",2022
"2850-57898","Grizz","dad","none",2022
"2870-64907","CHR","dad","none",2022
"2870-64913","Jame's Ditch","dad","none",2022
"2870-64918","Boyer","dad","none",2022
"2870-65001","Schaaps","dad","none",2022
"2850-57607","Schaaps","dad","Schaaps-108",2022
"2850-57642","Sol y Sombra","dad","SolySombra-01",2022
"2850-57686","Boyer","dad","Boyer-15",2023
"2850-57577","CHR","dad","none",2023
"2850-57880","CHR","dad","none",2023
"2850-57881","CHR","dad","none",2023
"2870-64907","CHR","dad","none",2023
"2881-34050","CHR","dad","none",2023
"2850-57567","CHR","dad","none",2023
"2850-57578","CHR","dad","none",2023
"2850-57579","CHR","dad","none",2023
"2850-57582","CHR","dad","none",2023
"2850-57695","Quick","dad","none",2023
"2850-57745","CHR","dad","none",2023
"2850-57756","CHR","dad","none",2023
"2850-57757","CHR","dad","none",2023
"2850-57758","CHR","dad","none",2023
"2850-57759","CHR","dad","none",2023
"2850-57762","CHR","dad","none",2023
"2850-57763","CHR","dad","none",2023
"2850-57772","Cooks","dad","Cooks-02.2",2023
"2850-57808","CHR","dad","none",2023
"2850-57926","Blue Cloud","dad","none",2023
"2850-57927","Blue Cloud","dad","none",2023
"2850-57930","Blue Cloud","dad","none",2023
"2850-57955","CHR","dad","none",2023
"2850-57962","CHR","dad","none",2023
"2850-57963","CHR","dad","none",2023
"2850-57970","CHR","dad","none",2023
"2850-57972","CHR","dad","none",2023
"2870-64920","CHR","dad","none",2023
"2870-64924","CHR","dad","none",2023
"2870-64928","CHR","dad","none",2023
"2870-65020","CHR","dad","none",2023
"2870-65023","CHR","dad","none",2023
"2811-83123","CHR","dad","none",2023
"2811-83258","CHR","dad","none",2023
"2850-57958","CHR","dad","none",2023
"2850-57967","Green Mill","dad","none",2023
"2870-64921","CHR","dad","none",2023
"2850-57586","CHR","mom","CHR-149",2022
"2850-57896","Cargill","mom","none",2022
