"band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","year"
"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-05",2023
"2850-57765","Urban Farm Girlz",8,"dad","UrbanFarm-08",2023
"2850-57933","Cooks",18,"dad","Cooks-18",2023
"2870-65017","Make Believe",34,"dad","MakeBelieve-34",2023
"2870-65018","Make Believe",17,"dad","MakeBelieve-17",2023
"2850-57976","Urban Farm Girlz",4,"dad","UrbanFarm-07",2023
"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",2023
"2850-57608","Urban Farm Girlz",4,"mom","UrbanFarm-07",2023
"2850-57764","Urban Farm Girlz",8,"mom","UrbanFarm-08",2023
"2850-57932","Cooks",18,"mom","Cooks-18",2023
"2850-57938","Make Believe",34,"mom","MakeBelieve-34",2023
"2870-65019","Make Believe",17,"mom","MakeBelieve-17",2023
