"Band_dad","Band_mom","building_dad","building_mom","dist","pat.clutch.size","fert","prop.fert","year"
"2850-57563","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57606","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57562","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57546","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57554","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2811-06912","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57538","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57505","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57549","2811-38691","Mary Anns est","Cathys est",185.3781345,3,0,0,2021
"2850-57565","2811-38691","Blue Cloud Middle Shed","Cathys est",4705.235243,3,0,0,2021
"2850-57602","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57625","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57630","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57615","2811-38691","Urban Farm Girlz Sheep Shed","Cathys est",2733.095014,3,0,0,2021
"2850-57628","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57619","2811-38691","Reinarz shed est","Cathys est",11353.27955,3,0,0,2021
"2850-57624","2811-38691","Urban Farm Girlz Red Barn","Cathys est",2738.939865,3,0,0,2021
"2850-57836","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57915","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57631","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2850-57901","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57916","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2510-63488","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2811-82916","2811-38691","Make Believe Shed","Cathys est",3351.501,3,0,0,2021
"2850-57912","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57917","2811-38691","Alishas est","Cathys est",11373.09327,3,0,0,2021
"2640-97548","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57614","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2850-57557","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57633","2811-38691","Cooks","Cathys est",11307.353,3,0,0,2021
"2850-57607","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57518","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57620","2811-38691","Jims Green Barn est","Cathys est",6168.015566,3,0,0,2021
"2850-57636","2811-38691","Blue Cloud main","Cathys est",4754.681144,3,0,0,2021
"2350-21085","2811-38691","Make Believe","Cathys est",3337.471654,3,0,0,2021
"2850-57701","2811-38691","Schaaps","Cathys est",6915.132474,3,0,0,2021
"2850-57552","2811-38691","Struthers main","Cathys est",3488.116073,3,0,0,2021
"2850-57565","2850-57559","Blue Cloud Middle Shed","Schaaps",6335.802989,5,0,0,2021
"2850-57505","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57549","2850-57559","Mary Anns est","Schaaps",7017.188766,5,0,0,2021
"2850-57599","2850-57559","Cathys est","Schaaps",6915.132474,5,0,0,2021
"2850-57602","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57625","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57615","2850-57559","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,5,0,0,2021
"2850-57619","2850-57559","Reinarz shed est","Schaaps",14915.48545,5,0,0,2021
"2850-57624","2850-57559","Urban Farm Girlz Red Barn","Schaaps",4602.822467,5,0,0,2021
"2850-57628","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57630","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57631","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57836","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57901","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57912","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57915","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2850-57916","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2811-82916","2850-57559","Make Believe Shed","Schaaps",8980.360381,5,0,0,2021
"2850-57917","2850-57559","Alishas est","Schaaps",15085.54575,5,0,0,2021
"2510-63488","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2640-97548","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57518","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57614","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57633","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57620","2850-57559","Jims Green Barn est","Schaaps",8515.620903,5,0,0,2021
"2350-21085","2850-57559","Make Believe","Schaaps",8944.936855,5,0,0,2021
"2850-57557","2850-57559","Cooks","Schaaps",14316.31219,5,0,0,2021
"2850-57552","2850-57559","Struthers main","Schaaps",5896.626973,5,0,0,2021
"2850-57636","2850-57559","Blue Cloud main","Schaaps",6302.735018,5,0,0,2021
"2850-57505","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57549","2850-57561","Mary Anns est","Schaaps",7017.188766,8,0,0,2021
"2850-57565","2850-57561","Blue Cloud Middle Shed","Schaaps",6335.802989,8,0,0,2021
"2850-57599","2850-57561","Cathys est","Schaaps",6915.132474,8,0,0,2021
"2850-57602","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57615","2850-57561","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,8,0,0,2021
"2850-57624","2850-57561","Urban Farm Girlz Red Barn","Schaaps",4602.822467,8,0,0,2021
"2850-57619","2850-57561","Reinarz shed est","Schaaps",14915.48545,8,0,0,2021
"2850-57625","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57836","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57628","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57630","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57901","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57912","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57631","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57915","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2510-63488","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57916","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2811-82916","2850-57561","Make Believe Shed","Schaaps",8980.360381,8,0,0,2021
"2850-57917","2850-57561","Alishas est","Schaaps",15085.54575,8,0,0,2021
"2850-57620","2850-57561","Jims Green Barn est","Schaaps",8515.620903,8,0,0,2021
"2640-97548","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57518","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57557","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57614","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2350-21085","2850-57561","Make Believe","Schaaps",8944.936855,8,0,0,2021
"2850-57636","2850-57561","Blue Cloud main","Schaaps",6302.735018,8,0,0,2021
"2850-57633","2850-57561","Cooks","Schaaps",14316.31219,8,0,0,2021
"2850-57552","2850-57561","Struthers main","Schaaps",5896.626973,8,0,0,2021
"2850-57505","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57549","2850-57604","Mary Anns est","Schaaps",7017.188766,7,0,0,2021
"2850-57602","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57565","2850-57604","Blue Cloud Middle Shed","Schaaps",6335.802989,7,0,0,2021
"2850-57599","2850-57604","Cathys est","Schaaps",6915.132474,7,0,0,2021
"2850-57615","2850-57604","Urban Farm Girlz Sheep Shed","Schaaps",4582.444628,7,0,0,2021
"2850-57624","2850-57604","Urban Farm Girlz Red Barn","Schaaps",4602.822467,7,0,0,2021
"2850-57619","2850-57604","Reinarz shed est","Schaaps",14915.48545,7,0,0,2021
"2850-57628","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57912","2850-57604","Cooks","Schaaps",14316.31219,7,0,0,2021
"2850-57836","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2850-57631","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57625","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57630","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57917","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57915","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2510-63488","2850-57604","Make Believe","Schaaps",8944.936855,7,0,0,2021
"2850-57916","2850-57604","Alishas est","Schaaps",15085.54575,7,0,0,2021
"2850-57901","2850-57604","Blue Cloud main","Schaaps",6302.735018,7,0,0,2021
"2811-82916","2850-57604","Make Believe Shed","Schaaps",8980.360381,7,0,0,2021
