"site","n.males","n.females","clutch.per.site","sample.type"
"Alishas est",7,0,"0","sires only"
"Blue Cloud Middle Shed",1,0,"0","sires only"
"Blue Cloud main",4,2,"4","focal nests"
"Blue Cloud wash room",1,1,"1","focal nests"
"Cathys est",1,1,"1","focal nests"
"Cathys trailer est",1,1,"1","focal nests"
"Cooks",5,5,"11","focal nests"
"Hepp awning",1,1,"1","focal nests"
"Jims Green Barn est",1,0,"0","sires only"
"Make Believe",4,4,"8","focal nests"
"Make Believe Shed",1,0,"0","sires only"
"Mary Anns est",1,1,"1","focal nests"
"Reinarz shed est",1,1,"1","focal nests"
"Schaaps",9,9,"20","focal nests"
"Struthers main",1,1,"3","focal nests"
"Urban Farm Girlz Red Barn",1,1,"1","focal nests"
"Urban Farm Girlz Sheep Shed",1,1,"3","focal nests"
