"dist","near_rank","BarnName_1","BarnName_2"
16.34208163,1,"Make Believe","Make Believe Shed"
3104.670145,2,"Make Believe","Jays est"
3139.663173,3,"Make Believe","Mary Anns est"
3336.249381,4,"Make Believe","Struthers main"
3337.471654,5,"Make Believe","Cathys est"
3344.231333,6,"Make Believe","Struthers back shed"
3365.623023,7,"Make Believe","Cathys trailer est"
3372.48869,8,"Make Believe","Struthers round"
3455.712605,9,"Make Believe","Speedwell est"
3456.574291,10,"Make Believe","Green Mill est"
3470.02738,11,"Make Believe","Nixon est"
3784.462198,12,"Make Believe","Blue Cloud wash room"
3861.779098,13,"Make Believe","Blue Cloud Middle Shed"
3876.36582,14,"Make Believe","Blue Cloud pony shed"
3892.653379,15,"Make Believe","Blue Cloud Gazebo"
3928.765414,16,"Make Believe","Blue Cloud main"
3967.210281,17,"Make Believe","Jims Green Barn est"
4083.407908,18,"Make Believe","Red Wagon porch est"
4212.841149,19,"Make Believe","Boyer"
4502.170914,20,"Make Believe","Mayas est"
4554.003987,21,"Make Believe","McCauley est"
4644.456697,22,"Make Believe","Quick est"
4828.138032,23,"Make Believe","Martes est"
4840.754384,24,"Make Believe","Starlight est"
4897.580448,25,"Make Believe","Karens est"
4912.593342,26,"Make Believe","CHR"
5249.655973,27,"Make Believe","Plumbumpy est"
5584.703476,28,"Make Believe","Dome House est"
5761.465774,29,"Make Believe","Urban Farm Girlz Sheep Shed"
5781.976718,30,"Make Believe","Urban Farm Girlz Red Barn"
5844.069614,31,"Make Believe","Urban Farm Girls Chicken coop"
6138.261922,32,"Make Believe","James Ditch est"
6275.257607,33,"Make Believe","Ericas"
7297.341797,34,"Make Believe","Brown Barn est"
8043.565207,35,"Make Believe","Reinarz Garage est"
8065.260889,36,"Make Believe","Alishas est"
8068.720913,37,"Make Believe","Reinarz shed est"
8134.783478,38,"Make Believe","Cooks"
8391.08136,39,"Make Believe","Hepp awning"
8782.200062,40,"Make Believe","Sol y Sombra est"
8934.417156,41,"Make Believe","Cargill est"
8944.936855,42,"Make Believe","Schaaps"
9492.861087,43,"Make Believe","Grizz est"
552.1242579,1,"Cooks","Hepp awning"
1132.213772,2,"Cooks","Sol y Sombra est"
1171.890026,3,"Cooks","Reinarz Garage est"
1200.685865,4,"Cooks","Reinarz shed est"
1546.300542,5,"Cooks","Alishas est"
2017.501613,6,"Cooks","James Ditch est"
3008.036321,7,"Cooks","Cargill est"
3587.486642,8,"Cooks","Ericas"
3998.148258,9,"Cooks","CHR"
4427.496664,10,"Cooks","Karens est"
4960.277792,11,"Cooks","Mayas est"
5868.726624,12,"Cooks","Jims Green Barn est"
7022.837808,13,"Cooks","McCauley est"
8070.854802,14,"Cooks","Nixon est"
8079.165808,15,"Cooks","Blue Cloud wash room"
8116.117913,16,"Cooks","Blue Cloud pony shed"
8131.940467,17,"Cooks","Blue Cloud Middle Shed"
8134.783478,18,"Cooks","Make Believe"
8135.083191,19,"Cooks","Blue Cloud main"
8148.946634,20,"Cooks","Make Believe Shed"
8151.419445,21,"Cooks","Blue Cloud Gazebo"
8176.916513,22,"Cooks","Starlight est"
8518.517871,23,"Cooks","Jays est"
8793.220725,24,"Cooks","Green Mill est"
9005.239589,25,"Cooks","Struthers back shed"
9026.103113,26,"Cooks","Struthers main"
9083.204192,27,"Cooks","Struthers round"
9974.089273,28,"Cooks","Speedwell est"
10895.89421,29,"Cooks","Red Wagon porch est"
11115.95446,30,"Cooks","Mary Anns est"
11307.353,31,"Cooks","Cathys est"
11328.65514,32,"Cooks","Cathys trailer est"
11757.49343,33,"Cooks","Boyer"
12201.81193,34,"Cooks","Plumbumpy est"
12332.29554,35,"Cooks","Brown Barn est"
12332.58471,36,"Cooks","Martes est"
12459.24829,37,"Cooks","Quick est"
12698.415,38,"Cooks","Grizz est"
12982.92152,39,"Cooks","Dome House est"
13112.56561,40,"Cooks","Urban Farm Girlz Sheep Shed"
13146.32277,41,"Cooks","Urban Farm Girlz Red Barn"
13196.78209,42,"Cooks","Urban Farm Girls Chicken coop"
14316.31219,43,"Cooks","Schaaps"
22.52520255,1,"Struthers main","Struthers back shed"
47.79605615,2,"Struthers main","Struthers round"
319.575851,3,"Struthers main","Green Mill est"
499.3814932,4,"Struthers main","Jays est"
1051.948626,5,"Struthers main","Nixon est"
1052.137445,6,"Struthers main","Speedwell est"
1226.390882,7,"Struthers main","Blue Cloud wash room"
1242.344394,8,"Struthers main","Blue Cloud Middle Shed"
1248.255274,9,"Struthers main","Blue Cloud Gazebo"
1264.680494,10,"Struthers main","Blue Cloud pony shed"
1282.306886,11,"Struthers main","Blue Cloud main"
1939.365424,12,"Struthers main","Red Wagon porch est"
2093.826763,13,"Struthers main","Starlight est"
2624.106317,14,"Struthers main","McCauley est"
3150.777513,15,"Struthers main","Boyer"
3195.317127,16,"Struthers main","Plumbumpy est"
3225.333042,17,"Struthers main","Jims Green Barn est"
3336.249381,18,"Struthers main","Make Believe"
3375.261894,19,"Struthers main","Make Believe Shed"
3395.167737,20,"Struthers main","Mary Anns est"
3488.116073,21,"Struthers main","Cathys est"
3496.957687,22,"Struthers main","Cathys trailer est"
3595.080553,23,"Struthers main","Martes est"
4047.282377,24,"Struthers main","Quick est"
4076.570861,25,"Struthers main","Brown Barn est"
4105.80886,26,"Struthers main","Dome House est"
4147.600318,27,"Struthers main","Mayas est"
4200.884412,28,"Struthers main","Urban Farm Girlz Sheep Shed"
4239.054456,29,"Struthers main","Urban Farm Girlz Red Barn"
4281.060109,30,"Struthers main","Urban Farm Girls Chicken coop"
4702.614612,31,"Struthers main","Karens est"
5026.901367,32,"Struthers main","CHR"
5896.626973,33,"Struthers main","Schaaps"
5984.428043,34,"Struthers main","Ericas"
6153.837017,35,"Struthers main","Grizz est"
7042.386822,36,"Struthers main","James Ditch est"
8676.920696,37,"Struthers main","Cargill est"
9026.103113,38,"Struthers main","Cooks"
9077.771685,39,"Struthers main","Hepp awning"
9365.066606,40,"Struthers main","Reinarz Garage est"
9398.404037,41,"Struthers main","Reinarz shed est"
9514.577439,42,"Struthers main","Alishas est"
9963.437346,43,"Struthers main","Sol y Sombra est"
47.79605615,1,"Struthers round","Struthers main"
73.15476567,2,"Struthers round","Struthers back shed"
356.2478644,3,"Struthers round","Green Mill est"
557.3733658,4,"Struthers round","Jays est"
1013.604361,5,"Struthers round","Speedwell est"
1099.759049,6,"Struthers round","Nixon est"
1265.919094,7,"Struthers round","Blue Cloud wash room"
1279.160161,8,"Struthers round","Blue Cloud Middle Shed"
1283.849839,9,"Struthers round","Blue Cloud Gazebo"
1301.390088,10,"Struthers round","Blue Cloud pony shed"
1317.240399,11,"Struthers round","Blue Cloud main"
1894.203232,12,"Struthers round","Red Wagon porch est"
2114.250417,13,"Struthers round","Starlight est"
2665.157382,14,"Struthers round","McCauley est"
3116.434557,15,"Struthers round","Boyer"
3146.352001,16,"Struthers round","Plumbumpy est"
3278.975933,17,"Struthers round","Jims Green Barn est"
3372.48869,18,"Struthers round","Make Believe"
3382.233613,19,"Struthers round","Mary Anns est"
3411.440862,20,"Struthers round","Make Believe Shed"
3472.461076,21,"Struthers round","Cathys est"
3480.985722,22,"Struthers round","Cathys trailer est"
3555.724472,23,"Struthers round","Martes est"
4015.7167,24,"Struthers round","Quick est"
4031.678336,25,"Struthers round","Brown Barn est"
4061.220749,26,"Struthers round","Dome House est"
4154.959669,27,"Struthers round","Urban Farm Girlz Sheep Shed"
4193.248708,28,"Struthers round","Urban Farm Girlz Red Barn"
4201.748132,29,"Struthers round","Mayas est"
4234.903226,30,"Struthers round","Urban Farm Girls Chicken coop"
4756.860343,31,"Struthers round","Karens est"
5082.708126,32,"Struthers round","CHR"
5848.045362,33,"Struthers round","Schaaps"
