"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_82960","2850-57599_2811-38691","2811-82960","Cathys","kid","Cathys-02",2,"1","Cathys_2_1",0.244,0.655,0.1,0.428,63616,"2850-57599","Cathys","dad","Cathys-02",0.13,0.812,0.058,0.464,71234,"2811-38691","Cathys","mom","Cathys-02","small"
"CO_82961","2850-57599_2811-38691","2811-82961","Cathys","kid","Cathys-02",2,"1","Cathys_2_1",0.274,0.61,0.116,0.421,60447,"2850-57599","Cathys","dad","Cathys-02",0.12,0.822,0.059,0.47,67611,"2811-38691","Cathys","mom","Cathys-02","small"
"CO_82962","2850-57599_2811-38691","2811-82962","Cathys","kid","Cathys-02",2,"1","Cathys_2_1",0.257,0.623,0.12,0.432,54644,"2850-57599","Cathys","dad","Cathys-02",0.148,0.789,0.063,0.458,61099,"2811-38691","Cathys","mom","Cathys-02","small"
"CO_83006","2850-57554_2850-57905","2811-83006","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2",0.146,0.783,0.071,0.462,65600,"2850-57554","Schaaps","dad","Schaaps-24",0.186,0.728,0.086,0.45,61671,"2850-57905","Schaaps","mom","Schaaps-24","medium"
"CO_83028","2850-57554_2850-57559","2811-83028","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1",0.14,0.8,0.06,0.46,63037,"2850-57554","Schaaps","dad","Schaaps-24",0.183,0.756,0.061,0.439,64535,"2850-57559","Schaaps","mom","Schaaps-98","medium"
"CO_83026","2850-57554_2850-57559","2811-83026","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1",0.158,0.77,0.072,0.457,61491,"2850-57554","Schaaps","dad","Schaaps-24",0.188,0.74,0.073,0.442,62970,"2850-57559","Schaaps","mom","Schaaps-98","medium"
"CO_83027","2850-57554_2850-57559","2811-83027","Schaaps","kid","Schaaps-98",36,"1","Schaaps_36_1",0.19,0.725,0.085,0.448,60709,"2850-57554","Schaaps","dad","Schaaps-24",0.185,0.737,0.078,0.447,62210,"2850-57559","Schaaps","mom","Schaaps-98","medium"
"CO_83010","2850-57563_2850-57561","2811-83010","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2",0.145,0.821,0.034,0.445,77036,"2850-57563","Schaaps","dad","Schaaps-74",0.186,0.767,0.047,0.43,65116,"2850-57561","Schaaps","mom","Schaaps-74","medium"
"CO_83009","2850-57563_2850-57561","2811-83009","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2",0.137,0.834,0.029,0.446,77727,"2850-57563","Schaaps","dad","Schaaps-74",0.174,0.753,0.072,0.449,65712,"2850-57561","Schaaps","mom","Schaaps-74","medium"
"CO_83011","2850-57563_2850-57561","2811-83011","Schaaps","kid","Schaaps-74",14,"2","Schaaps_14_2",0.119,0.858,0.023,0.452,86634,"2850-57563","Schaaps","dad","Schaaps-74",0.124,0.838,0.038,0.457,73203,"2850-57561","Schaaps","mom","Schaaps-74","medium"
