"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_57686",0.986,0.004,0.01,0.012,64938,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA
"CO_57659","CO_97548",0.984,0.01,0.006,0.011,63475,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2640-97548","Blue Cloud","dad","BlueCloud-18",NA,NA,NA
"CO_57659","CO_57565",0.983,0.015,0.001,0.009,61888,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57565","Blue Cloud","dad","BlueCloud-19",NA,NA,NA
"CO_57659","CO_57666",0.978,0.019,0.003,0.013,62031,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57666","Cathy's","dad","Cathys-02",NA,NA,NA
"CO_57659","CO_57901",0.983,0.014,0.003,0.01,53328,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA
"CO_57659","CO_83208",0.983,0.016,0.001,0.009,60359,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83208","CHR","dad","CHR-004",NA,NA,NA
"CO_57659","CO_57614",0.979,0.018,0.003,0.012,59767,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57614","Blue Cloud","dad","BlueCloud-22",NA,NA,NA
"CO_57659","CO_57881",0.985,0.015,0,0.008,56037,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57881","CHR","dad","CHR-025",NA,NA,NA
"CO_57659","CO_64906",0.978,0.017,0.005,0.014,58007,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2870-64906","Boyer","dad","Boyer-11",NA,NA,NA
"CO_57659","CO_64905",0.974,0.025,0.001,0.014,55581,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2870-64905","Blue Cloud","dad","BlueCloud-26",NA,NA,NA
"CO_57659","CO_57733",0.989,0.01,0.001,0.006,60180,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57733","CHR","dad","CHR-011",NA,NA,NA
"CO_57659","CO_57689",0.979,0.02,0.001,0.011,63382,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57689","Boyer","dad","Boyer-05-07",NA,NA,NA
"CO_57659","CO_57806",0.981,0.005,0.013,0.016,52566,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57806","CHR","dad","CHR-037",NA,NA,NA
"CO_57659","CO_57806",0.981,0.005,0.013,0.016,52566,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57806","CHR","dad","CHR-096",NA,NA,NA
"CO_57659","CO_57567",0.978,0.012,0.01,0.016,57220,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57567","CHR","dad","CHR-043",NA,NA,NA
"CO_57659","CO_57731",0.966,0.032,0.002,0.018,57342,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57731","CHR","dad","CHR-032",NA,NA,NA
"CO_57659","CO_57671",0.973,0.011,0.016,0.022,58426,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57671","CHR","dad","CHR-073",NA,NA,NA
"CO_57659","CO_57620",0.982,0.017,0.001,0.009,59681,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57620","CHR","dad","CHR-039",NA,NA,NA
"CO_57659","CO_57581",0.987,0.012,0.001,0.007,60876,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57581","CHR","dad","CHR-066",NA,NA,NA
"CO_57659","CO_57808",0.989,0.011,0,0.006,57469,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57808","CHR","dad","CHR-029",NA,NA,NA
"CO_57659","CO_57646",0.969,0.025,0.006,0.018,56639,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57646","CHR","dad","CHR-054",NA,NA,NA
"CO_57659","CO_57580",0.971,0.024,0.005,0.017,60086,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57580","CHR","dad","CHR-080",NA,NA,NA
"CO_57659","CO_82969",0.985,0.009,0.006,0.01,54933,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-82969","CHR","dad","CHR-085",NA,NA,NA
"CO_57659","CO_57653",0.978,0.02,0.002,0.012,60839,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57653","CHR","dad","CHR-045",NA,NA,NA
"CO_57659","CO_97588",0.982,0.017,0.001,0.009,59114,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2640-97588","CHR","dad","CHR-093",NA,NA,NA
"CO_57659","CO_57744",0.989,0.011,0,0.006,58529,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57744","CHR","dad","CHR-078",NA,NA,NA
"CO_57659","CO_57579",0.98,0.02,0.001,0.011,60249,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57579","CHR","dad","CHR-058",NA,NA,NA
"CO_57659","CO_57589",0.986,0.011,0.003,0.009,57976,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57589","CHR","dad","CHR-097",NA,NA,NA
"CO_57659","CO_57745",0.971,0.025,0.005,0.017,58519,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57745","CHR","dad","CHR-082",NA,NA,NA
"CO_57659","CO_57578",0.98,0.018,0.002,0.011,59396,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57578","CHR","dad","CHR-099",NA,NA,NA
"CO_57659","CO_57742",0.982,0.012,0.006,0.012,57228,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57742","CHR","dad","CHR-110",NA,NA,NA
"CO_57659","CO_57582",0.982,0.017,0.001,0.01,58124,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57582","CHR","dad","CHR-074",NA,NA,NA
"CO_57659","CO_57582",0.982,0.017,0.001,0.01,58124,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57582","CHR","dad","CHR-148",NA,NA,NA
"CO_57659","CO_97589",0.984,0.013,0.003,0.009,63568,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2640-97589","CHR","dad","CHR-102",NA,NA,NA
"CO_57659","CO_57880",0.982,0.018,0.001,0.009,54405,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57880","CHR","dad","CHR-139",NA,NA,NA
"CO_57659","CO_57647",0.976,0.016,0.008,0.016,54130,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57647","CHR","dad","CHR-112",NA,NA,NA
"CO_57659","CO_57577",0.978,0.018,0.005,0.014,61999,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57577","CHR","dad","CHR-128",NA,NA,NA
"CO_57659","CO_57657",0.977,0.005,0.017,0.02,60168,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57657","CHR","dad","none",NA,NA,NA
"CO_57659","CO_57669",0.984,0.013,0.003,0.009,57633,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57669","CHR","dad","CHR-149",NA,NA,NA
"CO_57659","CO_57557",0.985,0.012,0.003,0.009,58141,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57557","Cooks","dad","Cooks-06",NA,NA,NA
"CO_57659","CO_57673",0.975,0.011,0.014,0.02,60680,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57673","Cooks","dad","Cooks-17",NA,NA,NA
"CO_57659","CO_57574",0.981,0.016,0.003,0.011,54644,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57574","Cooks","dad","Cooks-04",NA,NA,NA
"CO_57659","CO_57570",0.976,0.022,0.003,0.014,54444,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57570","CHR","dad","CHR-133",NA,NA,NA
"CO_57659","CO_57675",0.984,0.012,0.004,0.01,64493,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57675","Cooks","dad","Cooks-13",NA,NA,NA
"CO_57659","CO_57633",0.979,0.018,0.003,0.012,60363,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57633","Cooks","dad","Cooks-02",NA,NA,NA
"CO_57659","CO_57638",0.984,0.015,0.001,0.009,61239,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57638","Cooks","dad","Cooks-29",NA,NA,NA
"CO_57659","CO_57676",0.972,0.024,0.004,0.016,57887,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57676","Cooks","dad","Cooks-27",NA,NA,NA
"CO_57659","CO_57573",0.975,0.014,0.011,0.018,59661,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57573","Cooks","dad","Cooks-31",NA,NA,NA
"CO_57659","CO_57643",0.971,0.021,0.007,0.018,56298,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57643","Dome House","dad","DomeHouse-01",NA,NA,NA
"CO_57659","CO_57873",0.982,0.01,0.009,0.013,49490,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2850-57873","Make Believe","dad","MakeBelieve-26",NA,NA,NA
