site,clutch.per.site,n.males,n.females,sample.type
Alishas,0,7,0,sires only
Blue Cloud,4,4,3,focal nests
Blue Cloud middle shed,0,1,1,sires only
Blue Cloud wash room,1,1,1,focal nests
Cathys,1,1,1,focal nests
Cathys trailer,1,1,1,focal nests
Cooks,11,5,5,focal nests
Hepp,1,1,1,focal nests
Jims,0,1,0,sires only
Make Believe,8,4,4,focal nests
Make Believe shed,0,1,0,sires only
Mary Anns,1,1,1,focal nests
Reinarz,1,1,1,focal nests
Schaaps,20,9,9,focal nests
Struthers,3,1,1,focal nests
Urban Farm Girlz red barn,1,1,1,focal nests
Urban Farm Girlz sheep shed,3,1,1,focal nests
