"building","n.male","n.female","clutch.per.site","sample.type"
"Blue Cloud Gazebo",1,0,"0","sires only"
"Blue Cloud Middle Shed",1,1,"1","focal nests"
"Blue Cloud main",4,4,"8","focal nests"
"Blue Cloud wash room",1,1,"1","focal nests"
"Boyer",4,2,"2","focal nests"
"CHR",32,25,"42","focal nests"
"Cargill est",1,1,"0","sires only"
"Cathys est",1,1,"1","focal nests"
"Cooks",10,9,"11","focal nests"
"Dome House est",1,1,"2","focal nests"
"Ericas",1,0,"0","sires only"
"Grizz est",3,0,"0","sires only"
"James Ditch est",1,0,"0","sires only"
"Jays est",2,0,"0","sires only"
"Karens est",1,1,"1","focal nests"
"Make Believe",6,6,"10","focal nests"
"Make Believe Shed",2,0,"0","sires only"
"Martes est",1,1,"2","focal nests"
"Mary Anns est",1,1,"1","focal nests"
"Mayas est",7,0,"0","sires only"
"McCauley est",2,2,"3","focal nests"
"Plumbumpy est",1,0,"0","sires only"
"Quick est",2,0,"0","sires only"
"Reinarz Garage est",1,0,"0","sires only"
"Schaaps",8,0,"0","sires only"
"Sol y Sombra est",1,0,"0","sires only"
"Speedwell est",1,1,"1","focal nests"
"Starlight est",1,0,"0","sires only"
"Struthers back shed",1,1,"0","sires only"
"Struthers main",2,2,"3","focal nests"
"Struthers round",1,0,"0","sires only"
"Urban Farm Girlz Sheep Shed",3,2,"3","focal nests"
