"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","ngrps","grp","N","bt.estimate","bt.lower.ci","bt.upper.ci"
"(Intercept)","-6.04428163335194","0.517050530642298","-11.6899244370633","1.43514241800296e-31","-7.05768205159816","-5.03088121510571","23","female","819",0.00237138375024672,0.000860771006126261,0.00653305100997952
"dist.scale","-0.663078547991748","0.276365750619482","-2.39927902247452","0.0164273917066709","-1.20474546576631","-0.121411630217186","22","male",NA,0.515262629560795,0.299768291095683,0.885669316295903
"dur.scale","0.297661210721827","0.182340418844774","1.63244777327853","0.102585192121615","-0.059719443139879","0.655041864583534",NA,NA,NA,1.34670546121351,0.942028789152387,1.92522311435316
"rest.SI.scale","0.141551129109071","0.299950348744473","0.471915200971004","0.636987317478115","-0.446340751580324","0.729443009798466",NA,NA,NA,1.15205940652604,0.639965665591792,2.07392512993302
"attempt2second","-0.461228410571665","0.534420151565949","-0.863044571242648","0.388112961541377","-1.50867266025336","0.586215839110031",NA,NA,NA,0.630508646109248,0.221203395242685,1.7971747331562
"soc.fem_throat_avg_bright_scaled","-0.861984393829495","0.25992953620591","-3.31622333656861","0.000912428798187066","-1.37143692331128","-0.352531864347711",NA,NA,NA,0.4223231947097,0.253742089546949,0.702906171807204
"soc.fem_TS_scaled","0.0462830561989844","0.3810453244467","0.121463388289018","0.903324011864615","-0.700552056193927","0.793118168591896",NA,NA,NA,1.04737083380994,0.496311236455884,2.21027771071477
"soc.male_throat_avg_bright_scaled","0.302133915101702","0.254819024182051","1.18568037088882","0.235748549196259","-0.197302194870758","0.801570025074163",NA,NA,NA,1.35274236721217,0.820942511207858,2.22903782794537
"soc.male_breast_avg_bright_scaled","-0.589610910611668","0.268442930107297","-2.19641065002531","0.0280625640626441","-1.11574938552637","-0.0634724356969623",NA,NA,NA,0.55454300956406,0.327669635987823,0.938499988042207
"male_throat_avg_bright_scaled","0.220807392537404","0.299841008528186","0.736414920765073","0.461478227012235","-0.366870185266008","0.808484970340817",NA,NA,NA,1.24708320989796,0.69289958778199,2.24450491793151
"male_breast_avg_bright_scaled","-0.900712433938824","0.273745164515078","-3.29033185128357","0.00100069290058615","-1.43724309733037","-0.364181770547279",NA,NA,NA,0.406280108871684,0.237581846666714,0.694764895469235
"male_TS_scaled","0.0777418848574533","0.341929316526282","0.227362443347199","0.820141921436432","-0.592427260792456","0.747911030507363",NA,NA,NA,1.08084364055188,0.552983419465614,2.11258228402287
"fem_throat_avg_bright_scaled","0.209957044098108","0.330380575097244","0.635500570928874","0.52510199447999","-0.43757698428412","0.857491072480337",NA,NA,NA,1.23362506734121,0.645598823551487,2.35723912630589
"fem_breast_avg_bright_scaled","0.682708328590617","0.271921465183273","2.51068200199082","0.0120498189101603","0.14975205020804","1.21566460697319",NA,NA,NA,1.97923088750664,1.16154620188082,3.37253472975692
"fem_TS_scaled","-0.102696756748097","0.339398201788361","-0.30258485816061","0.762206255276419","-0.767905008670943","0.562511495174748",NA,NA,NA,0.902400578880983,0.463984093464066,1.75507483173623
