"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","ngrps","grp","N","bt.estimate","bt.lower.ci","bt.upper.ci"
"(Intercept)","-6.09877891126578","0.531798479684712","-11.4682142658279","1.90550860324961e-30","-7.14108477848098","-5.05647304405059","23","female","819",0.00224560813279381,0.000791892602316133,0.00636797953576099
"dist.scale","-0.753793863151079","0.316336589993231","-2.38288546755596","0.0171775377124651","-1.37380218653003","-0.133785539772133","22","male",NA,0.470577853867594,0.253142631932489,0.87477764950191
"dur.scale","0.304389878347817","0.181803079016153","1.67428340595251","0.0940749141881159","-0.0519376088023314","0.660717365497966",NA,NA,NA,1.35579754916742,0.94938809845562,1.93618078562242
"rest.SI.scale","0.121806764408416","0.300419253413851","0.405455918767688","0.685142414481153","-0.467004152545143","0.710617681361975",NA,NA,NA,1.12953581416926,0.626877487269907,2.03524800523215
"attempt2second","-0.47060036984267","0.536561270344816","-0.877067346922455","0.380450059164157","-1.52224113521757","0.581040395532228",NA,NA,NA,0.624627148385828,0.218222272890455,1.78789758411354
"soc.fem_throat_avg_bright_scaled","-0.84906367726729","0.258529595076084","-3.28420302138876","0.00102271220462352","-1.35577237255414","-0.342354981980441",NA,NA,NA,0.42781531768169,0.257748139961808,0.710096088647644
"soc.fem_TS_scaled","0.0419473182740334","0.380930307391291","0.110118091052664","0.912315720824571","-0.704662364832669","0.788557001380736",NA,NA,NA,1.0428395387168,0.494275430854033,2.20021922115775
"soc.male_throat_avg_bright_scaled","0.291924309651212","0.254648151501535","1.14638299131519","0.25163671720623","-0.207176896021495","0.79102551532392",NA,NA,NA,1.33900166430061,0.812875842765929,2.20565720208773
"soc.male_breast_avg_bright_scaled","-0.580499601988807","0.268570108824786","-2.16144530949095","0.0306609572998995","-1.10688734260939","-0.0541118613682243",NA,NA,NA,0.559618710092218,0.330586363357164,0.947326131377437
"male_throat_avg_bright_scaled","0.249526869101088","0.304184188248615","0.820315054959874","0.412036526135561","-0.34666318453275","0.845716922734926",NA,NA,NA,1.28341804828183,0.707043431320788,2.32964739319983
"male_breast_avg_bright_scaled","-0.908573531644117","0.275141167400217","-3.3022086088721","0.000959266990208309","-1.44784031041285","-0.369306752875386",NA,NA,NA,0.403098821827048,0.235077434544781,0.691213346244853
"male_TS_scaled","0.0964669959741765","0.342819863510033","0.28139266781825","0.778409241254469","-0.575447589690425","0.768381581638778",NA,NA,NA,1.10127323409374,0.562453064265688,2.15627367541266
"fem_throat_avg_bright_scaled","0.245447829354596","0.333759003507895","0.73540436894548","0.462093261867743","-0.408707797036856","0.899603455746049",NA,NA,NA,1.27819359766632,0.664508375272551,2.45862796303369
"fem_breast_avg_bright_scaled","0.738264802903053","0.287639402413823","2.5666330715043","0.010269121413436","0.174501933637336","1.30202767216877",NA,NA,NA,2.09230180678549,1.19065304467397,3.67674434652502
"fem_TS_scaled","-0.0897345185591084","0.338782219904534","-0.264873754544718","0.791106717257107","-0.753735468174524","0.574266431056307",NA,NA,NA,0.914173849249136,0.470605334052683,1.77582735719146
"dist.scale:fem_breast_avg_bright_scaled","0.161284817443776","0.241435946246263","0.668023216722112","0.50411877272695","-0.311920941772248","0.634490576659799",NA,NA,NA,1.17501958723425,0.732039399678259,1.88606109314741
