"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","ngrps","grp","N","bt.estimate","bt.lower.ci","bt.upper.ci"
"(Intercept)","-6.04804849433487","0.520157013004469","-11.6273516325404","2.99237875949853e-31","-7.06753750612956","-5.02855948254017","23","female","819",0.00236246788028616,0.000852329382957873,0.00654823662891329
"dist.scale","-0.679599217668461","0.364021650274973","-1.86691977566474","0.0619127917964527","-1.39306854180024","0.0338701064633208","22","male",NA,0.506820076198475,0.248312178089642,1.03445022960211
"dur.scale","0.299835118012928","0.184837407221711","1.62215604795451","0.104769939864823","-0.0624395431373889","0.662109779163245",NA,NA,NA,1.34963625852121,0.939469858496776,1.9388786280272
"rest.SI.scale","0.140180359052706","0.300332186516108","0.466751035507771","0.640678011444505","-0.448459909917031","0.728820628022443",NA,NA,NA,1.15048127985992,0.638610912990978,2.07263475832085
"attempt2second","-0.462606773600619","0.534451603622496","-0.865572804843479","0.38672447448837","-1.51011266818039","0.584899120979149",NA,NA,NA,0.629640174973767,0.220885089836208,1.79480991783996
"soc.fem_throat_avg_bright_scaled","-0.862272260859928","0.260089926123646","-3.31528511584876","0.000915496967902593","-1.37203914880396","-0.352505372915898",NA,NA,NA,0.422201639282495,0.253589325595848,0.702924793044776
"soc.fem_TS_scaled","0.0457447167442495","0.380838653711785","0.120115740086794","0.904391463879549","-0.700685328451571","0.79217476194007",NA,NA,NA,1.04680714450807,0.496245096344326,2.20819350330225
"soc.male_throat_avg_bright_scaled","0.300761166617771","0.255077680457318","1.17909636812813","0.238359804645724","-0.199181900338589","0.80070423357413",NA,NA,NA,1.35088666617523,0.81940083048754,2.22710878113735
"soc.male_breast_avg_bright_scaled","-0.588298003058998","0.268558388504066","-2.19057764807109","0.0284823701137206","-1.11466277227308","-0.0619332338449128",NA,NA,NA,0.555271551418998,0.328025879671489,0.939945641252586
"male_throat_avg_bright_scaled","0.221267583694939","0.300106339121266","0.737297267171454","0.460941593756585","-0.366930032514906","0.809465199904784",NA,NA,NA,1.24765723863521,0.692858120888751,2.24670612667723
"male_breast_avg_bright_scaled","-0.90692469443977","0.28818094664149","-3.14706681690523","0.00164917270667015","-1.47174897088775","-0.342100417991791",NA,NA,NA,0.40376401440794,0.229523703661293,0.710276876550363
"male_TS_scaled","0.0796788916932589","0.343280272497234","0.232110313574459","0.816452334537922","-0.593138079004416","0.752495862390934",NA,NA,NA,1.08293927104213,0.552590488447952,2.12229035656974
"fem_throat_avg_bright_scaled","0.209661054274043","0.329706925840702","0.635901274258766","0.524840772083149","-0.436552645827152","0.855874754375238",NA,NA,NA,1.23325998090817,0.646260474073407,2.35343215549472
"fem_breast_avg_bright_scaled","0.682574295959855","0.271267279704565","2.51624263974351","0.0118613492267256","0.150900197554754","1.21424839436495",NA,NA,NA,1.97896562376129,1.16288059396337,3.36776188403078
"fem_TS_scaled","-0.10246303347901","0.338892408270044","-0.302346794966746","0.762387709247005","-0.766679948322339","0.56175388136432",NA,NA,NA,0.902611515543748,0.464552850288938,1.75374566636597
"dist.scale:male_breast_avg_bright_scaled","-0.0208786549993723","0.296403246219461","-0.0704400348703113","0.943843427149911","-0.601818342490273","0.560061032491529",NA,NA,NA,0.97933779510493,0.547814615314294,1.75077935146131
