"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","ngrps","grp","N","bt.estimate","bt.lower.ci","bt.upper.ci"
"(Intercept)","-6.33484194156117","0.69548743819983","-9.10849225107214","8.35347592247221e-20","-7.69797227213286","-4.97171161098947","23","female","819",0.00177342612141177,0.00045374632475439,0.00693127423083376
"dist.scale","-0.324807719631369","0.297843223195047","-1.0905325162247","0.275478637926903","-0.908569710132985","0.258954270870247","22","male",NA,0.722666294825379,0.403100362276626,1.29557455797634
"dur.scale","0.284319739715045","0.198300207517529","1.43378437811222","0.151633804341273","-0.10434152514613","0.672981004576221",NA,NA,NA,1.32885775143193,0.900917558873024,1.9600716027221
"rest.SI.scale","0.198588801580905","0.320159425128016","0.620280978770182","0.535072815643578","-0.428912140981055","0.826089744142864",NA,NA,NA,1.21968033214706,0.651217141966879,2.2843687869353
"attempt2second","-0.361953817158619","0.552722542708796","-0.654856260040972","0.512560304059881","-1.44527009431126","0.721362459994023",NA,NA,NA,0.696314524882467,0.235682411479858,2.05723420138941
"soc.fem_throat_avg_bright_scaled","-0.789009387806599","0.414515560313779","-1.90344938368378","0.0569819324033733","-1.60144495705305","0.0234261814398484",NA,NA,NA,0.454294602225812,0.201604996865471,1.02370272969586
"soc.fem_TS_scaled","0.0945948037636478","0.41048516353378","0.230446340494505","0.817744955447694","-0.709941332950595","0.899130940477891",NA,NA,NA,1.09921336775773,0.49167304162148,2.45746649820898
"soc.male_throat_avg_bright_scaled","0.407061117382204","0.300861083231531","1.35298694337594","0.176059801599294","-0.182615770101304","0.996738004865713",NA,NA,NA,1.50239592536202,0.833088191640951,2.70942925274019
"soc.male_breast_avg_bright_scaled","-0.611543916459414","0.31049793723554","-1.96955870916303","0.0488889678227505","-1.22010869071505","-0.00297914220377737",NA,NA,NA,0.54251262797812,0.29519807988988,0.997025291036847
"male_throat_avg_bright_scaled","0.173106713108591","0.322198450675018","0.537267366574626","0.591082943581794","-0.458390646089048","0.804604072306231",NA,NA,NA,1.18899297945126,0.632300422268115,2.23581110402127
"male_breast_avg_bright_scaled","-0.907322442969799","0.312128651591852","-2.90688611360241","0.00365046074392234","-1.51908335863288","-0.29556152730672",NA,NA,NA,0.403603449799016,0.218912459227654,0.744113630007077
"male_TS_scaled","-0.0660072201628859","0.379035262641261","-0.174145328070329","0.861751250759325","-0.808902683810437","0.676888243484666",NA,NA,NA,0.936124105298697,0.445346484106482,1.96774505198913
"fem_throat_avg_bright_scaled","0.227649435168818","0.385192162100787","0.591002251778043","0.554518912197286","-0.527313329675839","0.982612200013475",NA,NA,NA,1.25564506326701,0.590188483420223,2.67142543305816
"fem_breast_avg_bright_scaled","0.720620720194363","0.323759227498048","2.22579206703446","0.0260281124352983","0.0860642946356781","1.35517714575305",NA,NA,NA,2.05570883468755,1.08987639925854,3.87744776920341
"fem_TS_scaled","-0.135143836363507","0.385415854882367","-0.350644205866295","0.725855288116409","-0.890545031003662","0.620257358276649",NA,NA,NA,0.873590248606236,0.410431993618635,1.85940651393034
"dist.scale:soc.fem_throat_avg_bright_scaled","0.700579175030867","0.290852975900584","2.40870554224734","0.0160092087034064","0.130517817469427","1.27064053259231",NA,NA,NA,2.01491936057255,1.13941824126238,3.56313413511097
