"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","ngrps","grp","N","bt.estimate","bt.lower.ci","bt.upper.ci"
"(Intercept)","-6.03276631244037","0.516002746244172","-11.6913453588204","1.41133037239017e-31","-7.04411311100271","-5.02141951387803","23","female","819",0.00239884882622275,0.000872530357320253,0.00659515814297124
"dist.scale","-0.504055311708123","0.283625348129169","-1.77718710627572","0.0755374601527321","-1.05995077914393","0.0518401557276831","22","male",NA,0.60407596945809,0.346472863601317,1.05320737989059
"dur.scale","0.296867271371212","0.182324784642222","1.62823322102783","0.103475443119733","-0.0604827400165653","0.65421728275899",NA,NA,NA,1.34563668308281,0.941310015873476,1.92363626469848
"rest.SI.scale","0.105486748363139","0.302939078664736","0.348211095207965","0.727681655822501","-0.488262935329488","0.699236432055767",NA,NA,NA,1.11125137852555,0.613691490652882,2.01221565735122
"attempt2second","-0.490108760210501","0.537894400009412","-0.911161670770182","0.362210196240999","-1.54436241171473","0.564144891293729",NA,NA,NA,0.612559768432007,0.213447919739977,1.75794390668496
"soc.fem_throat_avg_bright_scaled","-0.83537328517659","0.256319019709696","-3.25911548086726","0.00111760165951331","-1.33774933236021","-0.332997237992973",NA,NA,NA,0.433712552745241,0.262435659841288,0.716772173882746
"soc.fem_TS_scaled","0.0560008850599942","0.379002671125626","0.147758549810938","0.882533322638852","-0.686830700390711","0.7988324705107",NA,NA,NA,1.05759861977443,0.503168235599457,2.22294406008402
"soc.male_throat_avg_bright_scaled","0.301607998551108","0.257907419475788","1.16944289219808","0.242225237182379","-0.203881254967101","0.807097252069316",NA,NA,NA,1.35203112465607,0.815559209042781,2.2413923376382
"soc.male_breast_avg_bright_scaled","-0.391758088314288","0.294106881140264","-1.3320262579217","0.182851560221531","-0.968196982954607","0.184680806326031",NA,NA,NA,0.675867594455001,0.379767147828137,1.2028344417014
"male_throat_avg_bright_scaled","0.25163753172308","0.299147608904523","0.841181825402433","0.400246080601958","-0.334681007791059","0.837956071237218",NA,NA,NA,1.28612977154449,0.715566310027717,2.31163732287649
"male_breast_avg_bright_scaled","-0.917544977453911","0.276035795571802","-3.32400721998115","0.000887338986210749","-1.4585651952185","-0.376524759689317",NA,NA,NA,0.399498616262994,0.232569727609867,0.686242126334575
"male_TS_scaled","0.113156659737141","0.341844578819852","0.33101785650014","0.740630997654738","-0.556846403060032","0.783159722534313",NA,NA,NA,1.11980734793277,0.573013270379486,2.18837601379418
"fem_throat_avg_bright_scaled","0.145466402862589","0.332985525862578","0.436855032920026","0.662216484853483","-0.507173235201195","0.798106040926372",NA,NA,NA,1.15657887619,0.602195439998263,2.2213298341362
"fem_breast_avg_bright_scaled","0.713783720476319","0.27837802182453","2.56408072662517","0.0103449480721222","0.168172823612734","1.2593946173399",NA,NA,NA,2.04170189126087,1.18314106769349,3.52328790420967
"fem_TS_scaled","-0.138729775781668","0.356636092328271","-0.388995333803659","0.697279598176799","-0.837723672332181","0.560264120768845",NA,NA,NA,0.870463216922391,0.432694357377443,1.75113495033152
"dist.scale:soc.male_breast_avg_bright_scaled","0.440706199825906","0.290487083632393","1.51712838421282","0.129234273151063","-0.128638022067659","1.01005042171947",NA,NA,NA,1.55380412735156,0.879292192316272,2.74573945643127
