"","dAIC","df"
"prop.socF.throat.ep",0,4
"prop.m.breast.ep",2.88025970060181,4
"prop.dist.ep",3.39544055704289,4
"prop.socF.breast.ep",5.41938868914758,4
"prop.f.breast.ep",6.27655116106877,4
"prop.dur.ep",7.89747509892953,4
"prop.m.tail.ep",8.00123528535551,4
"prop.attempt.ep",8.658402469566,4
"prop.socM.tail.ep",8.65955604909396,4
"prop.socM.breast.ep",9.2957978402132,4
"prop.null.ep",9.42830961153771,3
"prop.f.throat.ep",9.68466259087165,4
"prop.socF.tail.ep",10.8335063732687,4
"prop.restSI.ep",10.9080390199363,4
"prop.socM.throat.ep",11.0058423611084,4
"prop.f.tail.ep",11.0683340240112,4
"prop.m.throat.ep",11.2171240677606,4
