"","N","mean","sd","type"
"TS",32,89.6770833328125,8.37002005213854,"all males"
"TS_scaled",32,-1.17388602094079e-16,0.999999999999999,"all males"
"throat_avg_bright",31,13.7038843018387,3.89261324616745,"all males"
"throat_avg_bright_scaled",31,-3.97996627813977e-16,1,"all males"
"breast_avg_bright",32,22.7606588578125,4.89174219223314,"all males"
"breast_avg_bright_scaled",32,-4.29476197444031e-16,1,"all males"
"TS1",37,77.6171171167568,3.92932644077984,"all females"
"TS_scaled1",37,-2.49211195036148e-16,1,"all females"
"throat_avg_bright1",37,15.9897064656757,3.07374267708501,"all females"
"throat_avg_bright_scaled1",37,-1.22919956167473e-16,1,"all females"
"breast_avg_bright1",37,25.8746764202703,6.68164453166299,"all females"
"breast_avg_bright_scaled1",37,1.06134601857905e-16,0.999999999999999,"all females"
"male_throat_avg_bright",22,13.2553697807727,4.01563734061627,"modeled males"
"male_breast_avg_bright",22,21.91380359,4.89051614617568,"modeled males"
"male_TS",22,89.7651515159091,7.24872897279094,"modeled males"
"soc.fem_TS_unscale",22,77.7727272722727,3.27591235142859,"modeled males"
"soc.fem_throat_avg_bright_unscale",22,15.5871085218182,2.78942837383105,"modeled males"
"soc.fem_breast_avg_bright_unscale",22,24.924681485,6.24191174630656,"modeled males"
"fem_throat_avg_bright",23,15.5673350952174,2.72694437585013,"modeled females"
"fem_breast_avg_bright",23,24.9484838230435,6.09946861388248,"modeled females"
"fem_TS",23,77.8478260865217,3.22079458971698,"modeled females"
"soc.male_TS_unscale",23,89.5072463773913,7.18926638924097,"modeled females"
"soc.male_throat_avg_bright_unscale",23,13.1683984098696,3.94542083291109,"modeled females"
"soc.male_breast_avg_bright_unscale",23,21.5812133895652,5.03727889141314,"modeled females"
